,Unnamed: 0,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
0,CBIX Prices,51.7,52.58,52.28,53.18,54.06,55.95,54.06,54.06,54.06,55.74,55.95,55.74,55.74
1,Exchange Rate,6.91,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2,,,,,,,,,,,,,,
3,Caustic Prices,,,,,,,,,,,,,
10,Shandong,2000,1600,1750,1900,2000,2000,2000,2000,2000,2000,2000,2000,2000
7,Henan,2150,0,0,0,0,0,0,0,0,0,0,0,0
11,Shanxi,2200,0,0,0,0,0,0,0,0,0,0,0,0
5,Guangxi,2250,0,0,0,0,0,0,0,0,0,0,0,0
6,Guizhou,2300,0,0,0,0,0,0,0,0,0,0,0,0
8,IM,2200,0,0,0,0,0,0,0,0,0,0,0,0
12,Yunnan,2300,0,0,0,0,0,0,0,0,0,0,0,0
4,Chongqing,2250,0,0,0,0,0,0,0,0,0,0,0,0
9,Jiangsu,2000,0,0,0,0,0,0,0,0,0,0,0,0
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,Lignitous Coal List Price,,,,,,,,,,,,,
22,Shandong,500,400,400,400,400,400,400,400,400,400,400,400,400
19,Henan,414,0,0,0,0,0,0,0,0,0,0,0,0
23,Shanxi,400,0,0,0,0,0,0,0,0,0,0,0,0
17,Guangxi,533,0,0,0,0,0,0,0,0,0,0,0,0
18,Guizhou,535,0,0,0,0,0,0,0,0,0,0,0,0
20,IM,386,0,0,0,0,0,0,0,0,0,0,0,0
24,Yunnan,550,0,0,0,0,0,0,0,0,0,0,0,0
16,Chongqing,480,0,0,0,0,0,0,0,0,0,0,0,0
21,Jiangsu,450,0,0,0,0,0,0,0,0,0,0,0,0
