Ref,Current,s_5,Provincial,Regional,Year
1.1,7.0,14600.0,Chongqing,Central-Henan,1920.0
1.2,,,Guangxi,Central-Shanxi,
2.0,,,Guizhou,North-East,
3.0,,,Henan,South-Central,
4.0,,,IM,South-West,
5.0,,,Hubei,Average,
6.0,,,Hunan,,
7.0,,,Shandong,,
8.0,,,Shanxi,,
9.0,,,Yunnan,,
10.0,,,,,
11.0,,,,,
12.0,,,,,
13.0,,,,,
14.0,,,,,
15.0,,,,,
16.0,,,,,
17.1,,,,,
17.2,,,,,
18.0,,,,,
19.0,,,,,
20.0,,,,,
21.1,,,,,
21.2,,,,,
22.1,,,,,
22.2,,,,,
22.3,,,,,
23.1,,,,,
23.2,,,,,
24.1,,,,,
24.2,,,,,
25.0,,,,,
26.0,,,,,
27.0,,,,,
28.1,,,,,
28.2,,,,,
29.0,,,,,
30.0,,,,,
31.0,,,,,
32.0,,,,,
33.0,,,,,
34.0,,,,,
35.0,,,,,
36.0,,,,,
37.0,,,,,
38.1,,,,,
38.2,,,,,
39.0,,,,,
40.1,,,,,
40.2,,,,,
41.1,,,,,
41.2,,,,,
42.0,,,,,
43.0,,,,,
44.1,,,,,
44.2,,,,,
44.3,,,,,
45.1,,,,,
45.2,,,,,
46.0,,,,,
47.1,,,,,
47.2,,,,,
48.0,,,,,
49.0,,,,,
50.1,,,,,
50.2,,,,,
51.1,,,,,
51.2,,,,,
52.0,,,,,
53.0,,,,,
54.1,,,,,
54.2,,,,,
55.1,,,,,
55.2,,,,,
56.1,,,,,
56.2,,,,,
57.1,,,,,
57.2,,,,,
58.0,,,,,
59.0,,,,,
60.0,,,,,
61.0,,,,,
62.0,,,,,
63.0,,,,,
64.0,,,,,
65.1,,,,,
65.2,,,,,
66.0,,,,,
67.0,,,,,
68.1,,,,,
68.2,,,,,
69.0,,,,,
70.0,,,,,
71.0,,,,,
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,,,,,
77,,,,,
