Province Prices & Rates - Current,Grid Electricity List Price,Self-Supplied Electricity List Price,Labor General List Price,Labor Multiplier to All up Costs for Private Co.,Labor Multiplier to All up Costs for SOE,Price - Domestic Bx FAW,Caustic Soda List Price,Sodium Carbonate List Price,Lime List Price,Flocculent List Price,Lignitous Coal List Price FAW,Anthracite List Price,Limestone List Price,Lig. Coal Calorific Value,A'cite Calorific Value,Freight rate (trucking),Gas Price Delivered,Gas Calorific Value,Chlorine Price,Red Mud Disposal Cost,Spare
,RMB/kWh excl. VAT,RMB/kWh excl. VAT,RMB/month/FTE excl. VAT,%,%,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,RMB/t FAW excl. VAT,kCal/kg,kCal/kg,RMB/t/km excl. VAT,RMB/m^3 delivered excl. VAT,GJ/m^3,RMB/t FAW excl. VAT,RMB/t dry red mud,
Chongqing,1.0,0.461319307,0.267521368,3061.8,1.1,1.3,270,1680,1701.333333,250,20200,400,754,70,4500,5750,0.4,1.794871795,0.04,100,40
Guangxi,2.0,0.440864928,0.280769231,3307.878,1.1,1.3,260,1520,1774.666667,250,20200,410,713,70,4500,5750,0.4,1.794871795,0.04,100,40
Guizhou,3.0,0.375856832,0.266410256,3382.722,1.1,1.3,280,1500,1698.666667,250,20200,430,675,70,4500,5750,0.4,1.9,0.04,100,40
Hainan,4.0,0.49650571,0.170940171,3366.526154,1.1,1.3,18.06267806,2850,1550,260,20200,389.2733333,671.2482667,70,4500,5750,0.4,1.794871795,0.04,100,40
Hebei,5.0,0.412228797,0.170940171,3147.984,1.1,1.3,18.06267806,2800,1530,260,20200,389.2733333,662.364,70,4500,5750,0.4,1.794871795,0.04,100,40
Henan,6.0,0.454773906,0.277777778,2566.242,1.1,1.3,327,1300,1604.333333,250,20200,344,503,70,4500,5750,0.4,1.794871795,0.04,100,40
Hubei,7.0,0.43833313,0.170940171,3612.2436,1.1,1.3,175.8974359,2850,1520,260,20200,389.2733333,770.4462667,70,4500,5750,0.4,1.794871795,0.04,100,40
Hunan,8.0,0.46599572,0.170940171,3566.43,1.1,1.3,175.8974359,2866.666667,1520,260,20200,389.2733333,894.1593333,70,4500,5750,0.4,1.794871795,0.04,100,40
IM,9.0,0.330922639,0.215982906,1729.35,1.1,1.3,340,1550,1658.666667,250,20200,354,310,70,4500,5750,0.4,1.794871795,0.04,100,40
Jiangxi,10.0,0.47747705,0.170940171,3654.882,1.1,1.3,18.06267806,2800,1520,260,20200,389.2733333,636.6024354,70,4500,5750,0.4,1.794871795,0.04,100,40
Shaanxi,11.0,0.39674191,0.170940171,3243.24,1.1,1.3,380,1600,1520,260,20200,463,627,70,4500,5750,0.4,1.794871795,0.04,100,40
Shandong,12.0,0.503835196,0.213675214,1923.264,1.1,1.3,440,1250,1707.333333,250,20200,380,435,70,4500,5750,0.4,1.8,0.04,100,40
Shanxi,13.0,0.364818467,0.264700855,2324.7,1.1,1.3,347,1280,1564,250,20200,325,380,70,4500,5750,0.4,2.1,0.04,100,40
Yunnan,14.0,0.348373796,0.258119658,3477.978,1.1,1.3,300,1700,1534.666667,250,20200,614,820,70,4500,5750,0.4,1.794871795,0.04,100,40
Jiangsu,15.0,0.503835196,0.213675214,2500,1.1,1.3,420,1800,1707.333333,250,20200,530,860,70,4500,5750,0.4,2,0.04,100,40
spare,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spare,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,18.0,0,0,2000,0,0,0,300,0,50,0,100,150,0,4500,5750,0,0.4,0.04,0,10
USA,19.0,0,0,2000,0,0,0,250,0,35,0,80,120,0,4500,5750,0,0.4,0.04,0,8
Ireland,20.0,0,0,2000,0,0,0,220,0,30,0,70,105,0,4500,5750,0,0.4,0.04,0,8
Brazil,21.0,0,0,10000,0,0,0,4000,0,600,0,1600,2400,0,4500,5750,0,2,0.04,0,150
Russia,22.0,0,0,10000,0,0,0,5000,0,700,0,2000,3000,0,4500,5750,0,2.5,0.04,0,200
spare,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
