Summary Name,Chinese Name,Sub Name - technology variant,Sub Chinese Name,Province,Region,Owner,Ref,count in current capacity totals,Capacity - for maintenance and labour calcs,Bauxite 1 Customisation multiplier,Handling losses,Bauxite 1 Loading + Unloading Fee,Bauxite 1 Other,Bauxite 2 Loading + Unloading Fee,Bauxite 3 Loading + Unloading Fee,Bauxite 2 Customisation multiplier,Bauxite 3 Customisation multiplier,Bauxite 3 Moisture,Bauxite 3 Other,Bauxite 2 Other,Bauxite 3 Alumina Grade (Reacting),Bauxite 3 Silica Grade (Reacting),List Price Customisation multiplier,Caustic Purchased Customisaton multiplier,Caustic Strength as transported,Caustic Purchased Freight rate (trucking),Caustic Purchased Transport distance,Caustic Purchased [Loading + Unloading] Total Fee,% of Electricity for Caustic Production from Grid,Caustic Self Supplied Customisation multiplier,Total Electricity for 1 ECU for NaOH + Cl2 + H2 prodn,Caustic Self Supplied Other Costs,tonnes pure NaOH per ECU,Caustic Strength as transported.1,Caustic Self Supplied Transport distance,Caustic Self Supplied Freight rate (trucking),Caustic Self Supplied [Loading + Unloading] Total Fee,Caustic Price Customisation multiplier,Caustic Domestic Purchased,Flocculent Customisation multiplier,Flocculent Loading + Unloading Fee,Handling losses.1,Flocculent Transport distance,count in current capacity totals.1,Capacity - for maintenance and labour calcs.1,Packaging,Energy - Lignitous Coal - Customization Multiplier,Energy - Lignitous Coal - Transport Distance,Energy - Lignitous Coal - Loading + Unloading Fee,Energy - Lignitous Coal - Customization Multiplier 2,Energy - Natural - Customization Multiplier ,Energy - Sourcing Mix - % from Anthracite Coal,Energy - Anthracite coal - Customization Multiplier 1,Energy - Anthracite coal - Customization Multiplier 2,Energy - Anthracite coal - Loading + Unloading Fee,Energy - Anthracite coal - Transport distance,Energy - Natural Gas/Coal Customization Multiplier 3,Energy - Electricity - Purchased Customization Multiplier,Lime - Customisation multiplier 1,Lime - Transport distance,Lime - Loading + Unloading Fee,Lime - Customisation multiplier 2,Limestone - Customisation multiplier 1,Limestone - Transport distance,Limestone - Loading + Unloading Fee,Limestone - Customisation multiplier 2,Labour - Customisation multiplier,Labour - hours worked per year,Consumables - Flocculent - Usage rate,Consumables - Flocculent - customise,Maintenance Allowance - Portion of Capex,Other Costs - Packaging,Production kT,Customisation multiplier for self supply,Purchased delivery Transport distance,Purchased delivery [Loading + Unloading] Total Fee,Purchased delivery Customisation multiplier,Self-Supplied delivery Transport distance,Self-Supplied delivery [Loading + Unloading] Total Fee,Self-Supplied delivery Customisation multiplier,Sodium Carbonate Domestic Self Supply,Caustic Customisation multiplier,Caustic Sourcing mix - Added customisation multiplier,Energy - Sourcing Mix -% from Anthracite Coal,Energy Usage rate - Custom Multiplier 1,Energy Usage rate - Custom Multiplier 2,Energy Usage rate - Custom Multiplier 3,Lime Usage rate - Customisation multiplier,Limestone usage- customisation multiplier,Labour usage- customisation multiplier
Bosai,博赛,Bosai Xianfeng domestic,博赛国内线,Chongqing,South-Central,Owner_1,1.1,1,1100,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,25,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1100,24,1,300,2,0.8,1,1,1,1,2,300,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,600,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Bosai,博赛,Bosai Xianfeng import,博赛进口线,Chongqing,South-Central,Owner_1,1.2,1,1100,1,0.001,2,0,2,2,0.25,0.25,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,25,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1100,24,1,300,2,0.8,1,1,1,1,2,300,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,500,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Bosai,博赛,Bosai Wanzhou,博赛万州,Chongqing,South-Central,Owner_1,2.0,1,1100,1,0.001,2,0,2,2,0.25,0.25,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,25,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1100,24,1,300,2,0.8,1,1,1,1,2,300,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Bosai Shuijiang,水江,Shuijiang,水江,Chongqing,South-Central,Owner_1,3.0,1,800,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,800,24,1,300,2,1,1,1,1,1,2,300,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,800,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Tuoyuan,拓源,Tuoyuan,拓源,Chongqing,South-Central,Owner_5,4.0,0,150,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,50,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,150,24,1,300,2,1,1,1,1,1,2,300,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Pingguo,中铝平果,Chalco Pingguo,中铝平果,Guangxi,South-West,Owner_6,5.0,1,2500,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,70,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2500,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2500,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Jinjiang Chongzuo,锦江崇左,Jinjiang Longzhou,锦江崇左国内线,Guangxi,South-West,Owner_7,6.0,0,0,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,0,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Huayin,华银,Huayin,华银,Guangxi,South-West,Owner_6,7.0,1,2200,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2200,24,1,100,2,1,1,1,1,1,2,700,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2200,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Jinjiang Tiandong,锦江田东,Jinjiang Tiandong,锦江田东,Guangxi,South-West,Owner_7,8.0,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,0.32,0.5,10,5,0,1,3150,700,1.128,0.32,25,0.5,5,1.5,0,1,2,0,0,1,1000,24,1,200,2,1,1,1,1,1,2,700,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Xinfa Jingxi,信发靖西,Xinfa Jingxi,信发靖西,Guangxi,South-West,Owner_8,9.0,1,2400,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,2400,24,1,100,2,1,1,1,1,1,2,700,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2400,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Fangcheng,中铝防城港,Huasheng,中铝防城港,Guangxi,South-West,Owner_6,10.0,,2000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,,2000,24,1,100,2,1,1,1,1,1,2,700,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,2000,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Tiangui,曾氏,Tiangui,天桂,Guangxi,South-West,Owner_1,11.0,1,800,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.5,0.32,0.5,150,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,800,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,800,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Guizhou,中铝贵州,Chalco Guizhou,中铝贵州,Guizhou,South-Central,Owner_6,12.0,0,0,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,1,0.175,3200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,0,0,24,1,180,2,1,1,1,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,0,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
Chalco Zunyi,中铝遵义,Chalco Zunyi,中铝遵义,Guizhou,South-Central,Owner_6,13.0,1,1000,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1.05,1,0.175,3050,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,1000,24,1,100,2,1,1,0,1,1,2,700,1,0,1,5,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,1000,0.8,50,5,2,50,5,2,0,1,1,0,1,1,0,1,1,0
Pingba Hongda,平坝宏大,Xian,平坝宏大,Guizhou,South-Central,Owner_1,14.0,1,200,1,0.001,2,0,2,2,1,1,0.1,0,0,0.5,0.05,1,1,1,0.175,3200,5,1,1,3150,700,1.128,0.32,25,0.5,5,1.5,1,1,2,0,0,1,200,24,1,50,2,1,1,1,1,1,2,1000,1,0,1,10,2,1,1,0,2,1,1,2000,0.92,0,0.025,24,200,0.8,50,5,2,50,5,2,0,1,1,1,1,1,0,1,1,0
