Factor,Value,Option 1 Port,Option 1 Railway(km),Option 1 Road(km),Option 1 Waterway(km),Option 1 Freight,Option 2 Port,Option 2 Railway(km),Option 2 Road(km),Option 2 Freight,Option,Freight,Port Handling,Total Transport
Rail Loading,15.4,Nantong,,0,0,0,Not Available,0,0,0,1,82,,0
Rail Rate,0.14,Nantong,,115,2220,0,Shanghai,2492,100,0,1,82,,0
Road Rate,0.35,Nantong,,115,2220,0,Shanghai,2492,100,0,1,82,,0
Waterway Rate,0.018,Not Available,,95,2220,0,Shanghai,2492,100,0,1,0,,0
Port Handling,20,Nantong,,140,2220,0,Shanghai,2492,100,0,1,0,,0
,,Fangchenggang,,260,0,0,Fangchenggang,280,20,0,2,0,,0
,,Qinzhou,,180,0,0,Not Available,0,0,0,1,0,,0
,,Qinzhou,,180,0,0,Not Available,0,0,0,1,0,,0
,,Fangchenggang,,390,0,0,Fangchenggang,370,100,0,2,0,,0
,,Fangchenggang,,300,0,0,Fangchenggang,315,20,0,2,0,,0
,,Fangchenggang,,415,0,0,Fangchenggang,350,120,0,2,0,,0
,,Fangchenggang,,10,0,0,Fangchenggang,0,0,0,1,35,1,0
,,Qinzhou,,320,0,0,Not Available,0,0,0,1,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,0,50,,0
,,Not Available,,0,0,0,Not Available,0,0,0,0,100,,0
,,Fangchenggang,,725,0,0,Fangchenggang,1036,10,0,2,0,1,0
,,Fangchenggang,,845,0,0,Fangchenggang,1130,20,0,2,0,1,0
,,Fangchenggang,,755,0,0,Fangchenggang,920,70,0,2,0,1,0
,,Fangchenggang,,885,0,0,Fangchenggang,950,40,0,2,0,1,0
,,Fangchenggang,,740,0,0,Fangchenggang,950,45,0,2,0,1,0
,,Fangchenggang,,665,0,0,Fangchenggang,1111,20,0,1,140,1,0
,,Fangchenggang,,665,0,0,Fangchenggang,1111,20,0,1,140,1,0
,,Fangchenggang,,950,0,0,Fangchenggang,1260,240,0,1,180,1,0
,,Not Available,,0,0,0,Not Available,0,0,0,0,0,1,0
,,Fangchenggang,,700,0,0,Not Available,0,0,0,1,150,1,0
,,Lianyungang,,625,0,0,Lianyungang,550,40,0,2,135,,0
,,Lianyungang,,625,0,0,Lianyungang,550,40,0,2,135,,0
,,Lianyungang,,655,0,0,Lianyungang,670,30,0,2,135,,0
,,Lianyungang,,655,0,0,Lianyungang,670,30,0,2,135,,0
,,Lianyungang,,655,0,0,Lianyungang,670,30,0,2,135,,0
,,Lianyungang,,835,0,0,Lianyungang,830,20,0,2,135,,0
,,Lianyungang,,835,0,0,Lianyungang,830,20,0,2,135,,0
,,Lianyungang,,760,0,0,Not Available,0,0,0,1,135,,0
,,Lianyungang,,760,0,0,Not Available,0,0,0,1,135,,0
,,Lianyungang,,670,0,0,Not Available,0,0,0,1,135,,0
,,Lianyungang,,560,0,0,Not Available,0,0,0,1,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Lianyungang,,750,0,0,Lianyungang,750,20,0,1,140,,0
,,Lianyungang,,750,0,0,Not Available,0,0,0,1,140,,0
,,Lianyungang,,650,0,0,Not Available,0,0,0,1,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Lianyungang,,760,0,0,Not Available,0,0,0,1,180,,0
,,Lianyungang,,600,0,0,Not Available,0,0,0,1,170,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Caofeidian,,800,0,0,Not Available,0,0,0,1,130,,0
,,Caofeidian,,800,0,0,Not Available,0,0,0,1,130,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,0,,0
,,Not Available,,0,0,0,Not Available,0,0,0,1,145,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,150,,0
,,Not Available,,0,0,0,Not Available,0,0,0,,150,,0
,,Lianyungang,,20,0,0,Not Available,0,0,0,1,50,1,0
,,Not Available,,0,0,0,Not Available,0,0,0,,60,,0
,,Yantai,,370,0,0,Yantai,392,0,0,2,100,1,0
,,Yantai,,370,0,0,Yantai,392,0,0,2,100,1,0
,,Yantai,,370,0,0,Yantai,392,0,0,2,100,1,0
,,Longkou,,465,0,0,Yantai,450,0,0,2,110,1,0
,,Longkou,,465,0,0,Yantai,450,0,0,2,110,1,0
,,Yantai,,80,0,0,Not Available,0,0,0,1,20,,0
,,Longkou,,15,0,0,Not Available,0,0,0,1,35,1,0
,,Longkou,,15,0,0,Not Available,0,0,0,1,35,1,0
,,Yantai,,0,200,0,Not Available,0,0,0,1,50,1,0
,,Not Available,,0,0,0,Not Available,0,0,0,0,0,,0
,,Longkou,,180,180,0,Not Available,0,0,0,1,80,1,0
,,Longkou,,180,180,0,Not Available,0,0,0,1,80,1,0
,,Yantai,,80,180,0,Not Available,0,0,0,1,70,1,0
,,Yantai,,80,180,0,Not Available,0,0,0,1,70,1,0
,,Rizhao,,850,0,0,Andhra Pradesh wharf,840,20,0,1,180,,0
,,Andhra Pradesh wharf,,740,0,0,Tianjin,714,50,0,1,130,,0
,,Andhra Pradesh wharf,,860,0,0,Lianyungang,1140,0,0,2,150,,0
,,Andhra Pradesh wharf,,860,0,0,Lianyungang,1140,0,0,3,150,,0
,,Andhra Pradesh wharf,,590,0,0,Jingtang,1060,0,0,2,145,1,0
,,Andhra Pradesh wharf,,591,0,0,Jingtang,1060,0,0,2,145,1,0
,,Rizhao,,850,0,0,Not Available,0,0,0,1,150,,0
,,Rizhao,,850,0,0,Not Available,0,0,0,1,150,,0
,,Andhra Pradesh wharf,,658,0,0,Andhra Pradesh wharf,844,5,0,1,160,,0
,,Andhra Pradesh wharf,,658,0,0,Not Available,0,0,0,1,160,,0
,,Rizhao,,850,0,0,Andhra Pradesh wharf,840,20,0,1,160,,0
,,Andhra Pradesh wharf,,720,0,0,Andhra Pradesh wharf,887,5,0,2,0,,0
,,Tianjin,,800,0,0,Andhra Pradesh wharf,840,140,0,1,200,,0
,,Rizhao,,850,0,0,Andhra Pradesh wharf,840,20,0,1,180,,0
,,Rizhao,,830,0,0,Andhra Pradesh wharf,1090,60,0,1,200,,0
