Year,Quarter,S32,Alcoa,Rio,Rusal,Hydro,Chalco,Noranda,Votorantim,SMB
2016,Q1,,,,,,,,,
2016,Q2,,,,,,,,,
2016,Q3,,,,,,,,,
2016,Q4,,,,,,,,,
2017,Q1,4.24921845577288,11.1,10.48715,2.869,4.075,4.0,0.65,0.6,4.787112555
2017,Q2,4.50684630114484,11.0,11.98741,3.089,4.752,4.5,0.95,0.6,7.223260027
2017,Q3,4.3287929308486,11.6,12.0477,2.741,4.888,4.4,0.975,0.6,7.790161455
2017,Q4,4.17232088659582,12.1,12.87659,2.946,4.6465,4.4,0.95,0.6,6.7507423
2018,Q1,4.0860178294573695,11.2,11.79846,2.905,3.64975,4.4,0.87,0.6,10.156398
2018,Q2,4.38559004651163,11.3,12.4670085,3.377,2.82085,4.4,1.0,0.6,9.602
2018,Q3,3.8179395348837204,11.5,12.08211,3.847,2.5685,4.2,0.913,0.6,8.800131999999998
2018,Q4,4.2474835,11.8,11.78976,3.719,3.08685,4.2,0.958,0.6,8.937008
2019,Q1,0.0,0.0,0.0,0.0,0.0,4.1,0.786,0.6,12.12428
2019,Q2,0.0,0.0,0.0,0.0,0.0,4.0,0.764,0.6,13.317194
2019,Q3,0.0,0.0,0.0,0.0,0.0,3.0,0.769,0.6,9.043492
2019,Q4,0.0,0.0,0.0,0.0,0.0,2.9,0.633,0.6,5.754804
2020,Q1,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.6,10.502194
