No.,Refinery Key,Supplyinh Mines Keys,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
1.0,R_001,M_002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,R_001,M_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_001,M_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_001,M_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_001,M_002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,R_002,M_004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,R_002,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_002,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_002,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_002,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,R_003,M_004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,R_003,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_003,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_003,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_003,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,R_004,M_001,0.72,,,,,,,,,,,,,,0.72,,,,0.72,,,,0.72,,,,0.72,,,
Not available,R_004,M_002,0.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.28,1.0,1.0,1.0,0.28,1.0,1.0,1.0,0.28,1.0,1.0,1.0,0.28,1.0,1.0,1.0
Not available,R_004,M_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_004,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_004,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,R_005,M_005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,R_005,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_005,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_005,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_005,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,R_006,M_003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,R_006,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_006,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_006,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_006,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,R_007,M_001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Not available,R_007,M_012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_007,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_007,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not available,R_007,Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,R_008,M_016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
