Year,Month,Date,Country of Origin,Regency,Province,Price Type,Declared Price USD/tonne,Aa%,SiO2%,Fe2O3%,H2O%,Contract Date,Tonnage,Customer,Importing Port,Freight Rate US$/dmt,Insurance Rate US$/dmt
2011,month_7,2011-07-01,Australia,,,CIF,64.6730635545141,54.54,8.4,,,,54605.72,Nanshan,Longkou,,
2011,month_7,2011-07-01,Indonesia,,,C&F,43.0,48.01,9.44,16.85,,,69879.67,Lubei,Cangzhou,,
2011,month_7,2011-07-01,Indonesia,,,FOB,19.0,38.05,,,,,74272.55,Xinfa,Liaocheng,,
2011,month_7,2011-07-04,Indonesia,,,FOB,23.499991525033803,47.4,13.5,16.18,,,49557.72,Haiyuanda,Cangzhou,,
2011,month_7,2011-07-04,Australia,,,CIF,54.841083596348604,54.85,7.87,,,,74762.452,Nanshan,Longkou,,
2011,month_7,2011-07-04,Indonesia,,,FOB,23.0,49.65,,,9.5,,25602.45,Xiamen Huilin (Lubei),Shishi,,
2011,month_7,2011-07-04,Indonesia,,,FOB,27.5,49.0,,,,,65970.0,Chalco Zhengzhou,Lianyungang,,
2011,month_7,2011-07-04,Indonesia,,,FOB,23.0,47.0,14.0,,,,129078.0,Weiqiao,Binzhou,,
2011,month_7,2011-07-04,Indonesia,,,FOB,,49.5,14.0,,,,29722.5,Weiqiao,Binzhou,,
2011,month_7,2011-07-04,Indonesia,,,FOB,,49.5,14.0,,,,94500.963,Weiqiao,Binzhou,,
2011,month_7,2011-07-04,Indonesia,,,FOB,19.0,38.05,,,,,82170.0,Xinfa,Liaocheng,,
2011,month_7,2011-07-04,Indonesia,,,C&F,46.1158099737459,46.18,,,,,21463.35,Xinfa,Liaocheng,,
2011,month_7,2011-07-04,Indonesia,,,C&F,46.389361323117896,48.78,,,,,22511.07,Xinfa,Liaocheng,,
2011,month_7,2011-07-05,Australia,,,FOB,32.7437499906148,54.73,,,,,53275.12,Xinfa,Liaocheng,,
2011,month_7,2011-07-05,Indonesia,,,C&F,56.410000088249596,51.03,7.389999999999999,13.04,14.61,,51331.667,Lubei,Cangzhou,,
2011,month_7,2011-07-05,Indonesia,,,FOB,37.0,51.0,,,13.83,,87899.81,Chalco Shandong,Zibo,,
2011,month_7,2011-07-05,Indonesia,,,FOB,37.0,51.0,,,13.83,,67212.6,Chalco Shandong,Zibo,,
2011,month_7,2011-07-05,Indonesia,,,FOB,24.0,40.4,,,,,35763.0,Bosai,Nantong,,
2011,month_7,2011-07-05,Indonesia,,,FOB,31.5,47.88,6.36,19.45,10.0,,31050.0,Nanshan,Longkou,,
2011,month_7,2011-07-06,Indonesia,,,FOB,31.5,,,,,,56880.0,Nanshan,Longkou,,
2011,month_7,2011-07-07,Australia,,,CIF,47.795799984871294,54.16,,,,,59621.69,Xinfa,Liaocheng,,
