Date 1,Low,High,Average,Date 2,Cash Buyer,Cash Seller & Settlement,Unnamed: 7,Date 3,USD:CNY
2015-01-05 00:00:00.000,12830.0,12870.0,12850.0,2012-01-03 00:00:00.000,2005.5,2006.0,,2010-10-08 00:00:00.000,6.683
2015-01-06 00:00:00.000,12770.0,12810.0,12790.0,2012-01-04 00:00:00.000,2051.0,2052.0,,2010-10-11 00:00:00.000,6.6732
2015-01-07 00:00:00.000,12720.0,12760.0,12740.0,2012-01-05 00:00:00.000,2003.0,2003.5,,2010-10-12 00:00:00.000,6.6775
2015-01-08 00:00:00.000,12720.0,12760.0,12740.0,2012-01-06 00:00:00.000,2019.0,2020.0,,2010-10-13 00:00:00.000,6.6693
2015-01-09 00:00:00.000,12790.0,12830.0,12810.0,2012-01-09 00:00:00.000,2061.0,2061.5,,2010-10-14 00:00:00.000,6.6582
2015-01-12 00:00:00.000,12740.0,12780.0,12760.0,2012-01-10 00:00:00.000,2137.0,2138.0,,2010-10-15 00:00:00.000,6.6497
2015-01-13 00:00:00.000,12650.0,12690.0,12670.0,2012-01-11 00:00:00.000,2134.0,2134.5,,2010-10-18 00:00:00.000,6.6541
2015-01-14 00:00:00.000,12450.0,12490.0,12470.0,2012-01-12 00:00:00.000,2157.0,2157.5,,2010-10-19 00:00:00.000,6.6553
2015-01-15 00:00:00.000,12680.0,12720.0,12700.0,2012-01-13 00:00:00.000,2109.5,2110.0,,2010-10-20 00:00:00.000,6.6754
2015-01-16 00:00:00.000,12730.0,12770.0,12750.0,2012-01-16 00:00:00.000,2120.0,2121.0,,2010-10-21 00:00:00.000,6.6695
2015-01-19 00:00:00.000,12810.0,12850.0,12830.0,2012-01-17 00:00:00.000,2171.0,2171.5,,2010-10-22 00:00:00.000,6.6759
2015-01-20 00:00:00.000,12740.0,12780.0,12760.0,2012-01-18 00:00:00.000,2174.0,2175.0,,2010-10-25 00:00:00.000,6.6729
2015-01-21 00:00:00.000,12670.0,12710.0,12690.0,2012-01-19 00:00:00.000,2180.5,2181.0,,2010-10-26 00:00:00.000,6.6762
