Name,Company,Group,Ownership, Ownership(%),Offtake,Offtake( %),Country,Region
ABx Tasmania - Total,Australian Bauxite Ltd,Australian Bauxite Ltd,,,,1.0,Australia,Oceania
ABx Tasmania,Australian Bauxite Ltd,Australian Bauxite Ltd,Abx,1.0,Abx,0.5,Australia,Oceania
ABx Tasmania,Australian Bauxite Ltd,Australian Bauxite Ltd,Nobel Group,0.0,Nobel Group,0.5,Australia,Oceania
Aurukun - Total,Aurukun,Glencore,,,,1.0,Australia,Oceania
Aurukun,Aurukun,Glencore,Glencore,1.0,Glencore,1.0,Australia,Oceania
Boddington - Total,Worsley,South 32,,,,1.0,Australia,Oceania
Boddington,Worsley,South 32,South 32,0.86,South 32,0.86,Australia,Oceania
Boddington,Worsley,South 32,Japan Alumina Associates,0.1,Japan Alumina Associates,0.1,Australia,Oceania
Boddington,Worsley,South 32,Sojitz Alumina Pty Ltd,0.04,Sojitz Alumina Pty Ltd,0.04,Australia,Oceania
Bauxite Hills - Total,Bauxite Hill,Metro Mining,,,,1.0,Australia,Oceania
Bauxite Hills,Bauxite Hill,Metro Mining,Metro Mining,1.0,Metro Mining,1.0,Australia,Oceania
Gove - Total,Gove,Rio Tinto,,,,1.0,Australia,Oceania
Gove,Gove,Rio Tinto,Rio Tinto,1.0,Rio Tinto,1.0,Australia,Oceania
Greencoast Hey Point - Total,Metallica-Greencoast,Metallica,,,,1.0,Australia,Oceania
Greencoast Hey Point,Metallica-Greencoast,Metallica,Greencoast,1.0,Greencoast,1.0,Australia,Oceania
Huntly - Total,Alcoa,Alcoa,,,,1.0,Australia,Oceania
Huntly,Alcoa,Alcoa,Alcoa-AWAC,1.0,Alcoa-AWAC,1.0,Australia,Oceania
QBL South Johnstone - Total,Queensland Bauxite Ltd,,,,,1.0,Australia,Oceania
QBL South Johnstone,Queensland Bauxite Ltd,,QBL,1.0,QBL,1.0,Australia,Oceania
Amrun - Total,Amrun,Rio Tinto,,,,1.0,Australia,Oceania
Amrun,Amrun,Rio Tinto,Rio Tinto,1.0,Rio Tinto,1.0,Australia,Oceania
Weipa - Total,Weipa,Rio Tinto,,,,1.0,Australia,Oceania
Weipa,Weipa,Rio Tinto,Rio Tinto,1.0,Rio Tinto,1.0,Australia,Oceania
Willowdale - Total,Alcoa,Alcoa,,,,1.0,Australia,Oceania
Willowdale,Alcoa,Alcoa,Alcoa-AWAC,1.0,Alcoa-AWAC,1.0,Australia,Oceania
ABx Tasmania - Total,Abx,Abx,,,,1.0,Australia,Oceania
ABx Tasmania,Abx,Abx,Abx,1.0,Abx,1.0,Australia,Oceania
Jajce - Total,Jajce,Hungalu MAL,,,,1.0,Bosnia,East & Central Europe
Jajce,Jajce,Hungalu MAL,Hungalu MAL,1.0,Hungalu MAL,1.0,Bosnia,East & Central Europe
Milici (Vlasenica) - Total,Milici (Vlasenica),Birac,,,,1.0,Bosnia,East & Central Europe
Milici (Vlasenica),Milici (Vlasenica),Birac,Birac,1.0,Birac,1.0,Bosnia,East & Central Europe
Cataguases - Total,Votorantim CBA,Votorantim,,,,1.0,Brazil,South America
Cataguases,Votorantim CBA,Votorantim,Votorantim CBA,1.0,Votorantim CBA,1.0,Brazil,South America
Juruti - Total,Juruti,Alcoa-AWAC,,,,1.0,Brazil,South America
Juruti,Juruti,Alcoa-AWAC,Alcoa-AWAC,1.0,Alcoa-AWAC,1.0,Brazil,South America
Mirai - Total,Votorantim CBA,Votorantim,,,,1.0,Brazil,South America
Mirai,Votorantim CBA,Votorantim,Votorantim CBA,1.0,Votorantim CBA,1.0,Brazil,South America
MRN (Trombetas) - Total,MRN,MRN,,,,1.0,Brazil,South America
MRN (Trombetas),MRN,MRN,Vale,0.4,Vale,0.0,Brazil,South America
MRN (Trombetas),MRN,MRN,Rio Tinto,0.1175,Rio Tinto,0.1175,Brazil,South America
MRN (Trombetas),MRN,MRN,South 32,0.148,South 32,0.148,Brazil,South America
MRN (Trombetas),MRN,MRN,Votorantim CBA,0.1,Votorantim CBA,0.1,Brazil,South America
MRN (Trombetas),MRN,MRN,Alcoa-AWAC,0.0962,Alcoa-AWAC,0.0962,Brazil,South America
MRN (Trombetas),MRN,MRN,Hydro,0.05,Hydro,0.45,Brazil,South America
MRN (Trombetas),MRN,MRN,AWA Brasil Ltda.,0.0858,AWA Brasil Ltda.,0.0858,Brazil,South America
Paragominas - Total,Paragominas,Hydro,,,,1.0,Brazil,South America
Paragominas,Paragominas,Hydro,Hydro,1.0,Hydro,1.0,Brazil,South America
"Pocos de Caldas, Alcoa - Total",Pocos de Caldas,Alcoa-AWAC,,,,1.0,Brazil,South America
"Pocos de Caldas, Alcoa",Pocos de Caldas,Alcoa-AWAC,Alcoa,1.0,Alcoa,1.0,Brazil,South America
Rondon do Para - Total,CBA,Votorantim,,,,1.0,Brazil,South America
Rondon do Para,CBA,Votorantim,Votorantim CBA,1.0,Votorantim CBA,1.0,Brazil,South America
Dom. Rep. - Total,DR Mining,DR Mining,,,,1.0,Dominican Republic,South America
Dom. Rep.,DR Mining,DR Mining,DR Mining,1.0,DR Mining,1.0,Dominican Republic,South America
Aurum Xinfa-Fiji - Total,Aurum,Xinfa,,,,1.0,Fiji,Oceania
Aurum Xinfa-Fiji,Aurum,Xinfa,Xinfa,1.0,Xinfa,1.0,Fiji,Oceania
Awaso - Total,Awaso,Bosai,,,,1.0,Ghana,Africa & Asia (ex China)
Awaso,Awaso,Bosai,Bosai,1.0,Bosai,1.0,Ghana,Africa & Asia (ex China)
Delphi-Distomon - Total,Aluminium of Greece,Aluminium of Greece,,,,1.0,Greece,West Europe
Delphi-Distomon,Aluminium of Greece,Aluminium of Greece,Aluminium of Greece,1.0,Aluminium of Greece,1.0,Greece,West Europe
Parnasse - Total,Parnasse Bauxite Mining Co.,Parnasse Bauxite Mining Co.,,,,1.0,Greece,West Europe
Parnasse,Parnasse Bauxite Mining Co.,Parnasse Bauxite Mining Co.,Parnasse Bauxite Mining Co.,1.0,Parnasse Bauxite Mining Co.,1.0,Greece,West Europe
Alufer (Bel Air) - Total,Bel Air,Alufer,,,,1.0,Guinea,Africa & Asia (ex China)
Alufer (Bel Air),Bel Air,Alufer,Alufer,1.0,Alufer,1.0,Guinea,Africa & Asia (ex China)
AMC - Total,AMC,AMC,,,,1.0,Guinea,Africa & Asia (ex China)
AMC,AMC,AMC,AMC,1.0,AMC,1.0,Guinea,Africa & Asia (ex China)
CBG - Total,CBG,CBG,,,,1.0,Guinea,Africa & Asia (ex China)
CBG,CBG,CBG,Gvt. of Guinea,0.49,Gvt. of Guinea,0.0,Guinea,Africa & Asia (ex China)
CBG,CBG,CBG,Rio Tinto,0.2295,Rio Tinto,0.45,Guinea,Africa & Asia (ex China)
CBG,CBG,CBG,Alcoa-AWAC,0.2295,Alcoa-AWAC,0.45,Guinea,Africa & Asia (ex China)
CBG,CBG,CBG,Dadco,0.050999999999999934,Dadco,0.1,Guinea,Africa & Asia (ex China)
Dian Dian - Total,Dian Dian,Rusal,,,,1.0,Guinea,Africa & Asia (ex China)
Dian Dian,Dian Dian,Rusal,Rusal,1.0,Rusal,1.0,Guinea,Africa & Asia (ex China)
Fria - Total,Friguia,Rusal,,,,1.0,Guinea,Africa & Asia (ex China)
Fria,Friguia,Rusal,Rusal,1.0,Rusal,1.0,Guinea,Africa & Asia (ex China)
Kindia - Total,CBK,Rusal,,,,1.0,Guinea,Africa & Asia (ex China)
CBK Kindia,CBK,Rusal,Rusal,1.0,Rusal,1.0,Guinea,Africa & Asia (ex China)
GAC - Total,GAC,GAC,,,,1.0,Guinea,Africa & Asia (ex China)
GAC,GAC,GAC,Mubadala,1.0,Mubadala,1.0,Guinea,Africa & Asia (ex China)
Chalco Boffa - Total,Chalco Boffa,Chalco,,,,1.0,Guinea,Africa & Asia (ex China)
Chalco Boffa,Chalco Boffa,Chalco,Chalco,1.0,Chalco,1.0,Guinea,Africa & Asia (ex China)
AMR - Total,AMR,AMR,,,,1.0,Guinea,Africa & Asia (ex China)
AMR,AMR,AMR,AMR,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
Henan-Chine - Total,Henan-Chine,Henan-Chine,,,,1.0,Guinea,Africa & Asia (ex China)
Henan-Chine,Henan-Chine,Henan-Chine,Henan-Chine,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
SMB Malapouya - Total,SMB-WAP,SMB-WAP,,,,1.0,Guinea,Africa & Asia (ex China)
SMB Malapouya,SMB-WAP,SMB-WAP,SMB-WAP,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
Dynamic - Total,Dynamic,Dynamic,,,,1.0,Guinea,Africa & Asia (ex China)
Dynamic,Dynamic,Dynamic,Dynamic,1.0,Dynamic,1.0,Guinea,Africa & Asia (ex China)
GDM - Total,GDM,GDM,,,,1.0,Guinea,Africa & Asia (ex China)
GDM,GDM,GDM,GDM,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
Ashapura Guinea - Total,Ashapura Guinea,Ashapura Guinea,,,,1.0,Guinea,Africa & Asia (ex China)
Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,Ashapura Guinea,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
SMB Kaboye - Total,SMB-WAP,SMB-WAP,,,,1.0,Guinea,Africa & Asia (ex China)
SMB Kaboye,SMB-WAP,SMB-WAP,SMB-WAP,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
SMB Dabiss S - Total,SMB-WAP,SMB-WAP,,,,1.0,Guinea,Africa & Asia (ex China)
SMB Dabiss S,SMB-WAP,SMB-WAP,SMB-WAP,1.0,SMB-WAP,1.0,Guinea,Africa & Asia (ex China)
Eurasian - 3rd Party Mines - Total,Eurasian,Eurasian,,,,1.0,Guinea,Africa & Asia (ex China)
Eurasian - 3rd Party Mines,Eurasian,Eurasian,,1.0,Eurasian,1.0,Guinea,Africa & Asia (ex China)
Aroaima - Total,Aroaima,Rusal,,,,1.0,Guyana,South America
Aroaima,Aroaima,Rusal,Rusal,0.9,Rusal,1.0,Guyana,South America
Aroaima,Aroaima,Rusal,Gvt. of Guyana,0.1,Gvt. of Guyana,0.0,Guyana,South America
Guyana Others - Total,,,,,,1.0,Guyana,South America
Guyana Others,,,Bosai,1.0,Bosai,1.0,Guyana,South America
Kurubuka - Total,Kurubuka,Rusal,,,,1.0,Guyana,South America
Kurubuka,Kurubuka,Rusal,Rusal,0.9,Rusal,1.0,Guyana,South America
Kurubuka,Kurubuka,Rusal,Gvt. of Guyana,0.1,Gvt. of Guyana,0.0,Guyana,South America
Bakony - Total,Bakony,Hungalu MAL,,,,1.0,Hungary,East & Central Europe
Bakony,Bakony,Hungalu MAL,Hungalu MAL,1.0,Hungalu MAL,1.0,Hungary,East & Central Europe
Chhattisgarh - Total,,,,,,1.0,India,Africa & Asia (ex China)
Chhattisgarh,,,Hindalco,0.6235967422408101,Hindalco,0.6235967422408101,India,Africa & Asia (ex China)
Chhattisgarh,,,Hindalco,0.06980912549919815,Hindalco,0.06980912549919815,India,Africa & Asia (ex China)
Chhattisgarh,,,Vedanta,0.3065941322599918,Vedanta,0.3065941322599918,India,Africa & Asia (ex China)
Goa - Total,,,,,,1.0,India,Africa & Asia (ex China)
Goa,,,Other,1.0,Other,1.0,India,Africa & Asia (ex China)
Gujarat & Maharashtra - Total,,,,,,1.0,India,Africa & Asia (ex China)
Gujarat & Maharashtra,,,Ashupura,0.8,Ashupura,0.8,India,Africa & Asia (ex China)
Gujarat & Maharashtra,,,Scabal,0.1,Scabal,0.1,India,Africa & Asia (ex China)
Gujarat & Maharashtra,,,Thankys,0.1,Thankys,0.1,India,Africa & Asia (ex China)
Jharkhand - Total,,,,,,1.0,India,Africa & Asia (ex China)
Jharkhand,,,Hindalco,0.36942992282798104,Hindalco,0.36942992282798104,India,Africa & Asia (ex China)
Jharkhand,,,Hindalco,0.5374657704754792,Hindalco,0.5374657704754792,India,Africa & Asia (ex China)
Jharkhand,,,Vedanta,0.09310430669653971,Vedanta,0.09310430669653971,India,Africa & Asia (ex China)
Karnataka - Total,,,,,,1.0,India,Africa & Asia (ex China)
Karnataka,,,Hindalco,1.0,Hindalco,1.0,India,Africa & Asia (ex China)
Odisha - Total,,,,,,1.0,India,Africa & Asia (ex China)
Odisha,,,Nalco,0.6,Nalco,0.6,India,Africa & Asia (ex China)
Odisha,,,Vedanta,0.2,Vedanta,0.2,India,Africa & Asia (ex China)
Odisha,,,Hindalco,0.2,Vedanta,0.2,India,Africa & Asia (ex China)
Andhra Pradesh - Total,,,,,,1.0,India,Africa & Asia (ex China)
