Year,Alumina Capacity,Real Capacity,Alumina Production,Unnamed: 4,Aluminium Capacity,Aluminium Production
2000,4.17,,4.308157,,3.50935,2.779375
2001,4.202,,4.691664,,4.22155,3.380251
2002,5.165,,5.435734,,5.35765,4.313508
2003,5.735,,6.179648,,7.396849999999999,5.564244
2004,6.395,,6.967852,,8.804249999999998,6.708283
2005,8.9,6.395,8.485488549999998,,9.718800000000002,8.073785
2006,18.695,8.9,13.442813,,11.7251,9.65866536363636
2007,27.295,18.815,19.403,,15.3465,12.1733192889342
2008,34.095,27.415,23.1633,,16.7795,12.6804748829794
2009,36.195,34.195,24.585082568807305,,20.0145,12.703331583876901
2010,43.165,36.395,29.344675104146695,,22.4855,15.548856811882901
2011,51.495,43.6,33.70115465793689,,24.798,17.345364638633402
2012,59.69,52.26,40.986,,30.35,22.719699596917305
2013,64.12,63.405,48.065,,36.75,24.5809559838411
2014,68.32,,50.658,,39.5,26.5442497897503
2015,73.37,,56.163,,41.7,30.693
2016,76.56999999999998,,60.898,,44.859,32.465
2017,82.59999999999998,,69.02,,46.932,36.6
2018,86.2,,70.8,,45.955,36.3
2019,88.81999999999998,,70.81,,43.9,35.5
2020,92.82,,73.5,,44.35,36.8
2021,96.22000000000001,,76.9,,44.8,38.2
2022,100.32,,79.29999999999998,,45.1,39.0
