Key,Name,Country,Region,Total Al2O3,Total SiO2,LT Reactive SiO2,Moisture,Monohydrate ,Total Organic Carbon,Style,Unnamed: 11,Unnamed: 12
M_001,Weipa,Australia,Oceania,0.54,0.08999999999999998,0.06,0.13,0.08999999999999998,High,HT-B,,
M_002,Gove,Australia,Oceania,0.495,0.05,0.042,0.095,0.028,High,LT,,
M_003,Boddington,Australia,Oceania,0.35,0.165,0.015,0.08,0.00999999999999997,High,LT,,
M_004,Huntly,Australia,Oceania,0.35,0.2,0.011,0.08,0.008999999999999958,High,LT,,
M_005,Willowdale,Australia,Oceania,0.34,0.2,0.01,0.08,0.01,High,LT,,
M_006,Bauxite Hills,Australia,Oceania,0.5134,0.0951,0.051264363185621296,0.1,0.0519232872145358,High,HT-D,,
M_007,Metro LT,Australia,Oceania,0.49,0.147,0.05343658196467311,0.1,0.023539689948324696,High,LT,,
M_008,Metro Blend,Australia,Oceania,0.5057,0.1116,0.0541869848156182,0.1,0.0502236706117686,High,HT-D,,
M_009,Greencoast Hey Point,Australia,Oceania,0.5,0.115,0.08999999999999998,0.13,0.02,High,HT-D,,
M_010,QBL South Johnstone,Australia,Oceania,0.45,0.0,0.03,0.1,0.03,High,LT,,
M_011,Aurukun,Australia,Oceania,0.53,0.11,0.07499999999999998,0.13,0.07499999999999998,High,HT-D,,
M_012,Amrun,Australia,Oceania,0.54,0.08999999999999998,0.0675,0.13,0.10800000000000001,High,HT-B,,
M_013,Amrun HT,Australia,Oceania,0.54,0.08999999999999998,0.0675,0.13,0.10800000000000001,High,HT-B,,
M_014,ABx Tasmania,Australia,Oceania,0.425,0.033,0.029,0.1,0.031,High,LT,,
M_015,Jajce,Bosnia,East & Central Europe,0.56,0.06,0.05,0.1,0.51,Low,HT-D,,
M_016,Milici (Vlasenica),Bosnia,East & Central Europe,0.52,0.07,0.06,0.1,0.46,Low,HT-D,,
M_017,MRN (Trombetas),Brazil,South America,0.55,0.05,0.045,0.07,0.00500000000000005,Low,LT,,
M_018,Mirai,Brazil,South America,0.48,0.08,0.03,0.13,0.02,Low,LT,,
M_019,Rondon do Para,Brazil,South America,0.47,0.05,0.039,0.13,0.00299999999999998,Low,LT,,
M_020,Paragominas,Brazil,South America,0.52,0.045,0.041,0.13,0.00400000000000004,Low,LT,,
