Key,Name,Country,2017.0,2018.0,2019.0,2020.0,Q1 2017,Q1 2018,Q1 2019,Q1 2020,Q2 2017,Q2 2018,Q2 2019,Q2 2020,Q3 2017,Q3 2018,Q3 2019,Q3 2020,Q4 2017,Q4 2018,Q4 2019,Q4 2020
M_001,Weipa,Australia,,,,,6893.0,7431.0,7917.0,8720.0,7805.0,7955.0,8533.0,0.0,7895.0,8204.0,8695.0,0.0,8304.0,6847.0,10267.0,0.0
M_002,Gove,Australia,,,,,2388.0,3124.0,3004.0,2876.0,2780.0,3274.0,2957.0,0.0,2809.0,2893.0,2968.0,0.0,3224.0,3250.0,3273.0,0.0
M_003,Boddington,Australia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_004,Huntly,Australia,,,,,5834.16,5931.25,6492.62,6153.17,5781.6,5984.54,6093.31,0.0,6096.96,6283.11,6461.96,0.0,6359.76,6349.54,6641.54,0.0
M_005,Willowdale,Australia,,,,,2157.84,2193.75,2401.38,2275.83,2138.4,2213.46,2253.69,0.0,2255.04,2323.89,2390.04,0.0,2352.24,2348.46,2456.46,0.0
M_006,Bauxite Hills,Australia,,,,,0.0,0.0,0.0,0.0,0.0,400.5,792.0,0.0,0.0,773.1,1278.0,0.0,0.0,668.7000000000002,1083.6,0.0
M_007,Metro LT,Australia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_008,Metro Blend,Australia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_009,Greencoast Hey Point,Australia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_010,QBL South Johnstone,Australia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M_011,Aurukun,Australia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
