Province,county,china_bx_data2_id,deposit_mine,inventory_000_t,geological_endowment_000_t,inventory_reference,endowment_reference,filter_for_DDM
Guizhou,Kaiyang,1,CM data,500,500,BHL2008,BHL2008,
Beijing,Beijing,2,Beijing,420,420,BHL2008,BHL2008,
Chongqing,Fengdu,3,Fengdu County Huilong,1346,1346,BHL2008,BHL2008,
Chongqing,Nanchuan,4,Nanchuan City Caizhuba,8102,8102,BHL2008,BHL2008,
Chongqing,Nanchuan,5,Nanchuan City Bozishan,5570,5570,BHL2008,BHL2008,
Chongqing,Nanchuan,6,Nanchuan City Hongguandu-Guangnan,781,781,BHL2008,BHL2008,
Guangxi,Debao,7,Najia deposit,19520,36840,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,8,Diling,0,61110,GxGeoRpt,GxGeoRpt,
Guangxi,Chongzuo,9,Fusui County - Chongzuo County Bauxite Deposit Prospective Study,0,32230,-,REF 08-13 New Discoveries Document,
Guangxi,Chongzuo,10,Shuikou - Dongluo - Liuqiao,0,52891,-,????--?????????????????http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=127450,
Chongqing,Nanchuan,11,Chuandongwan-Huihe-Dafoyan (Chalco),75440,75440,"75,440 listed as Resource Reserve by news report","75,440 listed as Resource Reserve by news report",
Fujian,Fujian,12,Fujian,653,653,BHL2008,BHL2008,
Chongqing,Nanchuan,13,Nanchuan City Jinfoshan Zhenziyan-Baojiaping,973,973,BHL2008,BHL2008,
Chongqing,Nanchuan,14,Xinfangzi-Moziwan,1170,1170,Mining/exploration right - Bosai,Mining/exploration right - Bosai,
Chongqing,Nanchuan,15,Bosai Shuijiang,2500,3650,"(news) report 2014 Reserve 3.65 mln, mineble resrve 2.5 mln","(news) report 2014 Reserve 3.65 mln, mineble resrve 2.5 mln",
Chongqing,Qinjiang,16,Qijiang County Shuitianba Bauxite Mine? Mine,9500,11000,"???????????????, https://news.cnal.com/2017/04-28/1493341978473581.shtml","???????????????, https://news.cnal.com/2017/04-28/1493341978473581.shtml",
Chongqing,Wulong,17,"Chongqing Dingtai Tuoyuan alumina Development Co., Ltd.",27867,27867,BHL2008,BHL2008,
Guangdong,Guangdong,18,Guangdong,0,118,-,BHL2008,
Chongqing,Wulong,19,Wulong County Baimashan,3560,3560,BHL2008,BHL2008,
Chongqing,Wulong,20,Wulong County Baisheng Bauxite Mine,2000,2000,BHL2008,BHL2008,
Guangxi,Binyang,21,Daluo deposit,7520,24010,GxGeoRpt,GxGeoRpt,
Chongqing,Wulong,22,Wulong County Changba District Muyanggou Bauxite Mine,272,272,BHL2008,BHL2008,
Chongqing,Wulong,23,Wulong County Qingshui County ,2677,2677,BHL2008,BHL2008,
Guangxi,Jingxi,24,Dalu deposit,0,0,GxGeoRpt,GxGeoRpt,
Chongqing,Wulong,25,Wulong County Haokou Bauxite Mine,4100,14400,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Chongqing,Wulong,26,Wulong County Chepan Bauxite Resource Prospecting,0,6000,REF 08-13 New Discoveries Document,REF 08-13 New Discoveries Document,
Guangxi,Chongzuo,27,not allocated by mine,50257.5,0,2016-2020 Guangxi Mineral Comprehensive Plan RR= 87.771 mln t,2016-2020 Guangxi Mineral Comprehensive Plan RR= 87.771 mln t,
Guangxi,Chongzuo,28,Fusui County Bayang Bauxite Mine,0,35000,-,REF 08-13 New Discoveries Document,
Guangxi,Chongzuo,29,Liuqiao - Shanxu ,37513.5,64253.8,????--???????????????http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=135637,????--???????????????http://search.ngac.cn/Search/Search_Detail.aspx?PKIIB=135637,
Guangxi,Debao,30,Batou deposit,19060,41240,GxGeoRpt,GxGeoRpt,
Guangxi,Debao,31,Dongling deposit,55200,137350,GxGeoRpt,GxGeoRpt,
Guangxi,Debao,32,Ma?ai deposit,31042,41830,BHL2008,GxGeoRpt,
Guangxi,Debao,33,Jingde township,60400,60400,"??????????, http://dzzl.gxdlr.gov.cn/detail.aspx?id=76 & http://baise.sjsmw.com/xt/html_l.aspx?Id=10922 http://dzzl.gxdlr.gov.cn/detail.aspx?id=76 & http://baise.sjsmw.com/xt/html_l.aspx?Id=10922","??????????, http://dzzl.gxdlr.gov.cn/detail.aspx?id=76 & http://baise.sjsmw.com/xt/html_l.aspx?Id=10922 http://dzzl.gxdlr.gov.cn/detail.aspx?id=76 & http://baise.sjsmw.com/xt/html_l.aspx?Id=10922",
Guangxi,Donglan,34,Donglan County Huaxiang deposit & Bauxite Mine,750,36710,GxGeoRpt,GxGeoRpt,
Guangxi,Donglan,35,Datong deposit,380,46240,GxGeoRpt,GxGeoRpt,
Guangxi,Donglan,36,Sanshi deposit,760,65163,GxGeoRpt,GxGeoRpt,
Guangxi,Guigang,37,0,0,220000,-,"MLR Guangxi- Guigang Mineral Resource General Plan, News Source .. Over 220 mln t ""Reserve""",
Guangxi,Heng,38,Xiexu,0,267488,-,2016 Guangxi Mineral Plan + GxGeoRpt,
Guangxi,Jingxi,39,Dajia deposit,111390,275350,GxGeoRpt,GxGeoRpt,
Guangxi,Jingxi,40,Sanhe deposit,53450,97850,GxGeoRpt,GxGeoRpt,
