Label regardless,Linear order,Rank,Name,Prodn / Capacity,Series 1,Series 2,Series 3,Series 4,Series 5,Series 6,Series 7,Series 8,Series 9,Series 10,Total Cost
-,1.0,-,Weiqiao Self Supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,2.0,-,Eurasian 3rd Prty 50km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,3.0,-,Spare G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,4.0,-,Vietnam Others,1.0,22.23696303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,5.0,-,Gove,8.6,23.25931928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,6.0,-,Solomon Islands,2.8,32.93129375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,7.0,-,Weipa/Amrun Generic,4.2,34.06173177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,8.0,-,Dian Dian,3.0,34.36529686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,9.0,-,West Kalimantan,9.0,35.05316578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,10.0,-,Huntly,7.0,36.80947881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,11.0,-,Metro LT,0.0,38.09874868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,12.0,-,Metro BH1,0.0,38.78096731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,13.0,-,Metro BH1 Xinfa §,0.0,38.78096731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,14.0,-,Other,0.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,15.0,-,GAC,5.56,40.15104228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,16.0,-,Alufer (Bel Air),9.0,40.66062485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,17.0,-,Henan-Chine,10.0,41.67233966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,18.0,-,Henan-Chine §,0.0,0.0,41.67233966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,19.0,-,Amrun,0.0,41.782499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,20.0,-,Amrun,22.8,41.782499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,21.0,-,CBG,8.65,43.10650493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,22.0,-,Metro Blend,6.0,43.18924573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,23.0,-,AMC,9.0,43.26388006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,24.0,-,Dynamic,5.5984389939999994,44.61228172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,25.0,-,AGB2A,0.0,45.82582872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,26.0,-,SMB Malapouya-Boké,0.0,46.19089083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,27.0,-,SMB Malapouya-Boké §,7.0,0.0,46.19089083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,28.0,-,Juruti,0.0,46.59111881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,29.0,-,GDM,0.0,46.73237702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,30.0,-,GDM §,2.960090316,0.0,46.73237702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,31.0,-,SMB Santou-Houda,0.0,47.50551135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,32.0,-,SMB Santou-Houda §,26.4,0.0,47.50551135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,33.0,-,MRN,0.0,47.78133815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,34.0,-,Chalco Boffa §,10.8,0.0,48.16825339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,35.0,-,Aurum Xinfa-Fiji §,0.0,0.0,48.37500407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,36.0,-,Awaso §,0.0,0.0,49.49918761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,37.0,-,Gujarat & Maharashtra,0.0,49.66662188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,38.0,-,AMR,0.0,50.00286218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,39.0,-,AMR §,0.0,0.0,50.00286218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,40.0,-,SMB Kaboye,0.0,51.38632167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,41.0,-,SMB Kaboye §,0.0,0.0,51.38632167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,42.0,-,Kuantan & Johor,0.0,51.59333104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,43.0,-,Rundi,0.0,51.90709735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,44.0,-,Discovery Bay,0.0,52.02479945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,45.0,-,SMB Dabiss S,0.0,52.31608248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,46.0,-,SMB Dabiss S §,1.1206429470000001,0.0,52.31608248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,47.0,-,Dabiss N,0.0,52.55354986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,48.0,-,Ashapura Guinea,0.0,54.98061112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,49.0,-,Ashapura Guinea §,0.0,0.0,54.98061112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,50.0,-,Aurukun,0.0,57.06558465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,51.0,-,Metallica,0.0,62.26113509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,52.0,-,Dom. Rep.,0.0,66.9091472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,53.0,-,Mirai,0.0,74.25698773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
-,54.0,-,Rondon do Para,0.0,84.70834808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
