,Rank,Final Label
0,,0.0
1,,Gove 8.6mln t $23.3
2,,0
3,,Weipa/Amrun Generic 4.2mln t $34.1
4,,Dian Dian 3.0mln t $34.4
5,,West Kalimantan 9.0mln t $35.1
6,,Huntly 7.0mln t $36.8
7,,0
8,,GAC 5.6mln t $40.2
9,,Alufer (Bel Air) 9.0mln t $40.7
10,,Henan-Chine 10.0mln t $41.7
11,,Amrun 22.8mln t $41.8
12,,CBG 8.6mln t $43.1
13,,Metro Blend 6.0mln t $43.2
14,,AMC 9.0mln t $43.3
15,,Dynamic 5.6mln t $44.6
16,,SMB Malapouya-Boké § 7.0mln t $46.2
17,,0
18,,SMB Santou-Houda § 26.4mln t $47.5
19,,Chalco Boffa § 10.8mln t $48.2
20,,0
21,,0.0
22,,0.0
23,,0.0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
