Name,Province,year,estimated_reserves_consumed_per_year,cumulative_factored_up_production
Chalco Pingguo,Guangxi,2009,0.0,0.0
Chalco Zunyi,Guizhou,2009,0.0,0.0
Chalco Zhengzhou domestic,Henan,2009,0.0,0.0
Chalco Huaxing,Shanxi,2009,0.0,0.0
Chalco Xinghua,Shanxi,2009,0.0,0.0
Chalco Shanxi,Shanxi,2009,0.0,0.0
Chalco Zhongzhou Dom. Bayer,Henan,2009,0.0,0.0
Chalco Guizhou,Guizhou,2009,0.0,0.0
Chalco Zhongzhou Dom. Sinter,Henan,2009,0.0,0.0
Chalco Shandong sinter,Shandong,2009,0.0,0.0
Huayin,Guangxi,2009,0.0,0.0
Huajin,Guizhou,2009,0.0,0.0
YMG - Wenshan,Yunnan,2009,0.0,0.0
East Hope Lingshi,Shanxi,2009,0.0,0.0
East Hope Mianchi,Henan,2009,0.0,0.0
Jinjiang Longzhou,Guangxi,2009,0.0,0.0
Jinjiang Tiandong,Guangxi,2009,0.0,0.0
Fusheng,Shanxi,2009,0.0,0.0
Xingan Chemical,Shanxi,2009,0.0,0.0
Kaiman,Henan,2009,0.0,0.0
Yima Yixiang,Henan,2009,0.0,0.0
Aokaida,Shanxi,2009,0.0,0.0
Xinwang H-B,Inner Mongolia,2009,0.0,0.0
Bosai Xianfeng domestic,Chongqing,2009,0.0,0.0
Shuijiang,Chongqing,2009,0.0,0.0
Qingzhen Guanglv,Guizhou,2009,0.0,0.0
Kaisheng,Guizhou,2009,0.0,0.0
Jingxin,Henan,2009,0.0,0.0
Shaoxing,Henan,2009,0.0,0.0
Weilai,Henan,2009,0.0,0.0
Yifeng Gongyi (Yulian Xinya),Henan,2009,0.0,0.0
Zhongchao,Henan,2009,0.0,0.0
Jialu Xianfeng,Hubei,2009,0.0,0.0
Jinshi,Hubei,2009,0.0,0.0
Huixiang,Hunan,2009,0.0,0.0
Gangyuan Jiaohua,Shanxi,2009,0.0,0.0
Huaqing,Shanxi,2009,0.0,0.0
Qiangjin Aluminium,Shanxi,2009,0.0,0.0
Taixing,Shanxi,2009,0.0,0.0
Tiantong,Shanxi,2009,0.0,0.0
Wusheng,Shanxi,2009,0.0,0.0
Senze,Shanxi,2009,0.0,0.0
Huafei,Guizhou,2009,0.0,0.0
Dongxu Tianyuan,Shanxi,2009,0.0,0.0
Wanji,Henan,2009,0.0,0.0
Zhongmei,Henan,2009,0.0,0.0
Tiangui,Guangxi,2009,0.0,0.0
Xian,Guizhou,2009,0.0,0.0
Qizheng Chemical,Guizhou,2009,0.0,0.0
SPIC - Wuchuan,Guizhou,2009,0.0,0.0
Tuoyuan,Chongqing,2009,0.0,0.0
SPIC Shanxi,Shanxi,2009,0.0,0.0
Shenhuo,Henan,2009,0.0,0.0
Huiyuan Lushan,Henan,2009,0.0,0.0
Xinfa Jingxi,Guangxi,2009,0.0,0.0
Xinfa - Jiaokou,Shanxi,2009,0.0,0.0
Xinfa - Xiaoyi,Shanxi,2009,0.0,0.0
Yangquan Zhaofeng,Shanxi,2009,0.0,0.0
Datang Tuoketuo Fly Ash,Inner Mongolia,2009,0.0,0.0
Mengxi Fly Ash,Inner Mongolia,2009,0.0,0.0
Chalco Xinghua import,Shanxi,2009,0.0,0.0
Huasheng,Guangxi,2009,0.0,0.0
Chalco Zhengzhou import,Henan,2009,0.0,0.0
Chalco Zhongzhou LT Amt,Henan,2009,0.0,0.0
Chalco Lianyungang,Jiangsu,2009,0.0,0.0
Chalco Shandong L-B,Shandong,2009,0.0,0.0
Chalco Shandong sinter import,Shandong,2009,0.0,0.0
Chalco Shanxi import,Shanxi,2009,0.0,0.0
East Hope Mianchi Added LT,Henan,2009,0.0,0.0
East Hope Lingshi Import,Shanxi,2009,0.0,0.0
Kaiman Import,Henan,2009,0.0,0.0
Jinjiang Lianyungang,Jiangsu,2009,0.0,0.0
Xingan Chemical import,Shanxi,2009,0.0,0.0
Lubei,Shandong,2009,0.0,0.0
Nanshan Donghai H-B,Shandong,2009,0.0,0.0
Nanshan Donghai L-B,Shandong,2009,0.0,0.0
Xinwang L-B,Inner Mongolia,2009,0.0,0.0
Bosai Wanzhou,Chongqing,2009,0.0,0.0
Bosai Xianfeng import,Chongqing,2009,0.0,0.0
Bochuang,Shandong,2009,0.0,0.0
Qihui H-B,Inner Mongolia,2009,0.0,0.0
Qihui L-B,Inner Mongolia,2009,0.0,0.0
Mengxi import,Inner Mongolia,2009,0.0,0.0
Nanhan,Shandong,2009,0.0,0.0
Dongxu Tianyuan import,Shanxi,2009,0.0,0.0
Wanji import,Henan,2009,0.0,0.0
Qizheng Chemical Added LT,Guizhou,2009,0.0,0.0
SPIC Shanxi import,Shanxi,2009,0.0,0.0
Weiqiao - Binzhou H-B,Shandong,2009,0.0,0.0
Weiqiao-Wudi-Zhanhua H-B,Shandong,2009,0.0,0.0
Weiqiao - Binzhou L-B,Shandong,2009,0.0,0.0
Weiqiao-Wudi-Zhanhua L-B,Shandong,2009,0.0,0.0
Chiping Xinfa H-B,Shandong,2009,0.0,0.0
Chiping Xinfa L-B,Shandong,2009,0.0,0.0
Guangxi - blending,Guangxi,2009,0.0,0.0
Guizhou - blending,Guizhou,2009,0.0,0.0
Henan - blending,Henan,2009,0.0,0.0
Other - blending,Chongqing,2009,0.0,0.0
Shanxi - blending,Shanxi,2009,0.0,0.0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
