Province,County,minable_shallow_inventory,refractory_allocation,remaining_inventory_available_to_mining_for_SGA000t,remaining_inventory_available_to_mining_for_SGA_AA,remaining_inventory_available_to_mining_for_SGA_SiO2,remaining_inventory_available_to_mining_for_SGA_AS,extractable_to_SGA,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,province_county_000twstockprior,refractory_depletion_end_2009,refractory_depletion_end_2009_000t,SGA_depletion_end_2009,SGA_depletion_end_2009_000t,endowment_end_2009_prov_totals,geol_endowment_end_2009,endowment_end_2009_all,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,SiO2_end_2009_2,AS_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated,check_sum,deposit,deep bauxite,Include Inventory in Allocations Further Processed?,correction_factor
Yunnan,Annin,5539.0,0.0,5539.0,0.594489908,0.1010579887404962,5.882661187,0.7,3512.0721875346203,0.594489908,5.882661187,0.5647654126,4.7061289496,0.12000636162933924,Yunnan-Annin-3512.0721875346203,0,0.0,0.0,0.0,5539.0,,something,3512.0721875346203,0.5647654126,0.12000636162933924,4.7061289496,0.0,0.7,0.07777777777777778,9,3512.0721875346203,0.5647654126,0.12000636162933924,4.7061289496,3512.0721875346203,0.0,,0.0,Yes,1.0
Shanxi,Baode,130827.0,0.0,130827.0,0.591764273,0.07043685336378565,8.401344534,0.7,91578.89999999985,0.591764273,8.401344534,0.5628119662789445,6.80508907254,0.08270457010621829,Shanxi-Baode-91578.89999999985,0,0.0,0.0,0.0,271677.8,,something,91578.89999999985,0.5628119662789445,0.08270457010621829,6.80508907254,0.0,0.7,0.07777777777777778,9,91578.89999999985,0.5628119662789445,0.08270457010621829,6.80508907254,91578.89999999985,0.0,,0.0,Yes,1.0
Henan,Baofeng,23864.86,0.0,23864.86,0.614699404,0.12409355565443014,4.953515924,0.7,16578.619931279853,0.614699404,4.953515924,0.582991643102298,4.065868047309992,0.14338675931404352,Henan-Baofeng-16578.619931279853,0,0.0,0.0,0.0,37835.16,,something,16578.619931279853,0.582991643102298,0.14338675931404352,4.065868047309992,0.0,0.7,0.07777777777777778,9,16578.619931279853,0.582991643102298,0.14338675931404352,4.065868047309992,0,1.0,,0.0,Yes,1.0
Guangxi,Binyang,,,,,,,,0.0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0.0,NO,
Guinea,CBG,,,,,,,0.7,0.0,,,0.483,,0.015,Guinea-CBG-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Shaanxi,Chencheng,341.0,0.0,341.0,0.4956,0.09912,5.0,0.7,147.48250000098042,0.4956,5.0,0.47081999999999996,4.25,0.11078117647058823,Shaanxi-Chencheng-147.48250000098042,0,0.0,0.0,0.0,484.0,,something,147.48250000098042,0.47081999999999996,0.11078117647058823,4.25,0.0,0.7,0.07777777777777778,9,147.48250000098042,0.47081999999999996,0.11078117647058823,4.25,147.48250000098042,0.0,,0.0,Yes,1.0
Yunnan,Chengong,969.0,0.0,969.0,0.5389,0.09657706093189965,5.58,0.7,545.0625000024227,0.5389,5.58,0.511955,4.464,0.11468525985663082,Yunnan-Chengong-545.0625000024227,0,0.0,0.0,0.0,969.0,,something,545.0625000024227,0.511955,0.11468525985663082,4.464,0.0,0.7,0.07777777777777778,9,545.0625000024227,0.511955,0.11468525985663082,4.464,545.0625000024227,0.0,,0.0,Yes,1.0
Hunan,Chenxi,4815.0,0.0,4815.0,0.6219,0.12437999999999998,5.000000000000001,0.7,0.0,0.6219,5.000000000000001,0.590805,4.250000000000001,0.13901294117647056,Hunan-Chenxi-0.0,0,0.0,0.0,0.0,4815.0,,something,0.0,0,0,0,0.0,0.7,0.07777777777777778,9,0.0,,0,0,0,1.0,,0.0,Yes,1.0
Fly Ash,China,,,,,,,0.7,0.0,,,0.42,,0.012,Fly Ash-China-0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0
Guangxi,Chongzuo,87771.0,0.0,87771.0,0.477,0.11925,4.0,0.7,0.0,0.477,4.0,0.45314999999999994,3.9,0.11619230769230768,Guangxi-Chongzuo-0.0,0,0.0,0.0,0.0,184374.8,,something,0.0,0,0,0,0.0,0.7,0.07777777777777778,9,0.0,,0,0,0,1.0,,0.0,Yes,1.0
