Province,Inventory,Geological Endowment,Excluded,deep Bauxite,minable shallow inventory,refractory allocation,remaining_inventory_available_to_mining_for_SGA000t,mining losses,working_stock_prior_to_AA_and_AS_de_rating000t,working_stock_prior_to_AA_and_AS_de_rating_AA,working_stock_prior_to_AA_and_AS_de_rating_AS,de_rated_Al2O3,de_rated_AS,de_rated_SiO2,refractory_depletion_end_2009,SGA_depletion_end_2009_000t,geol_endowment_end_2009,max_extr_inventory_end_2009_1,AA_end_2009_1,SiO2_end_2009_1,AS_end_2009_1,max_extr_inventory_end_2009_2,AA_end_2009_2,AS_end_2009_2,SiO2_end_2009_2,max_extr_inventory_end_2009_3,AA_end_2009_3,SiO2_end_2009_3,AS_end_2009_3,unallocated
Beijing,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chongqing,145858.0,164808.0,0.0,0.0,145858.0,0.0,145858.0,96153.19283366995,49704.80716633005,0.599783845660301,5.792112353553145,0.5798070833609815,4.624559565197171,0.12537563311421226,0.0,0.0,0.0,49704.80716633005,0.5798070833609815,0.12537563311421226,4.624559565197171,0.0,0.0,0.0,0.0,49704.80716633005,0.5798070833609815,0.12537563311421226,4.624559565197171,4278.0454166711015
Fujian,653.0,653.0,653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangdong,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guangxi,1540372.11,5670295.702,101350.0,0.0,1439022.11,0.0,1439022.11,599738.7458321988,839283.3641678013,0.5378916003715629,6.470619840266372,0.5269306351537945,6.661350349336478,0.0791026755117723,0.0,0.0,0.0,839283.3641678013,0.5269306351537945,0.0791026755117723,6.661350349336478,0.0,0.0,0.0,0.0,839283.3641678013,0.5269306351537945,0.0791026755117723,6.661350349336478,8373.613541885983
Guizhou,1039162.89,1309768.857,0.0,0.0,1039162.89,96556.4794,942606.4106000001,561193.528708637,381412.8818913631,0.6288350607869514,5.325948082430003,0.5851612364388973,5.23165390698708,0.1118501427736631,0.0,0.0,0.0,477969.36129136314,0.6083602688583618,0.10496704968178393,5.7957260940709965,96556.4794,0.7,9.0,0.07777777777777778,381412.8818913631,0.5851612364388974,0.11185014277366312,5.23165390698708,0.0
Hainan,21906.0,21906.0,21906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hebei,24886.34,70416.34,0.0,0.0,24886.34,0.0,24886.34,7469.1225937497875,17417.217406250213,0.6104938938124288,5.000000000000001,0.5591033798521892,4.0,0.1397758449630473,0.0,0.0,0.0,17417.217406250213,0.5591033798521892,0.1397758449630473,4.0,0.0,0.0,0.0,0.0,17417.217406250213,0.5591033798521892,0.1397758449630473,4.0,17417.217406250213
Henan,880961.1122,1838008.712,2256.0000299999956,0.0,878705.11217,68552.16999999998,810152.9421699999,365428.5703338656,444724.37183613435,0.6519434072828647,5.83508095749984,0.6188754349482932,4.848116980505216,0.12765274382545963,0.0,0.0,0.0,513276.5418361344,0.5927994331549514,0.12099154489551425,4.899511231688797,68552.16999999998,0.7,9.0,0.07777777777777778,444724.37183613435,0.6188754349482931,0.12765274382545963,4.848116980505215,0.0
Hubei,44425.4,44425.4,0.0,0.0,44425.4,0.0,44425.4,23746.764593741696,20678.635406258305,0.673,5.25,0.6114284972590001,4.2,0.14557821363309525,0.0,0.0,0.0,20678.635406258305,0.6114284972590001,0.14557821363309525,4.2,0.0,0.0,0.0,0.0,20678.635406258305,0.6114284972590001,0.14557821363309525,4.2,0.0
Hunan,4815.0,4815.0,0.0,0.0,4815.0,0.0,4815.0,4815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inner Mongolia,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jiangxi,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liaoning,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
