,,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Guangxi,Reserve,265653.6602500511,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Grade,0.5646465098642404,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Grade,0.06952128960424993,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,A/S,8.121922264078984,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Factor X,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Closed,0.9523051024854173,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Purchased,0.04769489751458267,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Profile Starting grade,0.6109475236731081,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Profile Depletion grade,0.4968889286805315,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Profile Scaled mean,0.5940594059405938,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Profile Scaled variance,0.0073522203705518995,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Profile Alpha value,18.891089108910908,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Alumina Profile Beta value,12.908910891089134,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Starting ratio,14.802203326283948,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Depletion ratio,5.900576524853382,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Profile Starting grade,0.03356857879382164,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Profile Depletion grade,0.10354031018829792,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Profile Scaled mean,0.5138176531282242,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Profile Scaled variance,0.01521059012316608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Profile Alpha value,7.924797173990688,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Silica Profile Beta value,7.498567760520503,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Grade Profile Alumina Grade,0.6109475236731081,0.6013462003335147,0.5887421914800447,0.586833127570811,0.5856620328886262,0.584472347324028,0.5830781779504569,0.5821548274129138,0.5812496390586068,0.5802965118540161,0.5794765597150485,0.5787505944171218,0.5780947579907625,0.5774933723812071,0.5769355434451913,0.5764336306182882,0.5759400961098449,0.5754718855878554,0.5750253626276317,0.5745976052810835,0.5741862263020764,0.5737892468684616,0.5734050056784454,0.5730320920993123,0.5726692960725354,0.5723155699445914,0.5720110371187758,0.5717122671763653
Guangxi,Grade Profile Silica Grade,0.03356857879382164,0.037717035189446864,0.04761397343224395,0.049305471249060456,0.050357495200889085,0.05143570015205559,0.05270957176716027,0.053558440610711966,0.054393981767075494,0.05527680844539146,0.056038339443279,0.05671386498231683,0.057324962661085326,0.057885862092336496,0.05840648028612134,0.05887510819471653,0.059336021074437834,0.05977332033619141,0.060190343542400535,0.06058977636733347,0.06097381574041938,0.06134428463798644,0.06170271484751297,0.06205040792033795,0.06238848090643693,0.06271790124330366,0.06300133248150389,0.06327922749922107
Guangxi,A/S ratio draw-down,14.802203326283948,15.943623280913924,12.364903599525078,11.901988008724151,11.630086654474546,11.363164992334024,11.062092868561932,10.869525340446149,10.685918187560143,10.498010434652665,10.340716114573384,10.204746133905248,10.084520445456798,9.976414818872698,9.877937184690854,9.79078677379004,9.706415861409385,9.627571002433005,9.553448755821776,9.4834085836117,9.416931174957611,9.353589340141266,9.293027172232398,9.234944802216077,9.179087032610378,9.125234719261227,9.07934823897111,9.034754211931595
Guangxi,Demand Profile,0.99999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Sourcing factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Aa Production - based on protocol,,910.0,940.0,900.0,1250.0,2000.0,1700.0,2000.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2400.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2200.0,2200.0,2200.0
Guangxi,Bauxite Usage-Bayer,,2.082228422541574,2.1795390923320657,2.196064578807368,2.206401132793174,2.2170514911196615,2.2297187702787897,2.2382159001295894,2.2466270950765357,2.2555687848886077,2.2633294671187403,2.2702523406508797,2.2765475411461273,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.322646697694051,2.3263902402052836,2.3300427357426665,2.3336138142469136,2.3366960137518786,2.3397268030516867
Guangxi,Bauxite Usage-Bayer Mud Sinter,,1.9522021171075425,2.0032315969452137,2.011362767784232,2.01639615516964,2.0215436890852247,2.0276187308658056,2.031666971452628,2.0356543264513967,2.0398725360131786,2.0435172305448703,2.0467562048468557,2.049691884818334,2.0523917317304075,2.0549027159630606,2.05716743838162,2.059399328006331,2.0615212107795102,2.063548866424086,2.0654949923730634,2.067369976939309,2.069182443007369,2.0709396398263635,2.07264773142116,2.0743120129164314,2.0759370755124658,2.0773380145544555,2.078714119978965
Guangxi,Bauxite Usage-Sinter,,1.9215910997322678,1.9627292270556873,1.969114305462015,1.9730517628388689,1.977067883038912,1.9817951522049304,1.98493845967731,1.9880296326552858,1.991294937697982,1.9941125953169268,1.9966139431484855,1.998879059957095,2.0009606372693036,2.0028953312849156,2.0046392941703535,2.006357109400335,2.007989504540768,2.0095487634464426,2.011044765585871,2.012485590016183,2.0138779398973328,2.0152274482701413,2.016538903057514,2.0178164157631677,2.019063550080549,2.020138478864274,2.0211941788931926
Guangxi,Bauxite Usage,,2.082228422541574,2.1795390923320657,2.196064578807368,2.206401132793174,2.2170514911196615,2.2297187702787897,2.2382159001295894,2.2466270950765357,2.2555687848886077,2.2633294671187403,2.2702523406508797,2.2765475411461273,2.282353829200996,2.2877680361701467,2.292662626252238,2.2974965821340483,2.302101586459405,2.306510401770975,2.3107494314353563,2.3148403091191825,2.3188010179059315,2.322646697694051,2.3263902402052836,2.3300427357426665,2.3336138142469136,2.3366960137518786,2.3397268030516867
Guangxi,Bauxite Consumption,,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371
Guangxi,Bauxite Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guangxi,Opening Stock,265653.6575935145,265653.5575935145,263758.72972900164,261709.96298220952,259733.50486128288,256975.50344529143,252541.4004630521,248750.87855357816,244274.44675331897,238657.87901562764,233018.9570534061,227360.63338560925,221685.00253398204,215993.6336811167,210287.74910811422,204797.10582130586,199065.44925567525,193321.70780034014,187566.45383419163,181800.1778297642,176023.3042511758,170236.20347837787,164439.20093361303,158632.5841893779,152816.60858886468,146991.50174950802,141857.5513581648,136716.82012791067
Guangxi,Usage,0.1,1894.8278645128323,2048.766746792142,1976.4581209266312,2758.001415991467,4434.102982239323,3790.5219094739427,4476.431800259179,5616.567737691339,5638.92196222152,5658.323667796851,5675.630851627199,5691.368852865318,5705.88457300249,5490.643286808352,5731.656565630595,5743.741455335121,5755.2539661485125,5766.276004427437,5776.873578588391,5787.100772797956,5797.002544764829,5806.616744235128,5815.975600513209,5825.106839356667,5133.95039134321,5140.731230254133,5147.39896671371
