,index,Province,County,Max Economic Tonnes - blending in country,Max Economic Tonnes - NO blending in country
0,145,Yunnan,Annin,3877.3000000000043,3877.3000000000043
1,100,Shanxi,Baode,91578.8999999999,91578.8999999999
2,57,Henan,Baofeng,16705.40200000001,16705.40200000001
3,8,Guangxi,Binyang,0.0,0.0
4,167,Guinea,CBG,99000000.0,
5,92,Shaanxi,Chencheng,238.69999999999962,238.69999999999962
6,146,Yunnan,Chengong,583.8224999987888,297.0590625024228
7,81,Hunan,Chenxi,3370.500000000007,3370.500000000007
8,166,Fly Ash,China,99000000.0,
9,9,Guangxi,Chongzuo,61439.700000000106,61439.69999999996
10,32,Guizhou,Daozhen,109789.2899999998,109789.2899999998
11,10,Guangxi,Debao,129655.40000000002,129655.40000000002
12,58,Henan,Dengfeng,42805.391999999985,31702.74344892988
13,11,Guangxi,Donglan,0.0,0.0
14,101,Shanxi,Fangshan,0.0,0.0
15,1,Chongqing,Fengdu,942.1999999999972,942.1999999999972
16,52,Hebei,Fengfeng,0.0,0.0
17,102,Shanxi,Fenxi,3856.8600000000047,3856.8600000000047
18,103,Shanxi,Fenyang,6071.9399999999905,4380.470999887242
19,161,Fiji,Fiji,99000000.0,
20,94,Shaanxi,Fugu,23552.2,23552.2
21,147,Yunnan,Fumin,1845.469999958202,936.6683333419733
22,33,Guizhou,Fuquan,3956.8178571737926,1988.0785714672506
23,164,Ghana,Ghana,99000000.0,
24,59,Henan,Gongyi,94369.27826504977,47432.26463082825
25,170,Australia,Gove,99000000.0,
26,105,Shanxi,Gu,5145.000000000014,5145.000000000014
27,148,Yunnan,Guangnan,5616.099999999995,3791.7032291944106
28,139,Sichuan,Guangyuan,0.0,0.0
29,149,Yunnan,Gudu,831.2850000000003,451.80187502390334
30,12,Guangxi,Guigang,0.0,0.0
31,34,Guizhou,Guiyang,5136.479999999986,3195.777214272257
32,169,India,Gujarat,99000000.0,
33,104,Shanxi,Gujiao,0.0,0.0
34,162,Guyana,Guyana,99000000.0,
35,95,Shaanxi,Hancheng,0.0,0.0
36,13,Guangxi,Heng,0.0,0.0
37,150,Yunnan,Heqing,118.62864583356249,55.268750000896254
38,106,Shanxi,Hequ,0.0,0.0
39,107,Shanxi,Heshun,2449.8180000000075,2449.8180000000075
40,151,Yunnan,Hongta,102.89999999999986,102.89999999999986
41,108,Shanxi,Huairen,735.0142499841078,282.52800000935866
42,35,Guizhou,Huangping,8949.120000000017,5195.017428551721
43,60,Henan,Hubin,1953.8400000000024,1061.2375000053496
44,109,Shanxi,Huozhou,3910.5458334006203,1924.9250001040507
45,110,Shanxi,Jiaokou,101324.81799999904,101324.81799999904
46,61,Henan,Jiaxian,2592.406250030624,1320.9583333451753
47,111,Shanxi,Jiexiu,3026.099999999993,1813.8587499946668
48,113,Shanxi,Jincheng,2048.199999999997,2048.199999999997
49,112,Shanxi,Jingle,0.0,0.0
50,14,Guangxi,Jingxi,284200.0000000014,284199.99999999977
51,53,Hebei,Jingxing,485.799999999999,485.799999999999
52,152,Yunnan,Jinnin,11.33125,5.665625
53,38,Guizhou,Jinsha,2617.410535737813,1117.5460714756261
54,62,Henan,Jiyuan,3322.125375023753,1684.820437513463
55,36,Guizhou,Kaili,34966.380000000005,22905.060232378077
56,37,Guizhou,Kaiyang,4661.5199999999895,3768.7556784798576
57,15,Guangxi,Laibin,0.0,0.0
58,114,Shanxi,Lin,31255.40868759605,14657.846812650363
59,115,Shanxi,Lingshi,26887.171999741444,13551.30704163908
60,16,Guangxi,Lingyun,0.0,0.0
61,116,Shanxi,Liulin,25298.279999999933,22452.223500505926
62,17,Guangxi,Long'an,0.0,0.0
63,39,Guizhou,Longli,139.55464285537494,66.89571428538898
64,18,Guangxi,Longzhou,35834.39999999993,35834.40000000005
65,118,Shanxi,Loufan,40892.59999999993,40892.59999999993
66,153,Yunnan,Ludian,0.0,0.0
67,63,Henan,Lushan,5480.0900000000065,5480.0900000000065
68,140,Sichuan,Lushan,10163.999999999969,10163.999999999969
69,117,Shanxi,Lvliang,0.0,0.0
70,165,Brazil,MRN,99000000.0,
71,163,Malaysia,Malaysia,99000000.0,
72,154,Yunnan,Malipo,1180.8299999999986,1180.8299999999986
73,19,Guangxi,Mashan,0.0,0.0
74,64,Henan,Mianchi,94521.92400000038,90757.92595619905
75,141,Sichuan,Miyi,0.0,0.0
76,2,Chongqing,Nanchuan,26529.164999810873,17577.787499751845
77,20,Guangxi,Napo,48978.999999999935,48978.999999999935
78,21,Guangxi,Ningming,0.0,0.0
79,121,Shanxi,Ningwu,15973.139474566276,8132.538375063386
80,0,Beijing,Not Applicable,0.0,0.0
81,5,Chongqing,Not Applicable,0.0,0.0
82,6,Fujian,Not Applicable,0.0,0.0
83,7,Guangdong,Not Applicable,0.0,0.0
84,31,Guangxi,Not Applicable,0.0,0.0
85,49,Guizhou,Not Applicable,0.0,0.0
86,51,Hainan,Not Applicable,0.0,0.0
87,56,Hebei,Not Applicable,0.0,0.0
88,78,Henan,Not Applicable,0.0,0.0
89,80,Hubei,Not Applicable,0.0,0.0
90,82,Hunan,Not Applicable,0.0,0.0
91,84,Inner Mongolia,Not Applicable,0.0,0.0
92,85,Jiangxi,Not Applicable,0.0,0.0
93,86,Liaoning,Not Applicable,0.0,0.0
94,99,Shaanxi,Not Applicable,0.0,0.0
95,91,Shandong,Not Applicable,0.0,0.0
96,138,Shanxi,Not Applicable,0.0,0.0
97,143,Sichuan,Not Applicable,0.0,0.0
98,144,Xinjiang,Not Applicable,0.0,0.0
99,65,Henan,Pingdingshan,3143.0000000000014,2225.356250005614
100,22,Guangxi,Pingguo,253406.4820000001,253406.48199999915
101,122,Shanxi,Pinglu,70423.47155316811,31774.06829104986
102,23,Guangxi,Pingxiang,0.0,0.0
103,93,Shaanxi,Pucheng,0.0,0.0
104,83,Inner Mongolia,Qingshuihe,0.0,0.0
105,40,Guizhou,Qingzhen,149551.4082000001,79580.48818226035
106,3,Chongqing,Qinjiang,2057.3437499983397,921.302083342201
107,66,Henan,Qinyang,5138.098958366051,2610.47708340091
108,123,Shanxi,Qinyuan,18508.325708396562,9187.04966667502
109,160,Australia,Queensland,99000000.0,
110,67,Henan,Ruyang,0.0,0.0
111,68,Henan,Ruzhou,4337.199999999988,4337.199999999988
112,168,Guinea,SMB,99000000.0,
113,69,Henan,Sanmenxia,10078.599999999997,6534.5922916984655
114,70,Henan,Shaan,57170.82000000005,54728.29880721996
115,24,Guangxi,Shanglin,95718.0000000004,95718.0000000004
116,124,Shanxi,Shenchi,2609.179999999999,1910.2924999925478
117,125,Shanxi,Shuozhou,3210.2000000000025,2044.591666661012
118,155,Yunnan,Songming,798.6999999999981,798.6999999999981
119,87,Shandong,Tai'an,3614.9999999999986,3614.9999999999986
120,54,Hebei,Tangshan,16708.300000000014,9808.66718762829
121,27,Guangxi,Tian'e,228.29947916606244,100.820312501033
122,25,Guangxi,Tiandong,11429.49500000001,7835.454579889728
123,28,Guangxi,Tianlin,412.79062499931325,187.73437500192367
124,142,Sichuan,Tianquan,3177.999999999997,3177.999999999997
125,26,Guangxi,Tianyang,84791.00000000041,76979.84993501949
126,96,Shaanxi,Tongchuan,660.100000000002,660.100000000002
127,41,Guizhou,Tongzi,0.0,0.0
128,171,Vietnam,Vietnam,99000000.0,
129,50,Hainan,Wenchang,0.0,0.0
130,42,Guizhou,Weng'an,3482.2799999999957,3482.2799999999957
131,156,Yunnan,Wenshan,51525.73843808605,26715.240687822352
132,55,Hebei,Wu'an,226.338,126.80990625105083
133,43,Guizhou,Wuchuan,61139.999999999825,33239.416071476546
134,4,Chongqing,Wulong,9195.641250182143,4958.31
135,126,Shanxi,Wutai,28691.91708335435,14213.343633615508
136,127,Shanxi,Wuxiang,4122.050000024737,1817.137041638088
137,128,Shanxi,Xia,3971.2680000000128,3971.2680000000128
138,129,Shanxi,Xiangyuan,5784.591666692868,2722.625000031253
139,130,Shanxi,Xiaoyi,151469.7624999999,151469.7624999999
140,157,Yunnan,Xichou,23949.94000000004,23949.94000000004
141,44,Guizhou,Xifeng,203.22189643311276,87.67176785492269
142,71,Henan,Xin'an,111142.29000000004,68830.48635333669
143,131,Shanxi,Xing,88831.95999999976,66941.22699898462
144,72,Henan,Xingyang,12412.604999834155,6079.596250006448
145,73,Henan,Xinmi,24052.560000000038,19467.54074969935
146,158,Yunnan,Xishan,740.5999999999983,457.2543749920648
147,45,Guizhou,Xiuwen,30975.390195701348,15074.44317814826
148,97,Shaanxi,Xixiang,0.0,0.0
149,132,Shanxi,Xiyang,3658.03199998468,1602.3839999811034
150,134,Shanxi,Yangquan,29085.76117370952,13489.80101359381
151,159,Yunnan,Yanshan,3966.2000000000044,2246.332916665485
152,74,Henan,Yanshi,40835.65652173915,31957.54726894878
153,79,Hubei,Yicheng,31097.77999999992,31097.77999999992
154,75,Henan,Yichuan,505.8500000037747,268.49687500094376
155,119,Shanxi,Yingze,0.0,0.0
156,76,Henan,Yiyang,0.0,0.0
157,29,Guangxi,Yizhou,0.0,0.0
158,30,Guangxi,Yongning,700.0000000000041,700.0000000000041
159,120,Shanxi,Yu,31297.280000000083,31297.280000000083
160,133,Shanxi,Yuanping,18377.14950006105,8707.584375
161,135,Shanxi,Yuanqu,0.0,0.0
162,77,Henan,Yuzhou,16417.169999999962,16417.169999999962
163,88,Shandong,Zhangqiu,4025.1424107318535,1904.1750000211593
164,98,Shaanxi,Zhenba,0.0,0.0
165,46,Guizhou,Zheng'an,49066.983914789686,22308.305042907108
166,47,Guizhou,Zhijin,8961.660000000034,8961.660000000034
