Country,country_id
United Arab Emirates,country_100
United Kingdom,country_101
United States,country_102
Uruguay,country_103
Uzbekistan,country_104
Venezuela,country_105
Vietnam,country_106
Jamaica,country_107
Guyana,country_108
Trinidad & Tobago,country_110
Sierra Leone,country_111
Pakistan,country_112
Hong Kong,country_120
Solomon Islands,country_113
Hong Kong,country_114
Singapore,country_117
Estonia,country_128
Suriname,country_129
Not Determin Extra EU Trade,country_133
Niger,country_134
Madagascar,country_135
Fiji,country_136
Laos,country_137
Other,country_138
Seaborne,country_139
China Portion,country_140
Dominic Republic,country_141
Australia-Weipa,country_142
Guinea_Local,country_144
Guinea_ExPat_CBG,country_145
Guinea_ExPat_SMB,country_146
Guinea-Bissau,country_147
Republic of Korea,country_148
China-Chongqing,country_149
China-Guangxi,country_150
China-Guizhou,country_151
China-Henan,country_152
China-Hubei,country_153
China-Hunan,country_154
China-Shanxi,country_155
China-Yunnan,country_156
Lao PDR,country_157
Cambodia,country_158
