Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Dian Dian,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
AGB2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gove,23.6,23.6,19.6,19.9,10.0,10.0,22.5,22.3,22.2,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6,23.6
Vietnam Others,0.0,0.0,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GDM,30.0,30.0,26.7,27.3,21.8,10.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
Dynamic,31.9,0.0,0.0,28.3,30.0,10.0,32.5,31.8,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solomon Islands,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,34.6,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro LT,33.7,33.7,27.8,31.3,33.5,23.1,36.6,35.4,35.3,34.9,34.9,34.9,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metro BH1,34.0,34.0,29.4,31.6,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6,35.6
West Kalimantan,34.1,34.1,29.4,0.0,0.0,0.0,38.3,36.3,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1
Weipa_Amrun Generic,0.0,0.0,0.0,32.9,36.2,34.8,38.6,37.6,37.3,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8,37.8
Huntly,36.3,36.3,29.7,33.9,36.8,34.9,38.7,37.7,38.0,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3,38.3
GAC,37.0,37.0,30.0,35.2,37.0,35.2,39.0,38.3,38.1,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7,38.7
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,39.0,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5,39.5
CBG,0.0,0.0,0.0,0.0,0.0,0.0,40.5,39.1,38.8,39.5,39.6,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1
Henan-Chine,0.0,38.7,32.0,37.8,39.5,36.1,40.6,39.8,39.5,40.1,40.1,40.1,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4
AMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,40.6,41.1,41.1,41.1,41.1,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alufer (Bel Air),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1,41.1,41.1,41.1,41.1,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2
Amrun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,41.4,41.4,0.0,0.0,0.0,0.0,0.0,0.0
Amrun HT,40.5,40.5,33.7,38.8,43.4,38.8,42.7,42.0,41.6,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4
Juruti,0.0,0.0,0.0,40.0,43.5,40.0,42.7,42.3,42.2,41.4,41.4,41.4,41.4,41.4,41.6,42.1,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4,42.4
