Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Chalco Boffa,0.0,0.0,0.0,0.0,0.0,0.0,2.86,3.81,3.81,3.81,3.81,4.23,4.23,4.23,4.23,4.23,4.23,4.23,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
Dian Dian,0.0,0.0,0.0,0.0,0.12,1.24,4.78,5.73,6.85,6.85,6.85,7.27,7.27,7.61,7.61,7.61,7.61,7.61,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
AGB2A,0.0,0.0,0.0,0.0,0.12,1.24,4.78,5.73,6.85,6.85,6.85,7.27,7.27,7.61,7.61,7.61,7.61,7.61,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Gove,1.89,2.87,3.48,4.28,3.29,4.07,7.84,8.79,9.91,9.91,9.91,10.33,10.33,10.67,10.67,10.67,10.67,10.67,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Vietnam Others,1.89,2.87,3.48,5.74,3.29,4.07,7.84,8.79,9.91,9.91,9.91,10.33,10.33,10.67,10.67,10.67,10.67,10.67,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
GDM,3.76,5.73,5.13,6.52,3.53,4.22,10.75,11.71,12.83,12.83,12.83,13.25,13.25,13.59,13.59,13.59,13.59,13.59,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Dynamic,7.25,5.73,5.13,7.05,6.51,9.8,16.69,16.1,13.3,12.83,12.83,13.25,13.25,13.59,13.59,13.59,13.59,13.59,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Solomon Islands,7.25,5.73,5.13,7.78,6.51,9.8,16.69,16.1,15.21,16.65,16.65,17.08,17.08,17.41,17.41,17.41,17.41,17.41,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Metro LT,8.35,13.89,7.72,9.42,6.7,10.1,18.79,18.2,17.31,18.75,18.75,18.47,17.77,17.41,17.41,17.41,17.41,17.41,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Metro BH1,8.49,13.95,7.74,9.46,6.72,10.1,18.79,18.2,17.31,18.75,18.75,18.47,17.77,17.41,17.41,17.41,17.41,17.41,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6,42.6
West Kalimantan,9.07,14.36,7.84,9.46,6.72,10.1,19.51,18.92,18.04,19.5,19.5,19.23,18.53,18.17,18.17,18.17,18.17,18.17,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6,44.6
Weipa_Amrun Generic,9.07,14.36,7.84,9.61,7.12,10.27,20.39,19.8,18.91,20.38,20.38,20.1,19.4,19.04,19.04,19.04,19.24,19.24,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1,47.1
Huntly,9.44,14.69,8.33,9.96,7.37,10.41,20.81,20.21,19.33,20.8,20.8,20.52,19.82,19.46,19.46,19.46,19.78,19.78,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3,48.3
GAC,9.53,14.85,9.7,11.02,7.54,10.8,22.1,21.51,20.62,23.66,23.66,23.38,22.69,22.32,23.13,23.13,23.9,23.9,56.85,56.85,56.85,56.85,56.85,56.85,56.85,56.85,56.85
Other,9.53,14.85,9.7,11.02,7.54,10.8,22.1,21.51,21.41,25.23,25.23,26.53,25.83,25.47,26.27,26.27,28.02,28.02,65.85,65.85,65.85,65.85,65.85,65.85,65.85,65.85,65.85
CBG,9.53,14.85,9.7,11.02,7.54,10.8,24.74,24.14,24.04,27.04,26.48,27.77,27.07,26.71,27.52,27.52,29.27,29.27,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55,77.55
Henan-Chine,9.53,14.97,9.8,11.66,8.21,11.26,25.49,24.9,24.8,27.8,27.24,28.53,27.83,27.47,28.28,28.28,30.03,30.03,80.35,80.35,80.35,80.35,80.35,80.35,80.35,80.35,80.35
AMC,9.53,14.97,9.8,11.66,8.21,11.26,25.49,24.9,24.8,27.8,27.24,29.06,28.36,28.0,28.8,28.8,30.55,30.55,80.35,80.35,80.35,80.35,80.35,80.35,80.35,80.35,80.35
Alufer (Bel Air),9.53,14.97,9.8,11.66,8.21,11.26,25.49,24.9,24.8,28.98,29.6,31.81,31.11,30.95,31.95,31.95,33.7,33.7,90.35,95.35,95.35,97.35,100.35,100.35,100.35,100.35,100.35
Amrun,9.53,14.97,9.8,11.66,8.21,11.26,25.49,24.9,24.8,28.98,29.6,31.81,31.11,30.95,31.95,31.95,33.7,33.7,93.33,98.4,97.55,97.35,100.35,100.35,100.35,100.35,100.35
Amrun HT,9.82,15.7,11.77,12.82,8.42,11.58,26.75,26.16,26.06,30.24,29.6,31.81,31.11,30.95,31.95,31.95,33.7,33.7,96.18,101.25,100.4,100.2,103.2,103.2,103.2,103.2,103.2
Juruti,9.82,15.7,11.77,13.13,8.9,12.17,27.52,26.93,26.82,31.01,30.37,32.58,31.88,31.72,32.72,32.72,34.47,34.47,97.0,102.07,101.22,101.02,104.02,104.02,104.02,104.02,104.02
Metro Blend,9.82,15.7,11.78,13.13,8.9,12.17,27.9,27.31,27.21,31.4,30.76,32.97,32.27,32.49,33.49,33.49,35.25,35.63,101.0,107.07,106.22,106.02,109.02,109.02,109.02,109.02,109.02
Mokanji,9.82,15.7,11.78,13.13,9.11,12.17,27.9,27.31,27.21,31.4,30.76,32.97,32.27,32.49,33.49,33.49,35.25,35.63,101.0,107.07,106.22,106.02,109.02,109.02,109.02,109.02,109.02
SMB Malapouya,9.82,15.7,11.78,13.13,9.11,12.7,31.61,30.84,30.44,34.75,34.01,36.23,35.53,35.35,36.15,36.05,37.8,38.19,113.0,119.07,118.22,118.02,121.02,121.02,121.02,121.02,121.02
Ashapura Guinea,9.82,15.7,11.78,13.13,9.11,12.7,31.61,30.84,30.44,34.75,34.01,36.23,35.53,35.35,36.15,36.05,37.8,38.19,113.0,119.07,118.22,118.02,121.02,121.02,121.02,121.02,121.02
MRN,9.82,15.7,11.79,13.28,9.54,13.23,32.21,31.43,31.03,36.09,36.09,38.3,37.61,37.43,38.23,38.13,39.88,40.27,133.0,139.07,138.22,138.02,141.02,141.02,141.02,141.02,141.02
Awaso,9.82,15.72,11.84,13.44,9.82,13.32,32.67,31.89,31.49,36.55,36.55,38.76,38.07,37.89,38.69,38.59,40.34,40.73,136.0,142.07,141.22,141.02,144.02,144.02,144.02,144.02,144.02
AMR,9.82,15.72,14.63,14.82,9.82,13.32,32.67,31.89,31.49,36.55,36.55,38.76,38.07,37.89,38.69,38.59,40.34,40.73,136.0,142.07,141.22,141.02,144.02,144.02,144.02,144.02,144.02
Aurum Xinfa-Fiji,9.82,15.72,14.63,14.82,9.82,13.32,32.67,33.24,34.86,39.92,39.92,42.13,41.81,41.63,42.43,42.33,44.09,44.47,136.0,142.07,141.22,141.02,144.02,144.02,144.02,144.02,144.02
Gujarat & Maharashtra,9.82,15.72,14.63,14.82,9.82,13.68,33.23,34.48,36.86,41.91,41.9,44.1,43.77,43.59,44.38,44.27,46.01,46.39,139.07,145.06,143.47,141.02,144.02,144.02,144.02,144.02,144.02
Rundi,9.82,15.72,14.63,14.82,9.82,13.68,33.23,34.48,36.86,41.91,41.9,44.1,43.77,43.59,44.38,44.27,46.01,46.39,139.07,145.06,143.47,141.02,144.02,144.02,144.02,144.02,144.02
SMB Santou-Houda,9.82,15.72,14.63,14.82,9.82,13.68,33.23,34.48,36.86,41.91,41.9,44.1,43.77,43.59,44.38,44.27,46.01,46.39,139.07,145.06,143.47,141.02,144.02,144.02,144.02,144.02,144.02
SMB Dabiss S,9.82,15.72,14.63,14.82,10.39,14.41,33.99,35.23,36.86,41.91,41.9,44.1,43.77,43.59,44.38,44.27,46.01,46.39,139.07,145.06,143.47,141.02,144.02,144.02,144.02,144.02,144.02
Discovery Bay,9.82,15.72,14.63,14.82,10.39,14.41,33.99,35.23,36.86,42.73,43.13,45.33,45.0,44.82,45.61,45.5,47.24,47.62,145.07,151.06,149.47,147.02,150.02,150.02,150.02,150.02,150.02
Weiqiao Self Supply,9.82,15.72,14.63,14.82,10.39,14.41,33.99,36.48,38.52,45.22,45.9,48.11,47.77,47.59,48.69,48.58,50.32,51.02,149.57,153.73,153.97,151.52,154.52,154.52,154.52,154.52,154.52
SMB Kaboye,9.82,15.77,14.8,15.14,10.6,14.64,34.18,36.67,38.71,45.41,46.09,48.29,47.96,47.78,48.87,48.77,50.51,51.21,150.07,153.73,154.47,152.02,155.02,155.02,155.02,155.02,155.02
Aurukun,9.82,15.77,14.8,15.14,10.6,14.64,34.18,36.67,38.71,45.41,46.09,48.29,47.96,47.78,48.87,48.77,50.51,51.21,150.07,153.73,154.47,152.02,155.02,155.02,155.02,155.02,155.02
Metallica,9.82,15.77,14.8,15.14,10.68,14.64,34.18,36.67,39.57,47.09,47.77,49.97,49.64,49.64,50.74,50.63,52.38,53.08,150.07,153.73,154.47,152.02,155.02,155.02,155.02,155.02,155.02
