Day,Date,NAX,SAX,WA CIF VAT incl.,,Date,Northern Price,Southern Price,WA CIF VAT incl.
2/16/1901,19-Apr,"2,657.50","2,660.00","3,134.50",,4/12/2019,,,
2/15/1901,#N/A,#N/A,#N/A,#N/A,,4/13/2019,,,
2/14/1901,#N/A,#N/A,#N/A,#N/A,,4/14/2019,,,
2/13/1901,19-Apr,"2,665.00","2,650.00","3,106.90",,4/15/2019,,,
2/12/1901,19-Apr,"2,665.00","2,650.00","2,992.50",,4/16/2019,,,
2/11/1901,19-Apr,"2,697.60","2,660.00","2,977.90",,4/17/2019,,,
2/10/1901,19-Apr,"2,697.60","2,660.00","2,969.40",,4/18/2019,,,
2/9/1901,19-Apr,"2,693.10","2,665.00","2,975.00",,4/19/2019,,,
2/8/1901,#N/A,#N/A,#N/A,#N/A,,4/20/2019,,,
2/7/1901,#N/A,#N/A,#N/A,#N/A,,4/21/2019,"2,693","2,665","2,975"
2/6/1901,19-Apr,"2,693.10","2,665.00","2,974.70",,4/22/2019,"2,693","2,665","2,975"
2/5/1901,19-Apr,"2,693.10","2,665.00","2,984.20",,4/23/2019,"2,693","2,665","2,984"
2/4/1901,19-Apr,"2,693.10","2,665.00","2,982.00",,4/24/2019,"2,693","2,665","2,982"
2/3/1901,19-Apr,"2,693.10","2,665.00","2,986.40",,4/25/2019,"2,693","2,665","2,986"
2/2/1901,19-Apr,"2,774.50","2,720.00","2,978.80",,4/26/2019,"2,775","2,720","2,979"
2/1/1901,#N/A,#N/A,#N/A,#N/A,,4/27/2019,"2,775","2,720","2,979"
1/31/1901,#N/A,#N/A,#N/A,#N/A,,4/28/2019,"2,775","2,720","2,979"
1/30/1901,19-Apr,"2,806.70","2,725.00","2,938.60",,4/29/2019,"2,807","2,725","2,939"
1/29/1901,19-Apr,"2,806.70","2,725.00","2,873.70",,4/30/2019,"2,807","2,725","2,874"
1/28/1901,#N/A,#N/A,#N/A,#N/A,,5/1/2019,"2,807","2,725","2,874"
1/27/1901,#N/A,#N/A,#N/A,#N/A,,5/2/2019,"2,807","2,725","2,874"
1/26/1901,#N/A,#N/A,#N/A,#N/A,,5/3/2019,"2,807","2,725","2,874"
1/25/1901,#N/A,#N/A,#N/A,#N/A,,5/4/2019,"2,807","2,725","2,874"
1/24/1901,#N/A,#N/A,#N/A,#N/A,,5/5/2019,"2,807","2,725","2,874"
1/23/1901,19-May,"2,806.70","2,725.00","2,876.10",,5/6/2019,"2,807","2,725","2,876"
1/22/1901,19-May,"2,782.90","2,725.00","2,879.60",,5/7/2019,"2,783","2,725","2,880"
1/21/1901,19-May,"2,782.90","2,725.00","2,871.20",,5/8/2019,"2,783","2,725","2,871"
1/20/1901,19-May,"2,782.90","2,725.00","2,866.40",,5/9/2019,"2,783","2,725","2,866"
1/19/1901,19-May,"2,782.90","2,725.00","2,861.10",,5/10/2019,"2,783","2,725","2,861"
1/18/1901,#N/A,#N/A,#N/A,#N/A,,5/11/2019,"2,783","2,725","2,861"
1/17/1901,#N/A,#N/A,#N/A,#N/A,,5/12/2019,"2,783","2,725","2,861"
1/16/1901,19-May,"2,886.00","2,760.00","2,885.90",,5/13/2019,"2,886","2,760","2,886"
1/15/1901,19-May,"2,886.00","2,760.00","2,895.00",,5/14/2019,"2,886","2,760","2,895"
1/14/1901,19-May,"2,886.00","2,760.00","2,906.60",,5/15/2019,"2,886","2,760","2,907"
1/13/1901,19-May,"2,886.00","2,760.00","2,900.40",,5/16/2019,"2,886","2,760","2,900"
1/12/1901,19-May,"3,173.60","3,020.00","3,024.10",,5/17/2019,"3,174","3,020","3,024"
1/11/1901,#N/A,#N/A,#N/A,#N/A,,5/18/2019,"3,174","3,020","3,024"
1/10/1901,#N/A,#N/A,#N/A,#N/A,,5/19/2019,"3,174","3,020","3,024"
1/9/1901,19-May,"3,200.00","3,025.00","3,045.20",,5/20/2019,"3,200","3,025","3,045"
1/8/1901,19-May,"3,200.00","3,025.00","3,068.70",,5/21/2019,"3,200","3,025","3,069"
1/7/1901,19-May,"3,200.00","3,075.00","3,061.00",,5/22/2019,"3,200","3,075","3,061"
1/6/1901,19-May,"3,200.00","3,075.00","3,029.90",,5/23/2019,"3,200","3,075","3,030"
1/5/1901,19-May,"3,200.00","3,075.00","3,022.00",,5/24/2019,"3,200","3,075","3,022"
1/4/1901,#N/A,#N/A,#N/A,#N/A,,5/25/2019,"3,200","3,075","3,022"
1/3/1901,#N/A,#N/A,#N/A,#N/A,,5/26/2019,"3,200","3,075","3,022"
1/2/1901,19-May,"3,122.00","3,025.00","3,019.10",,5/27/2019,"3,122","3,025","3,019"
1/1/1901,19-May,"3,122.00","3,025.00","3,029.00",,5/28/2019,"3,122","3,025","3,029"
12/31/1900,19-May,"3,122.00","3,025.00","3,037.40",,5/29/2019,"3,122","3,025","3,037"
12/30/1900,19-May,"3,122.00","3,025.00","3,060.90",,5/30/2019,"3,122","3,025","3,061"
12/29/1900,19-May,"3,122.00","3,025.00","3,052.40",,5/31/2019,"3,122","3,025","3,052"
12/28/1900,#N/A,#N/A,#N/A,#N/A,,6/1/2019,"3,122","3,025","3,052"
12/27/1900,#N/A,#N/A,#N/A,#N/A,,6/2/2019,"3,122","3,025","3,052"
12/26/1900,19-Jun,"3,150.00","3,025.00","3,045.20",,6/3/2019,"3,150","3,025","3,045"
12/25/1900,19-Jun,"3,120.00","3,025.00","3,038.90",,6/4/2019,"3,120","3,025","3,039"
12/24/1900,19-Jun,"3,090.00","3,025.00","3,044.70",,6/5/2019,"3,090","3,025","3,045"
12/23/1900,19-Jun,"3,070.00","3,025.00","3,046.50",,6/6/2019,"3,070","3,025","3,046"
12/22/1900,19-Jun,"3,070.00","3,025.00","3,041.00",,6/7/2019,"3,070","3,025","3,041"
12/21/1900,#N/A,#N/A,#N/A,#N/A,,6/8/2019,"3,070","3,025","3,041"
12/20/1900,#N/A,#N/A,#N/A,#N/A,,6/9/2019,"3,070","3,025","3,041"
12/19/1900,19-Jun,"3,070.00","3,025.00","2,943.60",,6/10/2019,"3,070","3,025","2,944"
12/18/1900,19-Jun,"3,060.00","3,025.00","2,941.50",,6/11/2019,"3,060","3,025","2,941"
12/17/1900,19-Jun,"3,060.00","3,025.00","2,920.50",,6/12/2019,"3,060","3,025","2,921"
12/16/1900,19-Jun,"3,060.00","3,025.00","2,876.20",,6/13/2019,"3,060","3,025","2,876"
12/15/1900,19-Jun,"3,060.00","3,025.00","2,861.50",,6/14/2019,"3,060","3,025","2,862"
12/14/1900,#N/A,#N/A,#N/A,#N/A,,6/15/2019,"3,060","3,025","2,862"
12/13/1900,#N/A,#N/A,#N/A,#N/A,,6/16/2019,"3,060","3,025","2,862"
12/12/1900,19-Jun,"3,050.00","3,015.00","2,851.50",,6/17/2019,"3,050","3,015","2,852"
12/11/1900,19-Jun,"3,000.00","2,965.00","2,851.60",,6/18/2019,"3,000","2,965","2,852"
12/10/1900,19-Jun,"2,960.00","2,935.00","2,852.00",,6/19/2019,"2,960","2,935","2,852"
12/9/1900,19-Jun,"2,940.00","2,925.00","2,799.50",,6/20/2019,"2,940","2,925","2,799"
12/8/1900,19-Jun,"2,940.00","2,925.00","2,751.60",,6/21/2019,"2,940","2,925","2,752"
12/7/1900,#N/A,#N/A,#N/A,#N/A,,6/22/2019,"2,940","2,925","2,752"
12/6/1900,#N/A,#N/A,#N/A,#N/A,,6/23/2019,"2,940","2,925","2,752"
12/5/1900,19-Jun,"2,940.00","2,925.00","2,766.70",,6/24/2019,"2,940","2,925","2,767"
12/4/1900,19-Jun,"2,940.00","2,925.00","2,707.70",,6/25/2019,"2,940","2,925","2,708"
12/3/1900,19-Jun,"2,930.00","2,915.00","2,715.40",,6/26/2019,"2,930","2,915","2,715"
12/2/1900,19-Jun,"2,920.00","2,905.00","2,759.50",,6/27/2019,"2,920","2,905","2,760"
12/1/1900,19-Jun,"2,890.00","2,875.00","2,726.50",,6/28/2019,"2,890","2,875","2,726"
11/30/1900,#N/A,#N/A,#N/A,#N/A,,6/29/2019,"2,890","2,875","2,726"
11/29/1900,#N/A,#N/A,#N/A,#N/A,,6/30/2019,"2,890","2,875","2,726"
11/28/1900,19-Jul,"2,840.00","2,825.00","2,702.80",,7/1/2019,"2,840","2,825","2,703"
11/27/1900,19-Jul,"2,795.00","2,785.00","2,686.60",,7/2/2019,"2,795","2,785","2,687"
11/26/1900,19-Jul,"2,755.00","2,745.00","2,686.00",,7/3/2019,"2,755","2,745","2,686"
11/25/1900,19-Jul,"2,730.00","2,715.00","2,679.10",,7/4/2019,"2,730","2,715","2,679"
11/24/1900,19-Jul,"2,705.00","2,695.00","2,673.40",,7/5/2019,"2,705","2,695","2,673"
11/23/1900,#N/A,#N/A,#N/A,#N/A,,7/6/2019,"2,705","2,695","2,673"
11/22/1900,#N/A,#N/A,#N/A,#N/A,,7/7/2019,"2,705","2,695","2,673"
11/21/1900,19-Jul,"2,685.00","2,665.00","2,651.40",,7/8/2019,"2,685","2,665","2,651"
11/20/1900,19-Jul,"2,670.00","2,655.00","2,624.00",,7/9/2019,"2,670","2,655","2,624"
11/19/1900,19-Jul,"2,650.00","2,635.00","2,621.70",,7/10/2019,"2,650","2,635","2,622"
11/18/1900,19-Jul,"2,640.00","2,615.00","2,609.00",,7/11/2019,"2,640","2,615","2,609"
11/17/1900,19-Jul,"2,630.00","2,605.00","2,578.90",,7/12/2019,"2,630","2,605","2,579"
11/16/1900,#N/A,#N/A,#N/A,#N/A,,7/13/2019,"2,630","2,605","2,579"
11/15/1900,#N/A,#N/A,#N/A,#N/A,,7/14/2019,"2,630","2,605","2,579"
11/14/1900,19-Jul,"2,580.00","2,555.00","2,522.80",,7/15/2019,"2,580","2,555","2,523"
11/13/1900,19-Jul,"2,540.00","2,515.00","2,524.00",,7/16/2019,"2,540","2,515","2,524"
11/12/1900,19-Jul,"2,530.00","2,505.00","2,528.10",,7/17/2019,"2,530","2,505","2,528"
11/11/1900,19-Jul,"2,530.00","2,505.00","2,552.20",,7/18/2019,"2,530","2,505","2,552"
11/10/1900,19-Jul,"2,530.00","2,505.00","2,541.50",,7/19/2019,"2,530","2,505","2,542"
11/9/1900,#N/A,#N/A,#N/A,#N/A,,7/20/2019,"2,530","2,505","2,542"
11/8/1900,#N/A,#N/A,#N/A,#N/A,,7/21/2019,"2,530","2,505","2,542"
11/7/1900,19-Jul,"2,530.00","2,505.00","2,544.40",,7/22/2019,"2,530","2,505","2,544"
11/6/1900,19-Jul,"2,530.00","2,505.00","2,536.40",,7/23/2019,"2,530","2,505","2,536"
11/5/1900,19-Jul,"2,530.00","2,505.00","2,540.20",,7/24/2019,"2,530","2,505","2,540"
11/4/1900,19-Jul,"2,530.00","2,505.00","2,563.80",,7/25/2019,"2,530","2,505","2,564"
11/3/1900,19-Jul,"2,530.00","2,505.00","2,569.80",,7/26/2019,"2,530","2,505","2,570"
11/2/1900,#N/A,#N/A,#N/A,#N/A,,7/27/2019,"2,530","2,505","2,570"
11/1/1900,#N/A,#N/A,#N/A,#N/A,,7/28/2019,"2,530","2,505","2,570"
10/31/1900,19-Jul,"2,530.00","2,505.00","2,562.10",,7/29/2019,"2,530","2,505","2,562"
10/30/1900,19-Jul,"2,505.00","2,475.00","2,565.90",,7/30/2019,"2,505","2,475","2,566"
10/29/1900,19-Jul,"2,490.00","2,465.00","2,556.60",,7/31/2019,"2,490","2,465","2,557"
10/28/1900,19-Aug,"2,490.00","2,465.00","2,559.30",,8/1/2019,"2,490","2,465","2,559"
10/27/1900,19-Aug,"2,490.00","2,465.00","2,555.10",,8/2/2019,"2,490","2,465","2,555"
10/26/1900,#N/A,#N/A,#N/A,#N/A,,8/3/2019,"2,490","2,465","2,555"
10/25/1900,#N/A,#N/A,#N/A,#N/A,,8/4/2019,"2,490","2,465","2,555"
10/24/1900,19-Aug,"2,480.00","2,445.00","2,554.70",,8/5/2019,"2,480","2,445","2,555"
10/23/1900,19-Aug,"2,480.00","2,445.00","2,572.50",,8/6/2019,"2,480","2,445","2,572"
10/22/1900,19-Aug,"2,480.00","2,445.00","2,578.90",,8/7/2019,"2,480","2,445","2,579"
10/21/1900,19-Aug,"2,480.00","2,445.00","2,578.00",,8/8/2019,"2,480","2,445","2,578"
10/20/1900,19-Aug,"2,480.00","2,445.00","2,571.10",,8/9/2019,"2,480","2,445","2,571"
10/19/1900,#N/A,#N/A,#N/A,#N/A,,8/10/2019,"2,480","2,445","2,571"
10/18/1900,#N/A,#N/A,#N/A,#N/A,,8/11/2019,"2,480","2,445","2,571"
10/17/1900,19-Aug,"2,480.00","2,445.00","2,570.60",,8/12/2019,"2,480","2,445","2,571"
10/16/1900,19-Aug,"2,480.00","2,445.00","2,574.60",,8/13/2019,"2,480","2,445","2,575"
10/15/1900,19-Aug,"2,480.00","2,445.00","2,594.00",,8/14/2019,"2,480","2,445","2,594"
10/14/1900,19-Aug,"2,480.00","2,445.00","2,564.70",,8/15/2019,"2,480","2,445","2,565"
10/13/1900,19-Aug,"2,480.00","2,445.00","2,564.60",,8/16/2019,"2,480","2,445","2,565"
10/12/1900,#N/A,#N/A,#N/A,#N/A,,8/17/2019,"2,480","2,445","2,565"
10/11/1900,#N/A,#N/A,#N/A,#N/A,,8/18/2019,"2,480","2,445","2,565"
10/10/1900,19-Aug,"2,480.00","2,445.00","2,578.40",,8/19/2019,"2,480","2,445","2,578"
10/9/1900,19-Aug,"2,490.00","2,445.00","2,587.10",,8/20/2019,"2,490","2,445","2,587"
10/8/1900,19-Aug,"2,490.00","2,445.00","2,584.80",,8/21/2019,"2,490","2,445","2,585"
10/7/1900,19-Aug,"2,490.00","2,445.00","2,593.20",,8/22/2019,"2,490","2,445","2,593"
10/6/1900,19-Aug,"2,490.00","2,445.00","2,584.90",,8/23/2019,"2,490","2,445","2,585"
10/5/1900,#N/A,#N/A,#N/A,#N/A,,8/24/2019,"2,490","2,445","2,585"
10/4/1900,#N/A,#N/A,#N/A,#N/A,,8/25/2019,"2,490","2,445","2,585"
10/3/1900,19-Aug,"2,500.00","2,445.00","2,584.80",,8/26/2019,"2,500","2,445","2,585"
10/2/1900,19-Aug,"2,515.00","2,455.00","2,613.30",,8/27/2019,"2,515","2,455","2,613"
10/1/1900,19-Aug,"2,515.00","2,465.00","2,615.00",,8/28/2019,"2,515","2,465","2,615"
9/30/1900,19-Aug,"2,525.00","2,475.00","2,617.40",,8/29/2019,"2,525","2,475","2,617"
9/29/1900,19-Aug,"2,525.00","2,475.00","2,610.10",,8/30/2019,"2,525","2,475","2,610"
9/28/1900,#N/A,#N/A,#N/A,#N/A,,8/31/2019,"2,525","2,475","2,610"
9/27/1900,#N/A,#N/A,#N/A,#N/A,,9/1/2019,"2,525","2,475","2,610"
9/26/1900,19-Sep,"2,545.00","2,495.00","2,611.10",,9/2/2019,"2,545","2,495","2,611"
9/25/1900,19-Sep,"2,545.00","2,495.00","2,612.70",,9/3/2019,"2,545","2,495","2,613"
9/24/1900,19-Sep,"2,545.00","2,495.00","2,607.70",,9/4/2019,"2,545","2,495","2,608"
9/23/1900,19-Sep,"2,560.00","2,515.00","2,607.60",,9/5/2019,"2,560","2,515","2,608"
9/22/1900,19-Sep,"2,560.00","2,515.00","2,606.10",,9/6/2019,"2,560","2,515","2,606"
9/21/1900,#N/A,#N/A,#N/A,#N/A,,9/7/2019,"2,560","2,515","2,606"
9/20/1900,#N/A,#N/A,#N/A,#N/A,,9/8/2019,"2,560","2,515","2,606"
9/19/1900,19-Sep,"2,565.00","2,515.00","2,583.50",,9/9/2019,"2,565","2,515","2,584"
9/18/1900,19-Sep,"2,565.00","2,515.00","2,571.30",,9/10/2019,"2,565","2,515","2,571"
9/17/1900,19-Sep,"2,570.00","2,525.00","2,568.80",,9/11/2019,"2,570","2,525","2,569"
9/16/1900,19-Sep,"2,570.00","2,525.00","2,562.50",,9/12/2019,"2,570","2,525","2,563"
9/15/1900,19-Sep,"2,570.00","2,525.00","2,566.50",,9/13/2019,"2,570","2,525","2,567"
9/14/1900,#N/A,#N/A,#N/A,#N/A,,9/14/2019,"2,570","2,525","2,567"
9/13/1900,#N/A,#N/A,#N/A,#N/A,,9/15/2019,"2,570","2,525","2,567"
9/12/1900,19-Sep,"2,570.00","2,525.00","2,553.60",,9/16/2019,"2,570","2,525","2,554"
9/11/1900,19-Sep,"2,580.00","2,535.00","2,550.50",,9/17/2019,"2,580","2,535","2,550"
9/10/1900,19-Sep,"2,580.00","2,535.00","2,550.40",,9/18/2019,"2,580","2,535","2,550"
9/9/1900,19-Sep,"2,580.00","2,535.00","2,549.80",,9/19/2019,"2,580","2,535","2,550"
9/8/1900,19-Sep,"2,590.00","2,535.00","2,547.30",,9/20/2019,"2,590","2,535","2,547"
9/7/1900,#N/A,#N/A,#N/A,#N/A,,9/21/2019,"2,590","2,535","2,547"
9/6/1900,#N/A,#N/A,#N/A,#N/A,,9/22/2019,"2,590","2,535","2,547"
