date,Shandong L1,Shandong L2,Shanxi L1,Shanxi L2,Shanxi S1,Shanxi S2,Henan L1,Henan L2,Henan S3,Henan S4,Guangxi L1,Guangxi L2,Guangxi S1,Guangxi S2,Guizhou S1,Guizhou S2,creation_date,updation_date
43126.0,2200,2500,3000,3300,0,0,2900,3100,0,0,3700,3900,0,0,3600,4000,,
43133.0,2200,2500,2800,3100,0,0,2700,3000,0,0,3700,3900,0,0,3600,4000,,
43140.0,2200,2500,2800,3100,0,0,2700,3000,0,0,3700,3900,0,0,3600,4000,,
43147.0,2200,2500,2800,3100,0,0,2700,3000,0,0,3700,3900,0,0,3600,4000,,
43154.0,2200,2500,2800,3100,0,0,2700,3000,0,0,3700,3900,0,0,3600,4000,,
43161.0,2500,2800,3000,3300,0,0,3000,3300,0,0,4000,4200,0,0,4100,4500,,
43168.0,2700,3000,3300,3600,0,0,3200,3500,0,0,4300,4500,0,0,4400,4700,,
43175.0,2850,3150,3450,3700,0,0,3400,3600,0,0,4500,4700,0,0,4600,4800,,
43182.0,2800,3100,3450,3700,0,0,3400,3600,0,0,4500,4700,0,0,4600,4800,,
43189.0,2800,3100,3450,3700,0,0,3400,3600,0,0,4400,4600,0,0,4500,4700,,
43196.0,2800,3000,3450,3700,0,0,3400,3600,0,0,4000,4200,0,0,4100,4300,,
43203.0,2700,2900,3450,3700,0,0,3400,3600,0,0,3700,3900,0,0,3800,4000,,
43210.0,2700,2900,3450,3700,3700,3900,3400,3600,3750,3950,3500,3600,3700,3900,3800,4000,,
43217.0,2700,2900,3450,3700,3700,3900,3400,3600,3750,3950,3500,3600,3700,3900,3800,4000,,
43224.0,2700,2900,3450,3700,3700,3900,3400,3600,3750,3950,3500,3600,3700,3900,3800,4000,,
43231.0,2700,2900,3450,3700,3700,3900,3400,3600,3750,3950,3500,3600,3700,3900,3800,4000,,
43238.0,2650,2850,3150,3400,3700,3900,3100,3300,3750,3950,3400,3500,3700,3900,3800,4000,,
43245.0,2650,2850,3150,3400,3700,3900,3100,3300,3750,3950,3400,3500,3700,3900,3800,4000,,
43252.0,2650,2850,3150,3400,3700,3900,3100,3300,3750,3950,3400,3500,3700,3900,3800,4000,,
43259.0,2650,2850,3050,3300,3700,3900,3000,3200,3750,3950,3400,3500,3700,3900,3800,4000,,
43266.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43273.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43280.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43287.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43294.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43301.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43308.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43315.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43322.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43329.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43336.0,2500,2700,2950,3200,3700,3900,2900,3100,3750,3950,3200,3300,3700,3900,3650,3900,,
43343.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43350.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43357.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43364.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43371.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43378.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43385.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43392.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
43399.0,2600,2800,3100,3350,3800,4000,3150,3250,3850,4050,3300,3400,3900,4100,3850,4100,,
