date,shanxi4.5,shanxi5,henan4,henan5,guizhou5.5,guizhou6.5,creation_date,updation_date
42923.0,350,390,350,360,230,260,,
42930.0,350,390,350,360,230,260,,
42937.0,350,390,350,360,230,260,,
42944.0,350,390,350,360,230,260,,
42951.0,360,410,340,400,230,260,,
42958.0,360,410,340,400,230,260,,
42965.0,360,410,340,400,230,260,,
42972.0,360,410,350,410,230,260,,
42979.0,360,410,350,410,230,260,,
42986.0,370,420,370,430,230,260,,
42993.0,370,420,370,430,230,260,,
43000.0,370,420,370,430,240,270,,
43007.0,370,420,370,430,240,270,,
43014.0,370,420,370,430,240,270,,
43021.0,370,420,370,430,240,270,,
43028.0,380,430,390,450,240,270,,
43035.0,380,430,390,470,240,270,,
43042.0,380,430,390,490,240,280,,
43049.0,400,480,400,570,240,280,,
43056.0,400,480,400,570,280,320,,
43063.0,400,480,390,560,280,320,,
43070.0,400,480,390,560,280,320,,
43077.0,400,480,390,560,280,320,,
43084.0,370,450,320,480,260,300,,
43091.0,370,450,310,470,260,300,,
43098.0,370,450,310,470,260,300,,
43105.0,330,410,270,420,250,290,,
43112.0,330,410,270,420,250,290,,
43119.0,330,410,270,420,250,290,,
43126.0,330,410,270,420,250,290,,
43133.0,330,410,270,420,250,290,,
43140.0,330,410,270,420,250,290,,
43147.0,330,410,270,420,250,290,,
43154.0,330,410,270,420,250,290,,
43161.0,330,410,270,420,250,290,,
43168.0,340,420,300,440,280,320,,
43175.0,340,420,300,440,280,320,,
43182.0,340,420,300,440,280,320,,
43189.0,340,420,300,440,280,320,,
43196.0,340,420,300,440,280,320,,
43203.0,370,450,340,480,280,320,,
43210.0,370,450,340,480,280,320,,
43217.0,370,450,340,480,280,320,,
43224.0,370,450,340,480,280,320,,
43231.0,370,450,340,480,280,320,,
43238.0,370,480,370,500,285,325,,
43245.0,385,480,370,500,300,350,,
43252.0,385,480,370,500,300,350,,
43259.0,385,480,370,500,300,350,,
43266.0,385,500,370,500,300,350,,
43273.0,385,500,370,500,300,350,,
43280.0,385,500,370,500,300,350,,
43287.0,420,530,380,510,300,350,,
43294.0,420,530,380,510,300,350,,
43301.0,440,560,390,540,300,350,,
43308.0,440,560,390,540,300,350,,
