Exporter.Importer Combination,Exporter,Importer,Ranking total,Total,last Char() as code,First Char() as code,Rank
Other_China,Other,China,0.4439620008738881,0.44396199999999997,79,97,10.0
Australia_Senegal,Australia,Senegal,0.007763500960626222,0.0077635,65,108,58.0
France_Ukraine,France,Ukraine,8.342502232926228e-07,8.333333333333334e-07,70,101,294.0
France_United Kingdom,France,United Kingdom,4.933427308043548e-05,4.933333333333334e-05,70,109,193.0
Germany_Australia,Germany,Australia,7.8301943224634e-05,7.830104166666667e-05,71,97,173.0
Germany_Austria,Germany,Austria,0.000368167568224634,0.00036816666666666665,71,97,133.0
Germany_Belgium,Germany,Belgium,4.6667602027450914e-05,4.666666666666667e-05,71,109,195.0
Germany_Brazil,Germany,Brazil,2.250093254388283e-05,2.25e-05,71,108,217.0
Germany_China,Germany,China,0.0,0.0,71,97,399.0
Germany_Czech Republic,Germany,Czech Republic,0.0018433342405251032,0.0018433333333333331,71,99,91.0
Germany_Denmark,Germany,Denmark,0.00012383426306031474,0.00012383333333333333,71,107,164.0
Germany_Finland,Germany,Finland,2.8342433420048965e-06,2.8333333333333335e-06,71,100,274.0
Australia_Spain,Australia,Spain,9.667800691794972e-10,0.0,65,110,336.0
Germany_France,Germany,France,0.0015376259128255729,0.001537625,71,101,97.0
Germany_Greece,Germany,Greece,1.8500912825572968e-05,1.8499999999999996e-05,71,101,226.0
Germany_Hungary,Germany,Hungary,0.0001835009691636012,0.00018350000000000004,71,121,151.0
Germany_India,Germany,India,4.256822463400434e-08,4.166666666666666e-08,71,97,317.0
Germany_Indonesia,Germany,Indonesia,4.803548489130067e-05,4.803458333333333e-05,71,97,194.0
Germany_Ireland,Germany,Ireland,0.008880000910008672,0.00888,71,100,57.0
Germany_Italy,Germany,Italy,5.433430249693447e-05,5.433333333333333e-05,71,121,188.0
Germany_Japan,Germany,Japan,0.00010683427151101896,0.00010683333333333332,71,110,167.0
Germany_Kazakhstan,Germany,Kazakhstan,6.783427151101898e-05,6.783333333333333e-05,71,110,182.0
Germany_Latvia,Germany,Latvia,0.00033500090155796734,0.000335,71,97,136.0
Australia_United Arab Emirates,Australia,United Arab Emirates,0.07585800098216469,0.07585800000000001,65,115,23.0
Germany_Luxembourg,Germany,Luxembourg,1.633425179270912e-05,1.633333333333333e-05,71,103,231.0
Germany_Macedonia,Germany,Macedonia,4.000901557967338e-06,4e-06,71,97,269.0
Germany_Malaysia,Germany,Malaysia,3.4278401557967345e-05,3.4277500000000005e-05,71,97,204.0
