Importer.Exporter Combination,2018_10,2018_11,2018_12,2019_1,2019_10,2019_11,2019_12,2019_2,2019_3,2019_4,2019_5,2019_6,2019_7,2019_8,2019_9
Algeria_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria_Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina_Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina_India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina_Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_Brazil,0.0,1.4406e-05,2.1142000000000002e-05,7.2249999999999994e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4414e-05,0.0,0.0,0.0
Australia_Canada,0.0,0.0,0.0,0.0,5.6999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_China,0.00047625,0.0007097,0.00017023,0.000934,0.000189862,0.000303418,0.0,0.00012127000000000001,0.0007119100000000001,0.000238256,0.000927047,0.000348946,0.000344175,0.00041025,0.000250643
Australia_Denmark,0.0,0.0,0.0,1.25e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia_Germany,4.08e-05,4.092e-05,0.0,0.0,5.505e-05,0.0,0.0,2.2245e-05,0.0,2.054e-05,4.052e-05,0.0,0.0,0.0,0.0
Australia_Guyana,6.945e-05,0.0,0.0,6.39e-05,0.0,0.00015276500000000002,0.0,6.4675e-05,0.0,0.0,0.0,0.0,0.0,0.00010934000000000001,0.0
Australia_India,0.0,0.0,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
