index,Exporter.Importer Combination,Exporter,Importer,Total,Rank,Sum,% of total,Annualised
111,Australia_China,Australia,China,11.507915,1.0,11.507915,36.42244656740787,45.65640190217392
70,Guinea_China,Guinea,China,6.841499,2.0,18.349414,58.07572883169938,27.142903641304347
143,Indonesia_China,Indonesia,China,4.139552,3.0,22.488965999999998,71.17737335488245,16.423222608695653
0,Other_China,Other,China,0.44396199999999997,10.0,27.715919104249995,87.72063250737811,1.7613709782608693
167,Brazil_China,Brazil,China,0.29518,14.0,29.15391569591666,92.27187867352495,1.1710945652173914
166,Malaysia_China,Malaysia,China,0.197497,16.0,29.59931355491666,93.6815588563092,0.7835478804347826
209,Saudi Arabia_China,Saudi Arabia,China,0.125617,21.0,30.35582488824999,96.07591036272645,0.49837179347826094
154,Jamaica_China,Jamaica,China,0.02127,43.0,31.24782567349999,98.89908475520795,0.08438641304347827
83,Guyana_China,Guyana,China,0.0,357.0,31.59566719029166,99.99999999999997,0.0
47,Ghana_China,Ghana,China,0.0,357.0,31.59566719029166,99.99999999999997,0.0
102,India_China,India,China,0.0,360.0,31.59566719029166,99.99999999999997,0.0
171,Montenegro_China,Montenegro,China,0.0,373.0,31.59566719029166,99.99999999999997,0.0
212,Sierra Leone_China,Sierra Leone,China,0.0,385.0,31.59566719029166,99.99999999999997,0.0
220,Solomon Islands_China,Solomon Islands,China,0.0,385.0,31.59566719029166,99.99999999999997,0.0
264,Turkey_China,Turkey,China,0.0,387.0,31.59566719029166,99.99999999999997,0.0
332,Vietnam_China,Vietnam,China,0.0,392.0,31.59566719029166,99.99999999999997,0.0
8,Germany_China,Germany,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
163,Madagascar_China,Madagascar,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
197,Pakistan_China,Pakistan,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
309,United States_China,United States,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
230,Spain_China,Spain,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
147,Ireland_China,Ireland,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
199,Philippines_China,Philippines,China,0.0,399.0,31.59566719029166,99.99999999999997,0.0
