Exporter,Total for Quarter,Rank
Australia,0.32,5.0
Austria,0.0,57.0
Belgium,0.0,57.0
Brazil,1.64,2.0
Canada,0.01,18.0
Chile,0.0,57.0
China,0.060000000000000005,10.0
Czech Republic,0.0,57.0
Denmark,0.0,57.0
Estonia,0.0,57.0
France,0.0,57.0
Germany,0.01,18.0
Ghana,0.15,7.0
Greece,0.11,9.0
Guinea,3.91,1.0
Guyana,0.41,4.0
Hong Kong,0.0,57.0
India,0.11,9.0
Indonesia,0.0,57.0
Iran,0.0,57.0
Ireland,0.0,57.0
Italy,0.0,57.0
Jamaica,0.92,3.0
Japan,0.0,57.0
"Korea, South",0.0,57.0
Latvia,0.0,57.0
Luxembourg,0.0,57.0
Madagascar,0.0,57.0
Malaysia,0.0,57.0
Mexico,0.0,57.0
Montenegro,0.01,18.0
Netherlands,0.01,18.0
Niger,0.0,57.0
Not Determin Extra EU Trade,0.0,57.0
Pakistan,0.01,18.0
Philippines,0.0,57.0
Poland,0.0,57.0
Russia,0.0,57.0
Saudi Arabia,0.0,57.0
Sierra Leone,0.01,18.0
Singapore,0.0,57.0
Slovenia,0.0,57.0
Solomon Islands,0.01,18.0
South Africa,0.0,57.0
Spain,0.0,57.0
Suriname,0.0,57.0
Sweden,0.0,57.0
Switzerland,0.0,57.0
Taiwan,0.0,57.0
Thailand,0.0,57.0
Trinidad & Tobago,0.03,11.0
Turkey,0.19000000000000006,6.0
Ukraine,0.0,57.0
United Arab Emirates,0.0,57.0
United Kingdom,0.0,57.0
United States,0.0,57.0
Vietnam,0.0,57.0
