Importer,Total for Quarter,Rank
Algeria,0.0,90.0
Argentina,0.01,25.0
Australia,0.0,90.0
Austria,0.0,90.0
Azerbaijan,0.0,90.0
Bangladesh,0.0,90.0
Belarus,0.0,90.0
Belgium,0.02,19.0
Benin,0.0,90.0
Bolivia,0.0,90.0
Bosnia & Herzegovina,0.01,25.0
Brazil,0.05,13.0
Bulgaria,0.0,90.0
Canada,0.94,5.0
Cayman Islands,0.0,90.0
Ceuta,0.0,90.0
Chile,0.0,90.0
Colombia,0.0,90.0
Croatia,0.01,25.0
Cuba,0.0,90.0
Czech Republic,0.0,90.0
Denmark,0.0,90.0
Ecuador,0.0,90.0
FTZ-Yumurtalik,0.01,25.0
Finland,0.0,90.0
France,0.25,8.0
Georgia,0.0,90.0
Germany,0.66,6.0
Greece,0.2,9.0
Guatemala,0.0,90.0
Guinea,0.0,90.0
Hungary,0.0,90.0
India,0.53,7.0
Indonesia,0.0,90.0
Iran,0.0,90.0
Iraq,0.0,90.0
Ireland,1.1600000000000001,3.0
Israel,0.02,19.0
Italy,0.0,90.0
Japan,0.0,90.0
Kazakhstan,0.0,90.0
Kenya,0.0,90.0
"Korea, South",0.13,10.0
Kuwait,0.05,13.0
Latvia,0.0,90.0
Lebanon,0.0,90.0
Luxembourg,0.0,90.0
Macedonia,0.0,90.0
Malaysia,0.0,90.0
Mexico,0.0,90.0
Moldova,0.0,90.0
Morocco,0.0,90.0
Nepal,0.04,15.0
Netherlands,0.0,90.0
New Zealand,0.0,90.0
Nicaragua,0.0,90.0
Nigeria,0.0,90.0
Norway,0.0,90.0
Oman,0.0,90.0
Papua New Guinea,0.0,90.0
Peru,0.04,15.0
Philippines,0.0,90.0
Poland,0.0,90.0
Portugal,0.0,90.0
Qatar,0.02,19.0
Romania,0.0,90.0
Russia,0.0,90.0
Saudi Arabia,0.02,19.0
Senegal,0.01,25.0
Serbia,0.0,90.0
Slovakia,0.0,90.0
Slovenia,0.0,90.0
South Africa,0.0,90.0
Spain,0.98,4.0
Sri Lanka,0.0,90.0
Sudan,0.0,90.0
Sweden,0.0,90.0
Switzerland,0.0,90.0
Taiwan,0.0,90.0
Tanzania,0.0,90.0
Thailand,0.0,90.0
Turkey,0.01,25.0
Ukraine,1.31,2.0
United Arab Emirates,0.08,11.0
United Kingdom,0.0,90.0
United States,1.36,1.0
Uruguay,0.0,90.0
Uzbekistan,0.0,90.0
Venezuela,0.0,90.0
Vietnam,0.0,90.0
