Rank,ROW Importer,ROW Tonnage,ROW % World Exports
1.0,Guinea,3.91,0.4936868686868687
2.0,Brazil,1.64,0.20707070707070704
3.0,Jamaica,0.92,0.11616161616161616
4.0,Guyana,0.41,0.05176767676767676
5.0,Australia,0.32,0.0404040404040404
6.0,Turkey,0.19000000000000006,0.023989898989898995
7.0,Ghana,0.15,0.018939393939393936
9.0,India,0.11,0.013888888888888888
9.0,Greece,0.11,0.013888888888888888
10.0,China,0.060000000000000005,0.007575757575757576
11.0,Trinidad & Tobago,0.03,0.0037878787878787876
18.0,Netherlands,0.01,0.0012626262626262625
18.0,Montenegro,0.01,0.0012626262626262625
18.0,Sierra Leone,0.01,0.0012626262626262625
18.0,Solomon Islands,0.01,0.0012626262626262625
