Rank,ROW Importer,ROW Tonnage,ROW % World Imports
1.0,United States,1.36,0.1717171717171717
2.0,Ukraine,1.31,0.1654040404040404
3.0,Ireland,1.1600000000000001,0.14646464646464646
4.0,Spain,0.98,0.12373737373737373
5.0,Canada,0.94,0.11868686868686867
6.0,Germany,0.66,0.08333333333333333
7.0,India,0.53,0.06691919191919192
8.0,France,0.25,0.03156565656565656
9.0,Greece,0.2,0.025252525252525252
10.0,"Korea, South",0.13,0.016414141414141412
11.0,United Arab Emirates,0.08,0.0101010101010101
13.0,Kuwait,0.05,0.006313131313131313
13.0,Brazil,0.05,0.006313131313131313
15.0,Peru,0.04,0.00505050505050505
15.0,Nepal,0.04,0.00505050505050505
