Date,Shanxi,Henan,Guizhou,Guangxi,Shanxi_1,Henan_1,Guizhou_1,Guangxi_1,Shanxi Forecast,Henan Forecast,Guizhou Forecast,Guangxi Forecast
2006,,,,,,,,,,,,
2008,,11.5,,,,,,,,,,
2009,5.4,5.5,,10.0,,,,,,,,
2009,8.5,7.0,,15.0,,,,,,,,
2009,6.5,,,12.0,,,,,,,,
2009,9.5,,,,,,,,,,,
2009,7.5,,,,,,,,,,,
2010,7.5,5.3,10.5,8.0,,,,,,,,
2010,7.0,6.5,10.5,,,,,,,,,
2010,5.25,10.5,,,,,,,,,,
2010,8.0,10.5,,,,,,,,,,
2010,7.5,,,,,,,,,,,
2010,7.5,,,,,,,,,,,
2010,7.0,,,,,,,,,,,
2010,8.0,,,,,,,,,,,
2010,8.0,,,,,,,,,,,
2011,,7.5,7.5,,,,,,,,,
2011,,5.6,5.5,,,,,,,,,
2012,7.5,,,,,,,,,,,
2012,6.5,,,,,,,,,,,
2013,4.5,4.75,6.5,,,,,,,,,
2013,5.5,4.55,7.0,,,,,,,,,
2013,4.5,6.5,6.5,,,,,,,,,
2013,4.2,7.0,,,,,,,,,,
2013,5.5,6.5,,,,,,,,,,
2013,5.5,,,,,,,,,,,
2013,5.5,,,,,,,,,,,
2013,5.5,,,,,,,,,,,
2013,7.0,,,,,,,,,,,
2013,5.5,,,9.0,,,,,,,,
2014,4.5,,5.5,,,,,,,,,
2014,6.0,,,,,,,,,,,
2014,7.25,,,,,,,,,,,
2015,5.5,4.5,,7.5,,,,,,,,
2015,6.0,5.3,,9.81,,,,,,,,
2015,,5.75,,,,,,,,,,
2015,,4.5,,,,,,,,,,
2015,,,5.5,,,,,,,,,
2015,,,4.25,,,,,,,,,
2015,,,6.0,,,,,,,,,
2016,,5.0,,7.1,,,,,,,,
2016,,5.0,,10.0,,,,,,,,
2017,5.0,5.2,4.5,8.5,,,,,,,,
2017,5.0,5.5,5.0,9.0,,,,,,,,
2017,5.0,,6.0,10.0,,,,,,,,
2017,5.25,,6.0,5.5,,,,,,,,
2017,,,,,,,,,,,,
2017,,,,,,,,,,,,
2017,,,,,,,,,,,,
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,1.0,1.0,1.0,1.0,,,,
2009,,,,,1.0,1.0,1.0,1.0,,,,
2010,,,,,1.0,1.0,1.0,1.0,,,,
2011,,,,,1.0,1.0,1.0,1.0,,,,
2012,,,,,1.0,1.0,1.0,1.0,,,,
2013,,,,,1.0,1.0,1.0,1.0,,,,
2014,,,,,1.0,1.0,1.0,1.0,,,,
2015,,,,,1.0,1.0,1.0,1.0,,,,
2016,,,,,1.0,1.0,1.0,1.0,,,,
2017,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2018,,,,,,,,,1.0,1.0,1.0,1.0
2019,,,,,,,,,1.0,1.0,1.0,1.0
2020,,,,,,,,,1.0,1.0,1.0,1.0
2021,,,,,,,,,1.0,1.0,1.0,1.0
2022,,,,,,,,,1.0,1.0,1.0,1.0
2023,,,,,,,,,1.0,1.0,1.0,1.0
2024,,,,,,,,,1.0,1.0,1.0,1.0
2025,,,,,,,,,1.0,1.0,1.0,1.0
2026,,,,,,,,,1.0,1.0,1.0,1.0
2027,,,,,,,,,1.0,1.0,1.0,1.0
2028,,,,,,,,,1.0,1.0,1.0,1.0
2029,,,,,,,,,1.0,1.0,1.0,1.0
2030,,,,,,,,,1.0,1.0,1.0,1.0
2031,,,,,,,,,1.0,1.0,1.0,1.0
