Mine,RMB per US$,AU$ per US$,US$ per US$,IMF Special Drawing Rights to US Dollar
SMB Generic,6.69596,0.7139318080894185,1,1.35
West Kalimantan Generic,6.69596,0.7139318080894185,1,1.35
Weipa/Amrun Generic,6.69596,0.7139318080894185,1,1.35
Gove,7.076,0.5915640598804806,1,1.35
Alufer Bel Air,7.076,0.5915640598804806,1,1.35
Central Kalimantan Generic,7.076,0.5915640598804806,1,1.35
CBG LT,7.076,0.5915640598804806,1,1.35
Huntly,7.076,0.5915640598804806,1,1.35
Turkey,7.076,0.5915640598804806,1,1.35
Bauxite Hills,7.076,0.5915640598804806,1,1.35
Chalco Boffa,7.076,0.5915640598804806,1,1.35
Rennell Island,7.076,0.5915640598804806,1,1.35
Discovery Bay,7.076,0.5915640598804806,1,1.35
MRN,7.076,0.5915640598804806,1,1.35
