Mine,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates
SMB Generic,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
West Kalimantan Generic,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Weipa/Amrun Generic,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0
Gove,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0
Alufer Bel Air,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0
Central Kalimantan Generic,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
CBG LT,30000.0,30000.0,30000.0,30000.0,30000.0,20000.0,20000.0
Huntly,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
Turkey,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
Bauxite Hills,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Chalco Boffa,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
Rennell Island,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0
Discovery Bay,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
MRN,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
