Mine,VLOC – Distance using Main Engine Fuel,VLOC – Distance using Auxiliary Fuel,VLOC – Applicable Time Charter Index,VLOC – Applicable Fuel Region,VLOC – Main Engine Fuel,VLOC – Auxiliary Fuel,VLOC – Canals used,Capesize – Distance using Main Engine Fuel,Capesize – Distance using Auxiliary Fuel,Capesize – Applicable Time Charter Index,Capesize – Applicable Fuel Region,Capesize – Main Engine Fuel,Capesize – Auxiliary Fuel,Capesize – Canals used,Suezmax – Distance using Main Engine Fuel,Suezmax – Distance using Auxiliary Fuel,Suezmax – Applicable Time Charter Index,Suezmax – Applicable Fuel Region,Suezmax – Main Engine Fuel,Suezmax – Auxiliary Fuel,Suezmax – Canals used,NeoPanamax – Distance using Main Engine Fuel,NeoPanamax – Distance using Auxiliary Fuel,NeoPanamax – Applicable Time Charter Index,NeoPanamax – Applicable Fuel Region,NeoPanamax – Main Engine Fuel,NeoPanamax – Auxiliary Fuel,NeoPanamax – Canals used,Panamax – Distance using Main Engine Fuel,Panamax – Distance using Auxiliary Fuel,Panamax – Applicable Time Charter Index,Panamax – Applicable Fuel Region,Panamax – Main Engine Fuel,Panamax – Auxiliary Fuel,Panamax – Canals used,Supramax – Distance using Main Engine Fuel,Supramax – Distance using Auxiliary Fuel,Supramax – Applicable Time Charter Index,Supramax – Applicable Fuel Region,Supramax – Main Engine Fuel,Supramax – Auxiliary Fuel,Supramax – Canals used,Handysize – Distance using Main Engine Fuel,Handysize – Distance using Auxiliary Fuel,Handysize – Applicable Time Charter Index,Handysize – Applicable Fuel Region,Handysize – Main Engine Fuel,Handysize – Auxiliary Fuel,Handysize – Canals used
SMB Generic,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11150.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
West Kalimantan Generic,2326.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2326.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2326.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2326.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2326.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,2326.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,2326.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Weipa/Amrun Generic,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,3280.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Gove,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3079.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3079.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,3079.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,3079.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Alufer Bel Air,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11100.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Central Kalimantan Generic,2300.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2300.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2300.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2300.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,2300.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,2300.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,2300.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
CBG LT,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11170.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Huntly,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,4250.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,4250.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,4250.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Turkey,14562.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,14562.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,8426.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,Suez,8426.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,Suez,8426.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,Suez,8426.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,Suez,8426.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,Suez
Bauxite Hills,3270.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3270.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3270.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,Suez,3270.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,Suez,3270.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,Suez,3270.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,Suez,3270.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,Suez
Chalco Boffa,11050.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11050.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11050.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11050.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,11050.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,11050.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,11050.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Rennell Island,3542.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3542.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3542.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3542.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,3542.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,3542.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,3542.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
Discovery Bay,14116.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,14116.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,14116.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,9156.0,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,NeoPanamar,9156.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,Panamar,9156.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,Panamar,9156.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,Panamar
MRN,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,,0.0,Capesize_General,Singapore,HSFO,MGO_Regular,none,1623.0,0.0,Panamax_General,Singapore,HSFO,MGO_Regular,none,1632.0,0.0,Supramax_General,Singapore,HSFO,MGO_Regular,none,1632.0,0.0,Handysize_General,Singapore,HSFO,MGO_Regular,none
