Mine,Vessel dwt,Vessel Class for timecharter & fuel burn rates,"Vessel Class for distance, canals, loading and unloading rates, fuel prices",Estimated LOA (length over all) (m),Estimated NRT (net register tons),Estimated GRT (gross register tons)
SMB Generic,0.0,Handysize,Handysize,145.89,0.0,4797.0
West Kalimantan Generic,0.0,Handysize,Handysize,145.89,0.0,4797.0
Weipa/Amrun Generic,0.0,Handysize,Handysize,145.89,0.0,4797.0
Gove,0.0,Handysize,Handysize,145.89,0.0,4797.0
Alufer Bel Air,0.0,Handysize,Handysize,145.89,0.0,4797.0
Central Kalimantan Generic,0.0,Handysize,Handysize,145.89,0.0,4797.0
CBG LT,0.0,Handysize,Handysize,145.89,0.0,4797.0
Huntly,0.0,Handysize,Handysize,145.89,0.0,4797.0
Turkey,0.0,Handysize,Handysize,145.89,0.0,4797.0
Bauxite Hills,0.0,Handysize,Handysize,145.89,0.0,4797.0
Chalco Boffa,0.0,Handysize,Handysize,145.89,0.0,4797.0
Rennell Island,0.0,Handysize,Handysize,145.89,0.0,4797.0
Discovery Bay,0.0,Handysize,Handysize,145.89,0.0,4797.0
MRN,163170.16317016317,Capesize,Suezmax,288.3375524475524,65822.84382284382,89465.99766899768
