Mine,Vessel dwt,Vessel Class for timecharter & fuel burn rates,"Vessel Class for distance, canals, loading and unloading rates, fuel prices",Estimated LOA (length over all) (m),Estimated NRT (net register tons),Estimated GRT (gross register tons)
SMB Generic,174871.79487179487,Capesize,Suezmax,298.5530769230769,70543.28205128205,95537.97435897436
West Kalimantan Generic,210432.57918552036,Capesize,Capesize,329.5976416289592,84888.5024434389,113990.46533936652
Weipa/Amrun Generic,87419.98231653405,Panamax,Panamax,222.2076445623342,35265.220866489835,50159.22882404952
Gove,95000.0,Panamax,Panamax,228.82499999999996,38323.0,54092.5
Alufer Bel Air,180000.0,Capesize,Suezmax,303.03,72612.0,98199.0
Central Kalimantan Generic,57000.0,Supramax,Supramax,195.65099999999998,22993.8,34374.3
CBG LT,66000.0,Panamax,Panamax,203.50799999999998,26624.399999999998,39044.4
Huntly,47500.0,Supramax,Supramax,187.35749999999996,19161.5,29444.75
Turkey,84000.0,Panamax,Panamax,219.22199999999998,33885.6,48384.600000000006
Bauxite Hills,63500.0,Panamax,Panamax,201.32549999999998,25615.899999999998,37747.15
Chalco Boffa,180000.0,Capesize,Suezmax,303.03,72612.0,98199.0
Rennell Island,72000.0,Panamax,Panamax,208.74599999999998,29044.8,42157.8
Discovery Bay,60000.0,Panamax,Panamax,198.26999999999998,24204.0,35931.0
MRN,54390.054390054385,Supramax,Supramax,193.37251748251745,21940.94794094794,33019.99922299922
