Mine,HSFO(180 / 380),VLSFO,LNG,MDO/MGO Regular,MDO/MGO Low Sulphur
SMB Generic,446.5,,,608.5,
West Kalimantan Generic,446.5,,,608.5,
Weipa/Amrun Generic,446.5,,,608.5,
Gove,194.4,273.8,,301.2,293.9
Alufer Bel Air,194.4,273.8,,301.2,293.9
Central Kalimantan Generic,194.4,273.8,,301.2,293.9
CBG LT,194.4,273.8,,301.2,293.9
Huntly,194.4,273.8,,301.2,293.9
Turkey,194.4,273.8,,301.2,293.9
Bauxite Hills,194.4,273.8,,301.2,293.9
Chalco Boffa,194.4,273.8,,301.2,293.9
Rennell Island,194.4,273.8,,301.2,293.9
Discovery Bay,194.4,273.8,,301.2,293.9
MRN,194.4,273.8,,301.2,293.9
