Mine,Unloading rate Handysize,Unloading rate Supramax,Unloading rate Panamax,Unloading rate NeoPanamax,Unloading rate Suezmax,Unloading rate Capesize,Unloading rate VLOC,Currency,RMB Fixed fee,RMB per day berthed,RMB per day anchored,RMB/T_Cargo (wet),RMB/T_Cargo (wet)/day berthed,RMB/T_Cargo (wet)/day anchored,RMB/NRT,RMB/NRT/day berthed,RMB/NRT/day anchored,RMB/GRT,RMB/GRT/day berthed,RMB/GRT/day anchored,RMB/LOA,RMB/LOA/day berthed,RMB/LOA/day anchored
SMB Generic,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
West Kalimantan Generic,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Weipa/Amrun Generic,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Gove,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Alufer Bel Air,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Central Kalimantan Generic,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
CBG LT,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Huntly,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Turkey,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Bauxite Hills,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Chalco Boffa,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Rennell Island,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
Discovery Bay,42500,42500,42500,42500,42500,42500,42500,RMB,12342.0,,,2.64,,,4.53,0.367,0.05,,,,197.0,,
MRN,30000,30000,30000,30000,30000,30000,30000,USD,,,,2.0,,,,,,,,,,,
