Mine,Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
SMB Generic,,,,,,,,52.69114137479914,1.290330288711402,,,
West Kalimantan Generic,,,,,,,,52.69114137479914,1.290330288711402,,,
Weipa/Amrun Generic,0.53,0.08999999999999998,0.41930000000000006,2.5923122388245416,127.02329970240254,0.1749848608965252,65.33225291688018,58.545712638665705,7.885351764347457,1.9872970997210668,8.903714029300057,267.6903310515959
Gove,,,,,,,,50.374164429055966,1.2210288298473715,,,
Alufer Bel Air,,,,,,,,50.374164429055966,1.2210288298473715,,,
Central Kalimantan Generic,,,,,,,,50.374164429055966,1.2210288298473715,,,
CBG LT,,,,,,,,50.374164429055966,1.2210288298473715,,,
Huntly,,,,,,,,50.374164429055966,1.2210288298473715,,,
Turkey,0.562,0.082,0.46114000000000005,2.357107433185432,236.41787554849878,0.15096968571272326,36.27027497337897,55.971293810062186,7.461842849067271,1.7280771188981552,7.326499938799415,343.44778711980666
Bauxite Hills,0.513,0.095,0.39615,2.7438003830345337,137.60158920918184,0.1913966218329684,45.98279495704442,55.971293810062186,7.461842849067271,2.155197004867502,9.137353044944188,256.15487387029987
Chalco Boffa,,,,,,,,50.374164429055966,1.2210288298473715,,,
Rennell Island,0.48,0.011,0.46647,2.3301745487150947,116.85825361806198,0.05037915202151963,12.103527195673173,55.971293810062186,7.461842849067271,1.6005537007366142,6.7858410149941255,199.18075848785872
Discovery Bay,0.49,0.015,0.47154999999999997,2.305071618575189,115.59934167154572,0.055745644567176705,13.392820204098419,55.971293810062186,7.461842849067271,1.5808172631423658,6.702164767420998,199.1274633021946
MRN,,,,,,,,50.374164429055966,1.2210288298473715,,,
