Mine,Calculated Index Price Equivalent,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties
SMB Generic,,0.45,0.41,0.03,0.016,0.014,0.02400000000000004,0.1,LT,0.33
West Kalimantan Generic,,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
Weipa/Amrun Generic,50.7780505889034,0.54,0.3725000000000001,0.08999999999999998,0.0675,0.022499999999999992,0.1,0.125,HT-D,0.67
Gove,,0.5,0.45,0.05,0.05,,,0.1,LT,
Alufer Bel Air,,0.45,0.41,0.03,0.016,0.014,0.02400000000000004,0.1,LT,0.33
Central Kalimantan Generic,,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33
CBG LT,,0.45,0.41,0.03,0.016,0.014,0.02400000000000004,0.1,LT,0.33
Huntly,,0.5,0.45,0.05,0.05,,,0.1,LT,
Turkey,,0.5,0.45,0.05,0.05,,,0.1,LT,
Bauxite Hills,56.657039850134716,0.54,0.3725000000000001,0.08999999999999998,0.0675,0.022499999999999992,0.1,0.125,HT-D,0.67
Chalco Boffa,,0.45,0.41,0.03,0.016,0.014,0.02400000000000004,0.1,LT,0.33
Rennell Island,,0.5,0.45,0.05,0.05,,,0.1,LT,
Discovery Bay,,0.5,0.45,0.05,0.05,,,0.1,LT,
MRN,,0.5,0.45,0.05,0.05,,,0.1,LT,
