Mine,Reactive Alumina,Reactive Silica,Available Alumina,Tonnes per Tonne,Bauxite Cost Incl. Processing Penalties,Caustic Use t.NAOH / t.AA,Caustic cost,Thermal Energy Cost,Lime Cost,Mud make,Mud Disposal Cost,Total Cost
SMB Generic,,,,,,,,52.69114137479914,1.290330288711402,,,
West Kalimantan Generic,,,,,,,,52.69114137479914,1.290330288711402,,,
Weipa/Amrun Generic,0.53,0.08999999999999998,0.41930000000000006,2.649919177465087,131.6214855446909,0.17809563558311467,66.4936900695026,58.545712638665705,7.885351764347457,2.048014813048202,9.175748420158731,273.7219884373654
Gove,,,,,,,,50.374164429055966,1.2210288298473715,,,
Alufer Bel Air,,,,,,,,50.374164429055966,1.2210288298473715,,,
Central Kalimantan Generic,,,,,,,,50.374164429055966,1.2210288298473715,,,
CBG LT,,,,,,,,50.374164429055966,1.2210288298473715,,,
Huntly,,,,,,,,50.374164429055966,1.2210288298473715,,,
Turkey,0.562,0.082,0.46114000000000005,2.4094875983673307,,0.15354678983967268,36.889420962046856,55.971293810062186,7.461842849067271,1.7830343882070034,7.559501363229241,
Bauxite Hills,0.513,0.095,0.39615,2.8047737248797455,142.53860069838865,0.19487210231814547,46.817774723127094,55.971293810062186,7.461842849067271,2.219645827197891,9.410595649510562,262.20010773015576
Chalco Boffa,,,,,,,,50.374164429055966,1.2210288298473715,,,
Rennell Island,0.48,0.011,0.46647,2.381956205353208,125.40999421184638,0.05072091095533117,12.185634344836489,55.971293810062186,7.461842849067271,1.6526771163085392,7.006827796672722,208.03559301248504
Discovery Bay,0.49,0.015,0.47154999999999997,2.3562954323213043,120.12394113974007,0.05620665889089174,13.503578309004517,55.971293810062186,7.461842849067271,1.6325020912121961,6.9212920769313016,203.98194818480533
MRN,,,,,,,,50.374164429055966,1.2210288298473715,,,
