Mine,Date,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Alumina,Moisture,Processing,Processing Penalties to be applied,DWT,Specific Index,General Index,Exporting Port,Handysize,Supramax loading rates,Panamax loading rates,NeoPanamax loading rate,Suezmax loading rate,Capesize loading rates,VLOC loading rates,Spare,model_id
Guinea 45/3 LT,2019-01-01 00:00:00.000,0.45,0.41,0.03,0.016,0.014,0.02400000000000004,0.1,LT,0.33,,Guinea 45/3 LT,CBIX LT,,,,,,,,,,model_8
Australia HT,2019-01-01 00:00:00.000,0.54,0.3725000000000001,0.08999999999999998,0.0675,0.022499999999999992,0.1,0.125,HT-D,0.67,,Australia HT,CBIX HT,,,,,,,,,,model_8
Indonesian LT,2019-01-01 00:00:00.000,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33,,Indonesian LT,CBIX LT,,,,,,,,,,model_8
CBIX LT,2019-01-01 00:00:00.000,0.5,0.45,0.05,0.05,,,0.1,LT,,,CBIX LT,CBIX LT,,,,,,,,,,model_8
CBIX HT,2019-01-01 00:00:00.000,0.5,0.45,0.05,0.05,,,0.1,LT,,,CBIX HT,CBIX HT,,,,,,,,,,model_8
CBIX,2019-01-01 00:00:00.000,0.5,0.45,0.05,0.05,,,0.1,LT,,,CBIX,CBIX,,,,,,,,,,model_8
SMB Generic,2019-01-01 00:00:00.000,0.448,0.4,0.023,0.013,0.01,0.035,0.1,LT,0.33,180000.0,Guinea 45/3 LT,CBIX LT,SMB-WAP_Nunez_Offshore,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Alufer Bel Air,2019-01-01 00:00:00.000,0.46,0.405,0.048,0.017,0.031,0.03799999999999999,0.101,LT,0.33,180000.0,Guinea 45/3 LT,CBIX LT,Alufer_Cape_Verga_Offshore,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,18000.0,,model_8
CBG LT,2019-01-01 00:00:00.000,0.487,0.433,0.022,0.019,0.0029999999999999988,0.035,0.071,LT,0.33,66000.0,Guinea 45/3 LT,CBIX LT,CBG_Wharf,30000.0,30000.0,30000.0,30000.0,30000.0,20000.0,20000.0,,model_8
GAC Generic,2019-01-01 00:00:00.000,0.47,0.41,0.02,0.01,0.01,0.039,0.08799999999999998,LT,0.33,180000.0,Guinea 45/3 LT,CBIX LT,GAC_Offshore,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Weipa/Amrun Generic,2019-01-01 00:00:00.000,0.53,0.3625,0.08999999999999998,0.0675,0.0225,0.1,0.13,HT-D,0.67,76000.0,Australia HT,CBIX HT,Weipa_Amrun_Wharf,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0,,model_8
West Kalimantan Generic,2019-01-01 00:00:00.000,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33,57000.0,Indonesian LT,CBIX LT,West_Kal_Generic_Offshore,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
MRN,2019-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.0049999999999999975,0.005000000000000053,0.12,LT,,180000.0,CBIX LT,CBIX LT,Pt_Lisas,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
CBIX LT,2015-01-01 00:00:00.000,0.5,0.45,0.05,0.05,,,0.1,LT,,,CBIX LT,CBIX LT,,,,,,,,,,model_9
CBIX HT,2015-01-01 00:00:00.000,0.5,0.45,0.05,0.05,,,0.1,LT,,,CBIX HT,CBIX HT,,,,,,,,,,model_9
CBIX,2015-01-01 00:00:00.000,0.5,0.45,0.05,0.05,,,0.1,LT,,,CBIX,CBIX,,,,,,,,,,model_9
Juruti,2019-01-01 00:00:00.000,0.52,0.475,0.045,0.041,0.003999999999999997,0.004000000000000038,0.12,LT,,180000.0,CBIX LT,CBIX LT,Pt_Lisas,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
MRN,2019-01-01 00:00:00.000,0.55,0.49,0.06,0.055,0.0049999999999999975,0.005000000000000053,0.12,LT,,57000.0,CBIX LT,CBIX LT,MRN_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Juruti,2019-01-01 00:00:00.000,0.52,0.475,0.045,0.041,0.003999999999999997,0.004000000000000038,0.12,LT,,57000.0,CBIX LT,CBIX LT,Juruti_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Gove,2019-01-01 00:00:00.000,0.495,0.425,0.05,0.042,0.008,0.028000000000000004,0.095,LT,0.67,95000.0,CBIX LT,CBIX LT,Gove_wharf,80000.0,80000.0,80000.0,80000.0,80000.0,40000.0,40000.0,,model_8
Central Kalimantan Generic,2019-01-01 00:00:00.000,0.48,0.44,0.08,0.035,0.045,0.005,0.15,LT,0.33,57000.0,Indonesian LT,CBIX LT,Central_Kal_Generic_Offshore,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
Huntly,2019-01-01 00:00:00.000,0.35,0.33,0.2,0.011,0.18899999999999997,0.008999999999999963,0.08,LT,1.0,47500.0,CBIX LT,CBIX LT,Kwinana_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Turkey,2019-01-01 00:00:00.000,0.562,0.45,0.082,0.05,0.032,0.062000000000000034,0.05,HT-D,,84000.0,CBIX HT,CBIX HT,Turkey,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Bauxite Hills,2019-01-01 00:00:00.000,0.513,0.405,0.095,0.051,0.044,0.05699999999999999,0.1,HT-D,0.67,63500.0,Australia HT,CBIX HT,Bauxite_Hills_offshore,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
Chalco Boffa,2019-01-01 00:00:00.000,0.42,0.371,0.019,0.013999999999999999,0.004999999999999999,0.035,0.1,LT,0.33,180000.0,Guinea 45/3 LT,CBIX LT,Chalco_Boffa_offshore,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
Rennell Island,2019-01-01 00:00:00.000,0.48,0.47,0.011,0.01,0.0009999999999999992,,0.15,HT-D,2.5,72000.0,CBIX HT,CBIX HT,Rennell_Is._offshore,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,15000.0,,model_8
Discovery Bay,2019-01-01 00:00:00.000,0.49,0.43,0.015,0.01,0.004999999999999999,0.05,0.17,HT-D,0.83,60000.0,CBIX HT,CBIX HT,Discovery_Bay_wharf,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,,model_8
