Date,Fuel Region,HSFO(180 / 380),VLSFO,LNG,MDO/MGO Regular,MDO/MGO Low Sulphur,model_id
2011-06-30 00:00:00.000,Singapore,637.15,,,894.0,,model_8
2011-07-07 00:00:00.000,Singapore,650.0,,,912.8,,model_8
2011-07-14 00:00:00.000,Singapore,666.2000000000002,,,945.4,,model_8
2011-07-21 00:00:00.000,Singapore,670.6,,,953.2,,model_8
2011-07-28 00:00:00.000,Singapore,681.2000000000002,,,958.0,,model_8
2011-08-04 00:00:00.000,Singapore,674.7000000000002,,,952.8,,model_8
2011-08-11 00:00:00.000,Singapore,639.9,,,894.0,,model_8
2011-08-18 00:00:00.000,Singapore,648.8,,,900.6,,model_8
2011-08-25 00:00:00.000,Singapore,649.2000000000002,,,900.0,,model_8
2011-09-01 00:00:00.000,Singapore,663.4000000000002,,,918.8,,model_8
2011-09-08 00:00:00.000,Singapore,659.7000000000002,,,922.6,,model_8
2011-09-15 00:00:00.000,Singapore,653.2000000000002,,,910.4,,model_8
2011-09-22 00:00:00.000,Singapore,655.0999999999998,,,911.6,,model_8
2011-09-29 00:00:00.000,Singapore,638.8,,,877.0,,model_8
2011-10-06 00:00:00.000,Singapore,638.8,,,877.0,,model_8
2011-10-13 00:00:00.000,Singapore,657.3,,,880.4,,model_8
2011-10-20 00:00:00.000,Singapore,678.3,,,903.8,,model_8
2011-10-27 00:00:00.000,Singapore,681.2000000000002,,,916.0,,model_8
2011-11-03 00:00:00.000,Singapore,683.9,,,923.0,,model_8
2011-11-10 00:00:00.000,Singapore,703.2000000000002,,,947.0,,model_8
2011-11-17 00:00:00.000,Singapore,705.4,,,966.4,,model_8
2011-11-24 00:00:00.000,Singapore,669.0,,,929.0,,model_8
2011-12-01 00:00:00.000,Singapore,676.6,,,918.8,,model_8
2011-12-08 00:00:00.000,Singapore,674.3,,,923.0,,model_8
2011-12-15 00:00:00.000,Singapore,655.5,,,912.6,,model_8
2011-12-22 00:00:00.000,Singapore,655.7000000000002,,,900.6,,model_8
2011-12-29 00:00:00.000,Singapore,680.125,,,915.25,,model_8
2012-01-05 00:00:00.000,Singapore,703.3,,,1534.4,,model_8
2012-01-12 00:00:00.000,Singapore,729.0,,,957.8,,model_8
2012-01-19 00:00:00.000,Singapore,731.2,,,953.2,,model_8
2012-01-26 00:00:00.000,Singapore,731.2,,,953.2,,model_8
2012-02-02 00:00:00.000,Singapore,735.7,,,946.4,,model_8
2012-02-09 00:00:00.000,Singapore,735.2,,,966.6,,model_8
2012-02-16 00:00:00.000,Singapore,736.7999999999998,,,974.0,,model_8
2012-02-23 00:00:00.000,Singapore,735.0999999999998,,,988.0,,model_8
2012-03-01 00:00:00.000,Singapore,734.2999999999998,,,992.0,,model_8
2012-03-08 00:00:00.000,Singapore,737.7999999999998,,,987.6,,model_8
2012-03-15 00:00:00.000,Singapore,732.2,,,1004.0,,model_8
2012-03-22 00:00:00.000,Singapore,733.2,,,1006.0,,model_8
2012-03-29 00:00:00.000,Singapore,734.0999999999998,,,1007.8,,model_8
2012-04-05 00:00:00.000,Singapore,733.2999999999998,,,1003.4,,model_8
2012-04-12 00:00:00.000,Singapore,727.4,,,993.0,,model_8
2012-04-19 00:00:00.000,Singapore,715.8,,,977.8,,model_8
2012-04-26 00:00:00.000,Singapore,716.3,,,974.2,,model_8
2012-05-03 00:00:00.000,Singapore,717.9,,,979.0,,model_8
2012-05-10 00:00:00.000,Singapore,685.2000000000002,,,943.6,,model_8
2012-05-17 00:00:00.000,Singapore,665.0,,,925.6,,model_8
2012-05-24 00:00:00.000,Singapore,648.7000000000002,,,895.6,,model_8
2012-05-31 00:00:00.000,Singapore,644.4000000000002,,,879.6,,model_8
2012-06-07 00:00:00.000,Singapore,591.2000000000002,,,835.0,,model_8
2012-06-14 00:00:00.000,Singapore,597.5,,,827.0,,model_8
2012-06-21 00:00:00.000,Singapore,594.0999999999998,,,820.0,,model_8
2012-06-28 00:00:00.000,Singapore,572.7000000000002,,,792.0,,model_8
2012-07-05 00:00:00.000,Singapore,598.1,,,835.0,,model_8
2012-07-12 00:00:00.000,Singapore,598.0,,,843.0,,model_8
2012-07-19 00:00:00.000,Singapore,615.5999999999998,,,872.0,,model_8
2012-07-26 00:00:00.000,Singapore,620.8,,,885.0,,model_8
2012-08-02 00:00:00.000,Singapore,633.2000000000002,,,892.0,,model_8
2012-08-09 00:00:00.000,Singapore,649.1,,,921.0,,model_8
2012-08-16 00:00:00.000,Singapore,666.7000000000002,,,956.0,,model_8
2012-08-23 00:00:00.000,Singapore,678.5,,,978.0,,model_8
2012-08-30 00:00:00.000,Singapore,676.4,,,979.0,,model_8
2012-09-06 00:00:00.000,Singapore,684.9,,,984.0,,model_8
2012-09-13 00:00:00.000,Singapore,686.2000000000002,,,981.4,,model_8
2012-09-20 00:00:00.000,Singapore,679.0,,,975.2,,model_8
2012-09-27 00:00:00.000,Singapore,655.0,,,950.0,,model_8
2012-10-04 00:00:00.000,Singapore,652.2000000000002,,,948.6,,model_8
2012-10-11 00:00:00.000,Singapore,644.6,,,954.0,,model_8
2012-10-18 00:00:00.000,Singapore,646.4000000000002,,,956.8,,model_8
2012-10-25 00:00:00.000,Singapore,635.4,,,935.0,,model_8
2012-11-01 00:00:00.000,Singapore,622.6,,,923.0,,model_8
2012-11-08 00:00:00.000,Singapore,608.5,,,913.0,,model_8
2012-11-15 00:00:00.000,Singapore,603.0,,,909.0,,model_8
2012-11-22 00:00:00.000,Singapore,614.8,,,921.0,,model_8
2012-11-29 00:00:00.000,Singapore,610.375,,,925.0,,model_8
2012-12-06 00:00:00.000,Singapore,606.0,,,927.4,,model_8
2012-12-13 00:00:00.000,Singapore,598.4000000000002,,,907.2,,model_8
2012-12-20 00:00:00.000,Singapore,606.4,,,906.0,,model_8
2012-12-27 00:00:00.000,Singapore,607.625,,,916.25,,model_8
2013-01-03 00:00:00.000,Singapore,609.5,,,921.6666666666665,,model_8
2013-01-10 00:00:00.000,Singapore,630.0,,,927.8,,model_8
2013-01-17 00:00:00.000,Singapore,631.0,,,930.6,,model_8
2013-01-24 00:00:00.000,Singapore,629.0999999999998,,,931.0,,model_8
2013-01-31 00:00:00.000,Singapore,635.5,,,933.5,,model_8
2013-02-07 00:00:00.000,Singapore,652.3,,,957.0,,model_8
2013-02-14 00:00:00.000,Singapore,652.3,,,957.0,,model_8
2013-02-21 00:00:00.000,Singapore,654.2000000000002,,,972.4,,model_8
2013-02-28 00:00:00.000,Singapore,635.8,,,953.6,,model_8
2013-03-07 00:00:00.000,Singapore,631.5999999999998,,,923.0,,model_8
2013-03-14 00:00:00.000,Singapore,634.6,,,918.6,,model_8
2013-03-21 00:00:00.000,Singapore,631.0,,,900.2,,model_8
2013-03-28 00:00:00.000,Singapore,629.5999999999998,,,885.0,,model_8
2013-04-04 00:00:00.000,Singapore,639.5,,,897.5,,model_8
2013-04-11 00:00:00.000,Singapore,624.6,,,876.2,,model_8
2013-04-18 00:00:00.000,Singapore,612.4000000000002,,,844.4,,model_8
2013-04-25 00:00:00.000,Singapore,627.5,,,830.2999999999998,,model_8
2013-05-02 00:00:00.000,Singapore,616.4500000000002,,,848.2,,model_8
2013-05-09 00:00:00.000,Singapore,623.4,,,851.1,,model_8
2013-05-16 00:00:00.000,Singapore,610.8333333333333,,,851.0,,model_8
2013-05-23 00:00:00.000,Singapore,607.25,,,851.0,,model_8
2013-05-30 00:00:00.000,Singapore,606.8,,,858.6,,model_8
2013-06-06 00:00:00.000,Singapore,605.05,,,851.1,,model_8
2013-06-13 00:00:00.000,Singapore,610.2000000000002,,,865.7,,model_8
2013-06-20 00:00:00.000,Singapore,620.9,,,890.7,,model_8
2013-06-27 00:00:00.000,Singapore,604.1,,,874.2999999999998,,model_8
2013-07-04 00:00:00.000,Singapore,594.8125,,,885.875,,model_8
2013-07-11 00:00:00.000,Singapore,602.2000000000002,,,904.9,,model_8
2013-07-18 00:00:00.000,Singapore,604.4500000000002,,,914.5,,model_8
2013-07-25 00:00:00.000,Singapore,606.5,,,917.0,,model_8
2013-08-01 00:00:00.000,Singapore,602.7000000000002,,,910.5,,model_8
2013-08-08 00:00:00.000,Singapore,603.7000000000002,,,916.8,,model_8
2013-08-15 00:00:00.000,Singapore,605.8,,,914.6,,model_8
2013-08-22 00:00:00.000,Singapore,607.6,,,918.5,,model_8
2013-08-29 00:00:00.000,Singapore,610.4000000000002,,,929.8,,model_8
2013-09-05 00:00:00.000,Singapore,609.5,,,932.4,,model_8
2013-09-12 00:00:00.000,Singapore,603.75,,,925.0,,model_8
2013-09-19 00:00:00.000,Singapore,603.5833333333333,,,914.8333333333331,,model_8
2013-10-05 00:00:00.000,Singapore,614.953125,,,909.0625,,model_8
2013-10-18 00:00:00.000,Singapore,618.8611111111112,,,924.6666666666665,,model_8
2013-10-25 00:00:00.000,Singapore,620.0625,,,922.375,,model_8
2013-11-01 00:00:00.000,Singapore,619.5999999999998,,,916.8,,model_8
2013-11-08 00:00:00.000,Singapore,610.375,,,905.25,,model_8
2013-11-15 00:00:00.000,Singapore,604.375,,,893.75,,model_8
2013-11-22 00:00:00.000,Singapore,608.5,,,907.3,,model_8
2013-11-29 00:00:00.000,Singapore,610.4375,,,936.625,,model_8
2013-12-06 00:00:00.000,Singapore,610.7000000000002,,,946.4,,model_8
2013-12-13 00:00:00.000,Singapore,610.0,,,936.5,,model_8
2013-12-20 00:00:00.000,Singapore,611.0,,,925.875,,model_8
2013-12-27 00:00:00.000,Singapore,619.125,,,937.75,,model_8
2014-01-03 00:00:00.000,Singapore,622.0,,,938.3333333333331,,model_8
2014-01-10 00:00:00.000,Singapore,607.6875,,,901.625,,model_8
2014-01-17 00:00:00.000,Singapore,609.5,,,901.25,,model_8
2014-01-24 00:00:00.000,Singapore,615.35,,,900.0,,model_8
2014-01-31 00:00:00.000,Singapore,624.2000000000002,,,910.3,,model_8
2014-02-07 00:00:00.000,Singapore,620.9,,,900.4,,model_8
2014-02-14 00:00:00.000,Singapore,618.0625,,,914.375,,model_8
2014-02-21 00:00:00.000,Singapore,621.25,,,922.25,,model_8
2014-02-28 00:00:00.000,Singapore,617.75,,,923.625,,model_8
2014-03-07 00:00:00.000,Singapore,610.0,,,917.125,,model_8
2014-03-14 00:00:00.000,Singapore,603.6875,,,901.625,,model_8
2014-03-21 00:00:00.000,Singapore,603.6875,,,892.25,,model_8
2014-03-28 00:00:00.000,Singapore,602.875,,,897.25,,model_8
2014-04-04 00:00:00.000,Singapore,596.875,,,898.375,,model_8
2014-04-11 00:00:00.000,Singapore,592.875,,,898.875,,model_8
2014-04-18 00:00:00.000,Singapore,597.875,,,911.375,,model_8
2014-04-25 00:00:00.000,Singapore,597.625,,,919.375,,model_8
2014-05-02 00:00:00.000,Singapore,596.75,,,916.75,,model_8
2014-05-09 00:00:00.000,Singapore,594.75,,,905.1,,model_8
2014-05-16 00:00:00.000,Singapore,596.1666666666667,,,900.6666666666665,,model_8
2014-05-23 00:00:00.000,Singapore,603.125,,,903.125,,model_8
2014-05-30 00:00:00.000,Singapore,610.1875,,,902.875,,model_8
2014-06-06 00:00:00.000,Singapore,608.1875,,,884.125,,model_8
2014-06-13 00:00:00.000,Singapore,607.875,,,882.625,,model_8
2014-06-20 00:00:00.000,Singapore,621.6,,,911.4,,model_8
2014-06-27 00:00:00.000,Singapore,625.8333333333334,,,917.1666666666665,,model_8
2014-07-04 00:00:00.000,Singapore,617.8,,,903.8,,model_8
2014-07-11 00:00:00.000,Singapore,603.75,,,884.3333333333333,,model_8
2014-07-18 00:00:00.000,Singapore,601.1875,,,876.5,,model_8
2014-07-25 00:00:00.000,Singapore,602.5625,,,874.875,,model_8
2014-08-01 00:00:00.000,Singapore,607.1875,,,880.875,,model_8
2014-08-08 00:00:00.000,Singapore,603.5,,,872.375,,model_8
2014-08-15 00:00:00.000,Singapore,597.3125,,,866.875,,model_8
2014-08-22 00:00:00.000,Singapore,594.25,,,866.875,,model_8
2014-08-29 00:00:00.000,Singapore,595.1875,,,860.125,,model_8
2014-09-05 00:00:00.000,Singapore,593.5,,,857.75,,model_8
2014-09-12 00:00:00.000,Singapore,587.4375,,,839.5,,model_8
2014-09-19 00:00:00.000,Singapore,579.3125,,,825.75,,model_8
2014-09-26 00:00:00.000,Singapore,574.3125,,,813.875,,model_8
2014-10-03 00:00:00.000,Singapore,565.25,,,796.4,,model_8
2014-10-10 00:00:00.000,Singapore,539.9,,,771.7999999999998,,model_8
2014-10-17 00:00:00.000,Singapore,494.25,,,732.5,,model_8
2014-10-24 00:00:00.000,Singapore,482.125,,,718.125,,model_8
2014-10-31 00:00:00.000,Singapore,482.6875,,,720.75,,model_8
2014-11-07 00:00:00.000,Singapore,473.375,,,720.125,,model_8
2014-11-14 00:00:00.000,Singapore,488.25,,,724.875,,model_8
2014-11-21 00:00:00.000,Singapore,472.9375,,,701.75,,model_8
2014-11-28 00:00:00.000,Singapore,472.25,,,698.625,,model_8
2014-12-05 00:00:00.000,Singapore,436.9375,,,649.25,,model_8
2014-12-12 00:00:00.000,Singapore,390.75,,,604.625,,model_8
2014-12-19 00:00:00.000,Singapore,346.75,,,571.875,,model_8
2014-12-26 00:00:00.000,Singapore,346.08333333333337,,,569.5,,model_8
2015-01-02 00:00:00.000,Singapore,335.375,,,557.75,,model_8
2015-01-09 00:00:00.000,Singapore,297.5625,,,514.0,,model_8
2015-01-16 00:00:00.000,Singapore,283.35,,,480.2,,model_8
2015-01-23 00:00:00.000,Singapore,286.0499999999999,,,477.5,,model_8
2015-01-30 00:00:00.000,Singapore,288.25,,,476.75,,model_8
2015-02-06 00:00:00.000,Singapore,326.5,,,509.75,,model_8
2015-02-13 00:00:00.000,Singapore,354.5625,,,544.25,,model_8
2015-02-20 00:00:00.000,Singapore,383.85,,,577.9,,model_8
2015-02-27 00:00:00.000,Singapore,359.35,,,557.9,,model_8
2015-03-06 00:00:00.000,Singapore,354.0625,,,574.0,,model_8
2015-03-13 00:00:00.000,Singapore,338.9375,,,547.75,,model_8
2015-03-20 00:00:00.000,Singapore,316.95,,,517.5,,model_8
2015-03-27 00:00:00.000,Singapore,324.625,,,521.375,,model_8
2015-04-03 00:00:00.000,Singapore,323.25,,,519.875,,model_8
2015-04-10 00:00:00.000,Singapore,330.75,,,523.875,,model_8
2015-04-17 00:00:00.000,Singapore,345.0625,,,536.75,,model_8
2015-04-24 00:00:00.000,Singapore,355.3125,,,551.5,,model_8
2015-05-01 00:00:00.000,Singapore,363.0,,,566.1666666666665,,model_8
2015-05-08 00:00:00.000,Singapore,391.25,,,586.375,,model_8
2015-05-15 00:00:00.000,Singapore,389.625,,,586.25,,model_8
2015-05-22 00:00:00.000,Singapore,374.875,,,579.875,,model_8
2015-05-29 00:00:00.000,Singapore,380.6875,,,569.75,,model_8
2015-06-05 00:00:00.000,Singapore,374.8,,,565.2000000000002,,model_8
2015-06-12 00:00:00.000,Singapore,369.875,,,560.875,,model_8
2015-06-19 00:00:00.000,Singapore,366.4375,,,556.75,,model_8
2015-06-26 00:00:00.000,Singapore,356.4375,,,553.5,,model_8
2015-07-03 00:00:00.000,Singapore,343.875,,,536.125,,model_8
2015-07-10 00:00:00.000,Singapore,318.0,,,507.625,,model_8
2015-07-17 00:00:00.000,Singapore,317.0625,,,488.875,,model_8
2015-07-24 00:00:00.000,Singapore,309.875,,,475.0,,model_8
2015-07-31 00:00:00.000,Singapore,292.7999999999999,,,450.3,,model_8
2015-08-07 00:00:00.000,Singapore,275.8125,,,436.875,,model_8
2015-08-14 00:00:00.000,Singapore,268.875,,,437.5,,model_8
2015-08-21 00:00:00.000,Singapore,248.065,,,422.0,,model_8
2015-08-28 00:00:00.000,Singapore,214.375,,,398.875,,model_8
2015-09-04 00:00:00.000,Singapore,258.7,,,443.8,,model_8
