Date,Vesssel class,Applicable Time Charter Index,Vessel Time Charter Rates,model_id
2019-01-18 00:00:00.000,Capesize,Capesize_General,14050.0,model_8
2019-01-18 00:00:00.000,Panamax,Panamax_General,9777.0,model_8
2019-01-18 00:00:00.000,Supramax,Supramax_General,8850.0,model_8
2019-01-18 00:00:00.000,Handysize,Handysize_General,8850.0,model_8
2019-01-18 00:00:00.000,Panamax,P3A_03,9777.0,model_8
2019-01-25 00:00:00.000,Capesize,Capesize_General,12725.0,model_8
2019-01-25 00:00:00.000,Panamax,Panamax_General,9312.0,model_8
2019-01-25 00:00:00.000,Supramax,Supramax_General,8786.0,model_8
2019-01-25 00:00:00.000,Handysize,Handysize_General,8786.0,model_8
2019-01-25 00:00:00.000,Panamax,P3A_03,9312.0,model_8
2019-02-01 00:00:00.000,Capesize,Capesize_General,11979.0,model_8
2019-02-01 00:00:00.000,Panamax,Panamax_General,8319.0,model_8
2019-02-01 00:00:00.000,Supramax,Supramax_General,8114.0,model_8
2019-02-01 00:00:00.000,Handysize,Handysize_General,8114.0,model_8
2019-02-01 00:00:00.000,Panamax,P3A_03,8319.0,model_8
2019-02-08 00:00:00.000,Capesize,Capesize_General,10988.0,model_8
2019-02-08 00:00:00.000,Panamax,Panamax_General,6117.0,model_8
2019-02-08 00:00:00.000,Supramax,Supramax_General,7714.0,model_8
2019-02-08 00:00:00.000,Handysize,Handysize_General,7714.0,model_8
2019-02-08 00:00:00.000,Panamax,P3A_03,6117.0,model_8
2019-02-15 00:00:00.000,Capesize,Capesize_General,6142.0,model_8
2019-02-15 00:00:00.000,Panamax,Panamax_General,5740.0,model_8
2019-02-15 00:00:00.000,Supramax,Supramax_General,6271.0,model_8
2019-02-15 00:00:00.000,Handysize,Handysize_General,6271.0,model_8
2019-02-15 00:00:00.000,Panamax,P3A_03,5740.0,model_8
2019-02-22 00:00:00.000,Capesize,Capesize_General,7050.0,model_8
2019-02-22 00:00:00.000,Panamax,Panamax_General,6286.0,model_8
2019-02-22 00:00:00.000,Supramax,Supramax_General,7050.0,model_8
2019-02-22 00:00:00.000,Handysize,Handysize_General,7050.0,model_8
2019-02-22 00:00:00.000,Panamax,P3A_03,6286.0,model_8
2019-03-01 00:00:00.000,Capesize,Capesize_General,4329.0,model_8
2019-03-01 00:00:00.000,Panamax,Panamax_General,7922.0,model_8
2019-03-01 00:00:00.000,Supramax,Supramax_General,8421.0,model_8
2019-03-01 00:00:00.000,Handysize,Handysize_General,8421.0,model_8
