Date,CM Data Source,Mine,Price,Price Type,Price Basis,Total Alumina,LT Avail. Alumina,Total Silica,LT R.Silica,Quartz / HT Silica,Mono-hydrate / HT Extble Alumina,Moisture,Tonnage,Exporting Port,Importing Port,Final Specs Price Type,Final Specs Price Basis,Old CBIX type Calc,model_id
2019-03-01 00:00:00.000,Mysteel,SMB Generic,55.0,CIF,dmt,,,,,,,,153450.0,,Qingdao,CIF,dmt,CBIX,model_8
2019-03-06 00:00:00.000,Mysteel,West Kalimantan Generic,54.0,CIF,dmt,,,,,,,,174396.0,,Qingdao,CIF,dmt,CBIX,model_8
2019-03-07 00:00:00.000,Mysteel,Weipa/Amrun Generic,49.0,CIF,dmt,,,,,,,,74154.0,,Qingdao,CIF,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Gove,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Alufer Bel Air,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Central Kalimantan Generic,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,CBG LT,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Huntly,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Turkey,100.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Bauxite Hills,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Chalco Boffa,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Rennell Island,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,Discovery Bay,50.0,CFR,dmt,,,,,,,,,,Qingdao,CFR,dmt,CBIX,model_8
2020-04-02 00:00:00.000,somebody,MRN,50.0,CFR,dmt,,,,,,,,140000.0,,Qingdao,CFR,dmt,CBIX,model_8
2015-06-30 00:00:00.000,somebody,Weipa,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Gove,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Boddington,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Huntly,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Willowdale,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Metro BH1,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Metro LT,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Metro Blend,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Metallica,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,QBL South Johnston,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Aurukun,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Amrun,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,ABx Tasmania,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Jajce,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Milici (Vlasenica),,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,MRN,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Mirai,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Rondon do Para,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Paragominas,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Juruti,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Cataguases,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,"Pocos de Caldas, Alcoa",,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Brazil others,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Dom. Rep.,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Aurum Xinfa-Fiji,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Awaso,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Other Ghana,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Delphi-Distomon,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Parnasse,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,SMB-WAP,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Chalco Boffa,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,CBG,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,CBK Kindia,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,GAC,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Alufer (Bel Air),,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,AMC,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
2015-06-30 00:00:00.000,somebody,Fria Kimbo,,CIF,dmt,,,,,,,,,,Qingdao,CIF,dmt,CBIX,model_9
