Lignitious Coal – Date,Lignitious Coal – Price,Lignitious Coal – Energy value,Caustic Soda – Date,Caustic Soda – Price,Caustic Soda – Grade,Lime – Date,Lime – Price,Mud disposal cost - Date,Mud disposal cost – Price,model_id
2011-06-30 00:00:00.000,632.478632478633,4000.0,2011-06-30 00:00:00.000,2386.1,1,2011-06-30 00:00:00.000,300.0,2011-06-30 00:00:00.000,20.0,model_8
2011-07-31 00:00:00.000,658.119658119658,4000.0,2011-07-31 00:00:00.000,2365.4,1,2012-06-30 00:00:00.000,300.0,2012-06-30 00:00:00.000,20.0,model_8
2011-08-31 00:00:00.000,658.119658119658,4000.0,2011-08-31 00:00:00.000,2257.8,1,2014-05-05 00:00:00.000,340.0,2014-05-05 00:00:00.000,22.0,model_8
2011-09-30 00:00:00.000,658.119658119658,4000.0,2011-09-30 00:00:00.000,2402.8,1,2015-02-14 00:00:00.000,240.0,2018-06-02 00:00:00.000,30.0,model_8
2011-10-31 00:00:00.000,658.119658119658,4000.0,2011-10-31 00:00:00.000,2498.5,1,2015-03-10 00:00:00.000,240.0,,,model_8
2011-11-30 00:00:00.000,658.119658119658,4000.0,2011-11-30 00:00:00.000,2636.1,1,2015-04-09 00:00:00.000,240.0,,,model_8
2011-12-31 00:00:00.000,658.119658119658,4000.0,2011-12-31 00:00:00.000,2700.0,1,2015-05-12 00:00:00.000,240.0,,,model_8
2012-01-31 00:00:00.000,692.3076923076919,4000.0,2012-01-31 00:00:00.000,2640.5,1,2015-05-29 00:00:00.000,240.0,,,model_8
2012-02-29 00:00:00.000,685.7948717948722,4000.0,2012-02-29 00:00:00.000,2494.6,1,2015-08-03 00:00:00.000,240.0,,,model_8
2012-03-31 00:00:00.000,683.760683760684,4000.0,2012-03-31 00:00:00.000,2256.0,1,2015-09-30 00:00:00.000,241.0,,,model_8
2012-04-30 00:00:00.000,683.760683760684,4000.0,2012-04-30 00:00:00.000,2593.9,1,2015-11-02 00:00:00.000,240.0,,,model_8
2012-05-31 00:00:00.000,786.7350427350428,4000.0,2012-05-31 00:00:00.000,2698.0,1,2015-12-03 00:00:00.000,240.0,,,model_8
2012-06-30 00:00:00.000,676.068376068376,4000.0,2012-06-30 00:00:00.000,2729.1,1,2016-01-04 00:00:00.000,240.0,,,model_8
2012-07-31 00:00:00.000,658.119658119658,4000.0,2012-07-31 00:00:00.000,2812.8,1,2016-02-06 00:00:00.000,240.0,,,model_8
2012-08-31 00:00:00.000,610.555555555556,4000.0,2012-08-31 00:00:00.000,2828.6,1,2016-03-04 00:00:00.000,240.0,,,model_8
2012-09-30 00:00:00.000,384.6153846153849,4000.0,2012-09-30 00:00:00.000,2800.0,1,2016-08-02 00:00:00.000,240.0,,,model_8
2012-10-31 00:00:00.000,384.6153846153849,4000.0,2012-10-31 00:00:00.000,2600.7,1,2016-09-03 00:00:00.000,240.0,,,model_8
2012-11-30 00:00:00.000,384.6153846153849,4000.0,2012-11-30 00:00:00.000,2286.6,1,2016-10-15 00:00:00.000,240.0,,,model_8
2012-12-31 00:00:00.000,384.6153846153849,4000.0,2012-12-31 00:00:00.000,2226.5,1,2016-11-05 00:00:00.000,240.0,,,model_8
