,mine_status,creation_date_x,updation_date_x,Mine,creation_date_y,updation_date_y,County,creation_date_x,updation_date_x,Province,creation_date_y,updation_date_y,rsdatabase_id,index,tonnesproduced,gradeal2o3,asa,miningscale,mineautolevel,minetypeopenpit,minetypeunderground,depthopenpit,depthunderground,StrippingRatioOpenPit,strippingratiounderground,dressingautolevel,distanceopenpit,distanceunderground,localtaxandfees,distance,dressingratio,empty
0,Operational,,2020-08-22 21:52:46.720,Xiaoguan Bx mine,,,Gongyi,,,Henan,,,2,0,1137.16698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
1,Operational,,2020-08-22 21:52:46.720,Hejiagetai Bx mine,,,Xing,,,Shanxi,,,11,9,1081.832527,0.6616,8.74,3,3,0.12,0.88,110.0917884,215.0917884,1.865444193,0.7,3,20,20,21,100,0,0
2,Operational,,2020-08-22 21:52:46.720,Chaichang Bx mine,,,Xiaoyi,,,Shanxi,,,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
3,Operational,,2020-08-22 21:52:46.720,Xiangwang Bx mine,,,Xiaoyi,,,Shanxi,,,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
4,Operational,,2020-08-22 21:52:46.720,Ke'e Bx mine,,,Xiaoyi,,,Shanxi,,,15,13,601.0180703,0.6449,4.79,3,2,1,0,115.0917884,0,9.207343073,0,2,20,0,21,50,0,0
5,Operational,,2020-08-22 21:52:46.720,CPI Wutai Tianhe Bx mine,,,Wutai,,,Shanxi,,,16,14,1202.036141,0.632,5.85,3,3,1,0,95.09178842,0,9.509178842,0,3,20,0,21,95,0,0
6,Operational,,2020-08-22 21:52:46.720,Houwucheng Bx mine,,,Jiaokou,,,Shanxi,,,17,15,240.4072281,0.6463,6.39,2,3,1,0,95.09178842,0,9.509178842,0,3,20,0,21,20,0,0
7,Operational,,2020-08-22 21:52:46.720,Chaclo Niucaogou Bx mine,,,Jiaokou,,,Shanxi,,,18,16,0,0.682,5.5,2,3,1,0,85.09178842,0,12.76376826,0,3,20,0,21,20,0,0
8,Operational,,2020-08-22 21:52:46.720,Gu County Jindui Bauxite mine,,,Gu,,,Shanxi,,,19,17,480.8144562,0.6,4.8,2,3,1,0,105.0917884,0,9.195531487,0,3,20,0,21,20,0,0
9,Operational,,2020-08-22 21:52:46.720,Qianmuping Bx mine,,,Yangquan,,,Shanxi,,,20,18,0,0.591,3.58,2,2,1,0,80.09178842,0,26.69726281,0,2,15,0,21,20,0,0
10,Operational,,2020-08-22 21:52:46.720,Chenlou Bx mine,,,Dengfeng,,,Henan,,,3,1,113.716698,0.6009,4.91,1,2,1,0,77.66867585,0,5.825150689,0,2,20,0,27.25,27,0,0
11,Operational,,2020-08-22 21:52:46.720,Caoping Bx mine,,,Ningwu,,,Shanxi,,,21,19,1322.239755,0.5853,5.24,3,3,1,0,80.09178842,0,26.69726281,0,3,20,0,21,70,0,0
12,Operational,,2020-08-22 21:52:46.720,Caochuan Bx mine,,,Pinglu,,,Shanxi,,,22,20,0,0.648,5.8,3,3,1,0,77.09178842,0,32.12157851,0,3,20,0,21,50,0,0
13,Operational,,2020-08-22 21:52:46.720,Dongling Bx mine,,,Debao,,,Guangxi,,2020-08-13 10:46:45.210,23,21,986.3351217,0.5033,8.85,3,3,1,0,45.6753034,0,0,0,3,15,0,25,40,2,0
14,Operational,,2020-08-22 21:52:46.720,Lutong East and Sanhe East Bx mine,,,Jingxi,,,Guangxi,,2020-08-13 10:46:45.210,24,22,3205.589145,0.5701,9.61,3,3,1,0,20.1753034,0,0,0,3,15,0,25,60,2,0
15,Operational,,2020-08-22 21:52:46.720,Jiaomei Bx mine,,,Pingguo,,,Guangxi,,2020-08-13 10:46:45.210,25,23,493.1675608,0.5227,13.76,2,3,1,0,20.6753034,0,0,0,3,20,0,25,20,2,0
16,Operational,,2020-08-22 21:52:46.720,Nadou Bx mine,,,Pingguo,,,Guangxi,,2020-08-13 10:46:45.210,26,24,1335.251171,0.5962,9.93,3,3,1,0,16.2353034,0,0,0,3,20,0,25,20,2,0
17,Operational,,2020-08-22 21:52:46.720,Maijiuping Bx mine,,,Qingzhen,,,Yunnan,,,27,25,706.5107665,0.519,6.55,3,2,1,0,37.21640946,0,37.21640946,0,2,15,0,28,130,0,0
18,Operational,,2020-08-22 21:52:46.720,Hongsheke Bx mine,,,Qingzhen,,,Yunnan,,,28,26,321.1412575,0.523,6.8,3,2,1,0,37.21640946,0,59.54625513,0,2,15,0,28,75,0,0
19,Operational,,2020-08-22 21:52:46.720,Banmao Bx mine,,,Qingzhen,,,Yunnan,,,29,27,695.8060579,0.5268,8.26,3,2,1,0,38.21640946,0,25.47760631,0,2,15,0,28,160,0,0
20,Operational,,2020-08-22 21:52:46.720,Maiba Bx mine,,,Wuchuan,,,Guizhou,,,30,28,494.2555128,0.662,6.12,3,3,0,1,0,143.657875,0,2.3,2,20,20,30,32,0,0
21,Operational,,2020-08-22 21:52:46.720,Yangtai Bx mine,,,Xinmi,,,Henan,,,4,2,0,0.689,8.3,3,1,1,0,77.66867585,0,9.708584481,0,1,20,0,27.25,50,0,0
22,Operational,,2020-08-22 21:52:46.720,Maochang Bx mine,,,Wuchuan,,,Guizhou,,,31,29,1186.213231,0.68,9.47,3,3,0,1,0,131.657875,0,2.1,3,8,8,30,50,0,0
