Ref. No.,Refinery,Refinery Province,Refinery Province Category,Technology,Refinery Ownership,Owner,Bauxite Source,Bauxite Self Supply,Bauxite Origin Province,Bauxite Origin Province Category,Bauxite Origin County,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Nanchuan,Other,Nanchuan,,1.9888781,1.998455203,2.007022666,2.015409114,2.023890957,2.031008644,2.036898179,2.04547656,2.054757592,2.061360716,2.066191918,2.069232163,2.070450051
1.1,Bosai Xianfeng domestic,Chongqing,Other,H-B,Bosai,Other,Domestic,1,Wulong,Other,Wulong,,1.9888781,1.998455203,2.007022666,2.015409114,2.023890957,2.031008644,2.036898179,2.04547656,2.054757592,2.061360716,2.066191918,2.069232163,2.070450051
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Longzhou,Guangxi,Longzhou,,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,0.95,Pingguo,Guangxi,Pingguo,,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338
5,Chalco Pingguo ,Guangxi,Guangxi,H-B,Chalco,Chalco,Domestic,1,Tiandong,Guangxi,Tiandong,,2.330513341,2.337321916,2.344032535,2.350549824,2.356911474,2.363149386,2.369291058,2.375360756,2.381380383,2.387370172,2.393349245,2.39924164,2.405099338
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Chongzuo,Guangxi,Chongzuo,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Longzhou,Guangxi,Longzhou,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388
6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Napo,Guangxi,Napo,,2.747945591,2.747945591,2.747945591,2.747945591,2.747945591,3.029847281,3.080178103,3.111293736,3.134304184,3.152264261,3.166510246,3.181328619,3.19681388
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Debao,Guangxi,Debao,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Jingxi,Guangxi,Jingxi,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Tiandong,Guangxi,Tiandong,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006
7,Huayin,Guangxi,Guangxi,H-B,"Chalco, Guangxi Investment Group, Minmetal",Chalco,Domestic,1,Tianyang,Guangxi,Tianyang,,2.676582427,2.690372716,2.703697189,2.716270405,2.728484483,2.740413453,2.751592341,2.762088964,2.772474182,2.782779659,2.793033451,2.8043338,2.816792006
8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Chongzuo,Guangxi,Chongzuo,,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559
8,Jinjiang Tiandong,Guangxi,Guangxi,H-B,Jinjiang,Jinjiang,Domestic,1,Napo,Guangxi,Napo,,2.536564841,2.560175831,2.582973751,2.606127199,2.628493283,2.650312568,2.671769672,2.6930104,2.714155831,2.733208081,2.750199896,2.769089684,2.790137559
