No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,183.69587664329185,161.37477787849397,412.4378729617982,419.18612156862963,429.16866878278336,447.09483762668856,448.4079395815105,833.5402356041317,1005.1276761728789,1009.9676969277247,845.2478930637983,848.779805095672,852.3518922706198,684.2795773928193,686.2638567471914,689.154051696748,692.2809811037156,694.5056801041558,522.10004249796,348.578848792253,0.0,0.0,
2,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,34.39504739169957,30.21566533980491,77.22448889911352,78.48802477637032,80.35714775721668,83.71362716331143,83.95949116848958,156.0713088958684,188.19918382712106,189.10542487227522,158.26343993620182,158.92475190432788,159.59358622938012,128.12388020718075,128.49541485280878,129.03657230325217,129.6220556962845,130.03860629584418,97.75753290204005,65.26758380774709,0.0,0.0,
3,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,,3.573049602433741,3.13888420621031,8.022286645423108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,80.01971952000001,326.49182528,821.0858820000001,1238.437347,1494.33116904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,,133.16853013573572,157.39365266897144,197.6875183325505,198.6055815295596,199.42744249519427,200.17975113549647,200.87976244707986,201.5392927569657,194.06842790092264,202.7452053858519,203.32730142410307,203.89262752994176,204.4444531158885,204.9855453552422,205.51828949396304,206.04479042616927,206.56694807339227,207.0865174971458,207.6051573879986,166.49302288819612,166.89951210167368,167.31138309899566,
7,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,,3681.1822682106563,4350.838165318489,5464.682882589462,5490.060935185535,5512.779666184107,5533.575759856384,5552.9261966684535,5571.157615755413,5364.640241055609,5604.492700117629,5620.583600965013,5636.2109299927415,5651.4650636838,5666.422495105059,5681.149159692804,5695.703243107696,5710.137264946103,5724.499740433943,5738.836520811769,4602.372369899344,4613.608965237201,4624.994329411354,
8,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,23.689704453607746,27.999176012540158,35.1671590779882,35.330475784906206,35.4766788206985,35.61050900811957,35.735035884467095,35.85236148762173,34.52334944346902,36.06688449651931,36.17043511088541,36.271002477316344,36.36916820031181,36.46542453969893,36.56019581323346,36.65385646613549,36.74674448050566,36.839172068910436,36.93143430023213,29.617887212458605,29.690198661124793,29.763467489650758,
9,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.6595931751821,723.4061522953639,735.4231362909618,594.2818423448921,598.6770208754162,451.5806537910182,453.62147609763423,455.7442963986633,457.96265238265244,460.09784856636486,
