No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,25.707598380579824,256.7023556390638,402.1475935719492,422.7347720265128,140.75156839849228,309.16352551526063,279.70009782360927,211.1097658965862,135.10797702986875,900.7213119806883,327.34817455595527,164.41673301213234,0.0,0.0,0.0,0.0,0.0,
2,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,4.813467132655489,48.064713531439764,75.29774642805103,79.15247083202394,26.354194519689425,57.887494843072886,52.37078967639071,39.52799886174714,25.297493650131383,168.6502319943114,61.292371844044794,30.78523822786754,0.0,0.0,0.0,0.0,0.0,
3,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
6,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.981267555923324,43.600133970635454,44.1505704510312,118.37116366050587,
7,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.6339016584507,1205.240006033844,1220.4557406322795,3272.138156742961,
8,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.891300785625928,7.756143939181961,7.854062550491766,21.05736152594596,
9,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.54445689225695,90.00745566848954,91.14376839498036,244.36363596442447,
