No,Ref .No.,Refiney Name,Province,Province category,Technology,Ownership,Owner,Bauxite,ref cell,ref cell row,column 1,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,34004.04024507462,33820.344368431324,33658.96959055283,33246.53171759103,32827.3455960224,32398.17692723962,31925.374491232353,31220.26419601178,29984.5763668357,28556.71391863631,27405.994653310092,26251.58323473103,25123.10333181175,24059.641673644546,23240.25411922186,21653.26895049398,20636.76672424128,19780.06901012543,19085.563330021272,18563.46328752331,18214.884438731056,18214.884438731056,18214.884438731056,
2,1.1,Bosai Xianfeng domestic,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,6366.885294925379,6332.490247533679,6302.274582193874,6225.050093294761,6146.56206851839,6066.2049207611735,5977.677826465207,5845.653621765277,5614.284566441358,5346.932911782213,5131.473292390248,4915.322357610974,4704.026816030256,4504.905230939128,4351.483857081816,4054.3382102346955,3864.0092660873984,3703.6019721632465,3573.5633658674024,3475.8058329653622,3410.538249157615,3410.538249157615,3410.538249157615,
3,1.1,Bosai Xianfeng domestic,Chongqing,Guizhou,Guizhou,Zunyi,,,1,,,,,,661.4090893,657.8360396975663,654.697155491356,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,646.6748688459329,
4,3,Shuijiang,Chongqing,Other,Chongqing,Nanchuan,,,1,,,,,,6141.194839000001,6061.175119480001,5734.683294200001,4913.597412200001,3675.1600652000006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,2180.8288961600006,
5,4,Tuoyuan,Chongqing,Other,Chongqing,Wulong,,,1,,,,,,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,1727.279123,
6,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,8707.736950460445,8574.56842032471,8417.174767655737,8219.487249323187,8020.8816677936275,7821.454225298433,7621.274474162937,7420.394711715857,7218.855418958891,7024.786991057968,6822.041785672117,6618.714484248014,6414.821856718072,6210.377403602183,6005.391858246941,5799.873568752979,5593.82877832681,5387.261830253417,5180.1753127562715,4922.58888781235,4712.495730953518,4501.445648400813,4215.763101641312,
7,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Pingguo,,,0.95,,,,,,240708.27263472087,237027.0903665102,232676.25220119173,227211.56931860227,221721.50838341675,216208.72871723265,210675.15295737627,205122.22676070782,199551.0691449524,194186.4289038968,188581.93620377916,182961.35260281415,177325.1416728214,171673.6766091376,166007.25411403252,160326.1049543397,154630.401711232,148920.2644462859,143195.76470585197,136075.29428338175,130267.68190744857,124433.6172015791,116536.48471542478,
8,5,Chalco Pingguo ,Guangxi,Guangxi,Guangxi,Tiandong,,,1,,,,,,1549.0425148186819,1525.3528103650742,1497.353634352534,1462.186475274546,1426.8559994896398,1391.3793206689413,1355.7688116608217,1320.0337757763546,1284.1814142887329,1249.6580648452639,1213.5911803487445,1177.4207452378591,1141.1497427605427,1104.780574560231,1068.315150020532,1031.7549542072984,995.1010977411629,958.3543532606573,921.5151811917468,875.6924461058887,838.3184149542482,800.7741537426316,749.9533247270349,
9,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Chongzuo,,,1,,,,,,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,19171.40130318407,18777.741710008886,18054.335557713523,17318.91242142256,16724.630579077668,16125.95355820225,15674.372904411233,15138.206971421343,14592.45521935419,14043.348798576557,13338.887314045767,
10,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Longzhou,,,1,,,,,,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13750.616740323454,13468.265851815135,12949.40546229559,12421.925935411755,11995.67948004906,11566.280599126922,11242.386043928513,10857.823009794045,10466.384582349043,10072.54003116801,9567.267634596072,
11,6.1,Jinjiang Chongzuo domestic,Guangxi,Guangxi,Guangxi,Napo,,,1,,,,,,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7225.842136492479,7077.4689408759805,6804.811842190889,6527.625453865687,6303.6362571732725,6077.990485370828,5907.786416060254,5705.701532984613,5500.003684205219,5293.041436118815,5027.52472203213,
12,7,Huayin,Guangxi,Guangxi,Guangxi,Debao,,,1,,,,,,127140.39742328407,125145.48004370612,123368.36153142949,121578.5252108319,119295.81956526997,116997.85245543189,114564.1529854495,111871.08083603604,109162.47681393515,106488.93251403577,103627.4354989999,100876.7955795435,98113.36414261012,95337.50656170513,92549.51289499382,90004.63412474137,87450.04729103997,84885.85542958106,82312.13229081634,79196.01034940097,76021.2551267433,72827.64147228868,68633.18697985727,
