Ref No.,Refinery,Province
1.1,Bosai Xianfeng domestic,Chongqing
1.2,Bosai Xianfeng import,Chongqing
2,Shuijiang,Chongqing
3,Tuoyuan,Chongqing
4,Chalco Pingguo ,Guangxi
5.1,Jinjiang Chongzuo domestic,Guangxi
5.2,Jinjiang Chongzuo import,Guangxi
6,Huayin,Guangxi
7,Jinjiang Tiandong,Guangxi
8,Xinfa Jingxi,Guangxi
9,Fangcheng,Guangxi
10,Tiangui,Guangxi
11,Beihai_GIG,Guangxi
12,Baise Mining,Guangxi
13,Chalco Guizhou,Guizhou
14,Chalco Zunyi,Guizhou
15,Xian,Guizhou
16,Huafei,Guizhou
17,Qingzhen Guanglv,Guizhou
18.1,Qizheng Chemical,Guizhou
18.2,Qizheng Chemical Added LT,Guizhou
19,SPIC - Wuchuan,Guizhou
20,Kaisheng,Guizhou
21,Huajin,Guizhou
22,East Hope Zunyi,Guizhou
23.1,Chalco Zhengzhou domestic,Henan
23.2,Chalco Zhengzhou import,Henan
24.1,Chalco Zhongzhou Dom. Sinter,Henan
24.2,Chalco Zhongzhou Dom. Bayer,Henan
24.3,Chalco Zhongzhou LT Amt,Henan
25,Kaiman,Henan
26,East Hope Mianchi,Henan
27,Huiyuan Lushan,Henan
28,Jingxin,Henan
29,Shenhuo,Henan
30.1,Wanji,Henan
30.2,Wanji import,Henan
31,Weilai,Henan
32,Yifeng Gongyi (Yulian Xinya),Henan
33,Yima Yixiang,Henan
34,Zhongmei,Henan
35,Shaoxing,Henan
36,Zhongchao,Henan
37,Jialu Xianfeng,Hubei
38,Jinshi,Hubei
39,Huixiang,Hunan
40.1,Xinwang L-B,Inner Mongolia
40.2,Xinwang H-B,Inner Mongolia
41,Datang Tuoketuo Fly Ash,Inner Mongolia
42.1,Mengxi Fly Ash,Inner Mongolia
42.2,Mengxi import,Inner Mongolia
43.1,Qihui L-B,Inner Mongolia
43.2,Qihui H-B,Inner Mongolia
44,Jinjiang Lianyungang,Jiangsu
45,Gaizhou,Liaoning
46.1,Chalco Shandong L-B,Shandong
46.2,Chalco Shandong sinter,Shandong
46.3,Chalco Shandong sinter import,Shandong
47.1,Chiping Xinfa L-B,Shandong
47.2,Chiping Xinfa H-B,Shandong
48,Lubei,Shandong
49.1,Nanshan Donghai H-B,Shandong
49.2,Nanshan Donghai L-B,Shandong
50,Bochuang,Shandong
51,Nanhan,Shandong
52.1,Weiqiao - Binzhou L-B,Shandong
52.2,Weiqiao - Binzhou H-B,Shandong
53.1,Weiqiao-Wudi-Zhanhua L-B,Shandong
53.2,Weiqiao-Wudi-Zhanhua H-B,Shandong
54,Aokaida,Shanxi
55,Chalco Lvliang (Xing),Shanxi
56.1,Chalco Shanxi,Shanxi
56.2,Chalco Shanxi import,Henan
57.1,SPIC Shanxi,Shanxi
57.2,SPIC Shanxi import,Shanxi
58,Dongxu Tianyuan,Shanxi
59.1,East Hope Lingshi,Shanxi
59.2,East Hope Lingshi Added LT,Shanxi
60,Huaqing,Shanxi
61,Qiya Fenxi,Shanxi
62,Senze,Shanxi
63,Taixing,Shanxi
64,Tongde,Shanxi
65,Wusheng,Shanxi
66,Xinfa - Jiaokou,Shanxi
67,Xinfa - Xiaoyi,Shanxi
68,Xingan Chemical,Shanxi
69,Yangquan Zhaofeng,Shanxi
70,Gangyuan Jiaohua,Shanxi
71,Xinghua (Chalco Jiaokou),Shanxi
72,Tiantong,Shanxi
73,Fusheng,Shanxi
74,YMG - Wenshan,Yunnan
75,Shuijiang blending,Chongqing
76,Tiangui blending,Guangxi
77,Kaiman blending,Henan
78,East Hope Mianchi blending,Henan
79,Huiyuan Lushan blending,Henan
80,SPIC Shanxi blending,Shanxi
81,Chalco Lvliang (Xing) blending,Shanxi
82,spare,spare
