Field,Unit,Kamsar,Rusal Nunez,GAC Kamsar,Rusal Conakry,Rusal Conakry.1,Alufer Cap Verga,Dapilon,Dapilon.1,Dapilon.2,Dapilon.3,Ashapura,Katougouma,Katougouma.1,Katougouma.2,AGB2A Pongo,Dynamic,AMC,Chalco,Dapilon.4,Rundi Boffa,SPIC
Owner,,CBG,Rusal,GAC,Rusal,Rusal,Alufer,GDM,Henan Chine,AMR,SMB,Ashapura,SMB,SMB,SMB,AGB2A,Dynamic,AMC,Chalco,SMB,Rundi Kimbo,SPIC
Project / units,,CBG,Dian Dian,GAC,Kindia,Friguia,Bel Air,GDM,Henan Chine,AMR,Malapouya,Ashapura,Kaboye,Dabiss (S),Dabiss (N),3rd Party Mines,Dynamic,AMC,Boffa,Santou-Houda,Rundi Kimbo,SPIC
% continuous mining,,0,0,0,0,0,1,0,1,0.6,0.9,0,0,0,0,0,1,1,0,0.6,0,0
average worker wage,GNF/year,108036000,102634200,108036000,102634200,102634200,102634200,86428800,86428800,86428800,86428800,86428800,86428800,86428800,86428800,86428800,102634200,102634200,86428800,86428800,86428800,86428800
worker hours per year,hrs,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360,15360
cost of diesel,US$/litre,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
exchange rate,GNF:US$,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003,9003
labour shift markup,-,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
labour on costs and benefits etc,-,1.2,1.2,1.4,1.2,1.2,1.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
labour cost,US$/hr,1.249999999999997,1.187499999999997,1.4583333333333297,1.187499999999997,1.187499999999997,1.385416666666663,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974,1.187499999999997,1.187499999999997,0.9999999999999974,0.9999999999999974,0.9999999999999974,0.9999999999999974
overheads percenatge,-,0.15,0.05,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1
use hard cap ??,-,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Contract mining fee,US$/wmt,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
Contract explosives fee,,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0.5,1,1
Contract haulage fee,,0,0,0,0,0,1,0,0.5,0.5,0.5,1,0.5,0.5,0.5,1,0,0,1,0,0,1
Port costs,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contract barging and trans shipping fees,,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
T.Al2O3,%,0.49,0.49,0.466,0.4,0.391,0.47,0.45,0.46,0.44,0.44,0.45,0.42,0.44,0.46,0.45,0.42,0.49,0.45,0.46,0.43,0.43
Av.Al2O3 (LT),%,0.436,0.456,0.4069,0.35,0.368,0.405,0.416,0.425,0.405,0.405,0.415,0.385,0.405,0.425,0.415,0.381,0.458,0.421,0.425,0.395,0.395
T.SiO2,%,0.02,0.015,0.022,0.028,0.015,0.045,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.04,0.026,0.028,0.02,0.02,0.02,0.02
R.SiO2,%,0.019,0.014,0.0118,0.015,0.008,0.017,0.014,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.013,0.012,0.009,0.015,0.015,0.015
Monohydrate,%,0.035,0.02,0.0473,0.035,0.015,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.0167,0.02,0.02,0.02,0.02,0.02
overburden T'ness,m,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,0.5
ore T'ness,m,14,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
insitu density (wet),t/m^3,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
insitu moisture,%,0.1,0.1,0.0875,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
final moisture,,0.07,0.07,0.0875,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
strip ratio,-,28.0,14.0,14.0,14.0,14.0,7.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,4.666666666666667,14.0,14.0,14.0,14.0
overburden specific mass,wmt/plan_m^2,1.1,1.1,1.1,1.1,1.1,2.2,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,3.3000000000000003,1.1,1.1,1.1,1.1
ore specific specific mass,wmt/plan_m^2,30.800000000000004,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002
total tonnes specific mass,wmt/plan_m^2,31.900000000000006,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,17.6,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004,18.700000000000003,16.500000000000004,16.500000000000004,16.500000000000004,16.500000000000004
overburden switch,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hard cap factor,,0.14285714285714285,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
general efficiency,-,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,more efficient than average,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency,average efficiency
general efficiency factor,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
clear and grub difficulty,-,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,more difficult than average,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,average difficulty,more difficult than average,average difficulty,average difficulty,average difficulty,average difficulty
clear and grub difficulty factor,-,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0
tuning factor,%,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Include in costs ? (switch) =>,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Base Values,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/m^2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"labour (incl. mtce, camp, etc)",person_hours/m^2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
maintenance (parts & consumables only),US$/m^2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Values after efficiency factoring,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/m^2,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
"labour (incl. mtce, camp, etc)",person_hours/m^2,0.2,0.2,0.2,0.2,0.2,0.24,0.2,0.18000000000000002,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.24,0.2,0.2,0.2,0.2
maintenance (parts & consumables only),US$/m^2,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
Cost per plan_m^2,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/m^2,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
"labour (incl. mtce, camp, etc)",person_hours/m^2,0.2499999999999994,0.23749999999999938,0.29166666666666596,0.23749999999999938,0.23749999999999938,0.3324999999999991,0.1999999999999995,0.17999999999999955,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.23749999999999938,0.28499999999999925,0.1999999999999995,0.1999999999999995,0.1999999999999995,0.1999999999999995
maintenance (parts & consumables only),US$/m^2,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
wmt ore / plan_m^2,,30.800000000000004,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002,15.400000000000002
Cost per wmt of ore,,,,,,,,,,,,,,,,,,,,,,
diesel,US$/wmt,0.016233766233766232,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.03896103896103895,0.032467532467532464,0.029220779220779217,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.03896103896103895,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464
"labour (incl. mtce, camp, etc)",US$/wmt,0.008116883116883095,0.01542207792207788,0.01893939393939389,0.01542207792207788,0.01542207792207788,0.02159090909090903,0.012987012987012953,0.011688311688311658,0.012987012987012953,0.012987012987012953,0.012987012987012953,0.012987012987012953,0.012987012987012953,0.012987012987012953,0.012987012987012953,0.01542207792207788,0.018506493506493457,0.012987012987012953,0.012987012987012953,0.012987012987012953,0.012987012987012953
maintenance (parts & consumables only),US$/wmt,0.016233766233766232,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.03896103896103895,0.032467532467532464,0.029220779220779217,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.03896103896103895,0.032467532467532464,0.032467532467532464,0.032467532467532464,0.032467532467532464
explosives,US$/wmt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,US$/wmt,0.040584415584415556,0.08035714285714281,0.08387445887445882,0.08035714285714281,0.08035714285714281,0.09951298701298694,0.07792207792207788,0.0701298701298701,0.07792207792207788,0.07792207792207788,0.07792207792207788,0.07792207792207788,0.07792207792207788,0.07792207792207788,0.07792207792207788,0.08035714285714281,0.09642857142857136,0.07792207792207788,0.07792207792207788,0.07792207792207788,0.07792207792207788
Include in costs ? (switch) =>,,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
Base Values,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/wmt,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"labour (incl. mtce, camp, etc)",person_hours/wmt,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
maintenance (parts & consumables only),US$/wmt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
explosives,US$/wmt,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545
Values after efficiency factoring,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/wmt,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.225,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"labour (incl. mtce, camp, etc)",person_hours/wmt,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.045000000000000005,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
maintenance (parts & consumables only),US$/wmt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
explosives,US$/wmt,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.7159090909090905,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545
Cost per wmt,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/wmt,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.225,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
"labour (incl. mtce, camp, etc)",person_hours/wmt,0.06249999999999985,0.059374999999999845,0.07291666666666649,0.059374999999999845,0.059374999999999845,0.06927083333333316,0.04999999999999988,0.04499999999999989,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.059374999999999845,0.059374999999999845,0.04999999999999988,0.04999999999999988,0.04999999999999988,0.04999999999999988
maintenance (parts & consumables only),US$/wmt,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.45,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
explosives,US$/wmt,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.7159090909090905,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545,0.795454545454545
Cost per wmt of ore,,,,,,,,,,,,,,,,,,,,,,
diesel,US$/wmt,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.017857142857142856,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,0.0,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.017857142857142856
"labour (incl. mtce, camp, etc)",US$/wmt,0.002232142857142852,0.004241071428571417,0.00520833333333332,0.004241071428571417,0.004241071428571417,0.0,0.003571428571428562,0.0,0.003571428571428562,0.003571428571428562,0.003571428571428562,0.003571428571428562,0.003571428571428562,0.003571428571428562,0.003571428571428562,0.0,0.0,0.003571428571428562,0.003571428571428562,0.003571428571428562,0.003571428571428562
maintenance (parts & consumables only),US$/wmt,0.017857142857142856,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
explosives,US$/wmt,0.02840909090909089,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.0,0.05681818181818178,0.0,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.0,0.0,0.05681818181818178,0.05681818181818178,0.05681818181818178,0.05681818181818178
TOTAL,US$/wmt,0.05742694805194803,0.11463068181818177,0.11559794372294367,0.11463068181818177,0.11463068181818177,0.0,0.11396103896103892,0.0,0.11396103896103892,0.11396103896103892,0.11396103896103892,0.11396103896103892,0.11396103896103892,0.11396103896103892,0.11396103896103892,0.0,0.0,0.11396103896103892,0.11396103896103892,0.11396103896103892,0.11396103896103892
Include in costs ? (switch) =>,,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
insitu  tph,tph,200,200,200,150,150,100,100,200,100,100,100,100,100,100,100,100,200,100,100,100,100
Base Values,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/wmt,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
"labour (incl. mtce, camp, etc)",person_hours/wmt,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
maintenance (parts & consumables only),US$/wmt,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Values after efficiency factoring,,,,,,,,,,,,,,,,,,,,,,
diesel,litres/wmt,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.0675,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
"labour (incl. mtce, camp, etc)",person_hours/wmt,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.00675,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075
maintenance (parts & consumables only),US$/wmt,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.225,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Cost per wmt,,,,,,,,,,,,,,,,,,,,,,
diesel,US$/wmt,0.075,0.075,0.075,0.09999999999999999,0.09999999999999999,0.15,0.15,0.0675,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.075,0.15,0.15,0.15,0.15
"labour (incl. mtce, camp, etc)",US$/wmt,0.009374999999999977,0.008906249999999977,0.010937499999999972,0.011874999999999969,0.011874999999999969,0.020781249999999942,0.014999999999999961,0.006749999999999983,0.014999999999999961,0.014999999999999961,0.014999999999999961,0.014999999999999961,0.014999999999999961,0.014999999999999961,0.014999999999999961,0.017812499999999953,0.008906249999999977,0.014999999999999961,0.014999999999999961,0.014999999999999961,0.014999999999999961
maintenance (parts & consumables only),US$/wmt,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.225,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5
Cost per wmt of ore,,,,,,,,,,,,,,,,,,,,,,
diesel,US$/wmt,0.002678571428571428,0.005357142857142856,0.005357142857142856,0.007142857142857142,0.007142857142857142,0.0,0.010714285714285713,0.0,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.0,0.0,0.010714285714285713,0.010714285714285713,0.010714285714285713,0.010714285714285713
"labour (incl. mtce, camp, etc)",US$/wmt,0.00033482142857142776,0.0006361607142857126,0.0007812499999999979,0.0008482142857142834,0.0008482142857142834,0.0,0.0010714285714285687,0.0,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0,0.0,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687,0.0010714285714285687
maintenance (parts & consumables only),US$/wmt,0.008928571428571428,0.017857142857142856,0.017857142857142856,0.023809523809523808,0.023809523809523808,0.0,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
