Name for Lookup,Name in CBIX Machine,2015-12-30 00:00:00,2016-12-30 00:00:00,2017-12-30 00:00:00,2018-12-30 00:00:00,2019-12-30 00:00:00,2020-12-30 00:00:00,2021-12-30 00:00:00,2022-12-30 00:00:00,2023-12-30 00:00:00,2024-12-30 00:00:00,2025-12-30 00:00:00,2026-12-30 00:00:00,2027-12-30 00:00:00,2028-12-30 00:00:00,2029-12-30 00:00:00,2030-12-30 00:00:00
Chalco Boffa,Chalco Boffa,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Alufer (Bel Air),Alufer (Bel Air),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Weipa,Weipa,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Gove,Gove,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AMR,AMR,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Gujarat & Maharashtra,Gujarat & Maharashtra,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
West Kalimantan,West Kalimantan,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Henan-Chine,Henan-Chine,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Kuantan & Johor,Kuantan,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dom. Rep.,Dom. Rep.,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Discovery Bay,Discovery Bay,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Awaso,Awaso,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
CBG,CBG,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AMC,AMC,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
GAC,GAC,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Solomon Islands,Solomon Islands,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Metallica,Metallica,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Aurukun,Aurukun,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Metro LT,Metro LT,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MRN,MRN,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Juruti,Juruti,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Mirai,Mirai,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Metro BH1,Metro BH1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Amrun,Amrun,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rondon do Para,Rondon do Para,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Huntly,Huntly,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Vietnam Others,Vietnam Others,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SMB Malapouya,SMB Malapouya,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Rundi,Rundi,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Metro Blend,Metro Blend,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dabiss N,Dabiss N,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Amrun HT,Amrun HT,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Metro BH1 Xinfa,Metro BH1 Xinfa,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dian Dian,Dian Dian,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dynamic,Dynamic,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SMB Santou-Houda,SMB Santou-Houda,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
GDM,GDM,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ashapura Guinea,Ashapura Guinea,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SMB Kaboye,SMB Kaboye,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SMB Dabiss S,SMB Dabiss S,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SMB SH no rail capital,SMB SH no rail capital,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
AGB2A,AGB2A,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
SPIC,SPIC,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Mokanji,Mokanji,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
0,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
