Name for Lookup,Name in CBIX Machine,2015-12-30 00:00:00,2016-12-30 00:00:00,2017-12-30 00:00:00,2018-12-30 00:00:00,2019-12-30 00:00:00,2020-12-30 00:00:00,2021-12-30 00:00:00,2022-12-30 00:00:00,2023-12-30 00:00:00,2024-12-30 00:00:00,2025-12-30 00:00:00,2026-12-30 00:00:00,2027-12-30 00:00:00,2028-12-30 00:00:00,2029-12-30 00:00:00,2030-12-30 00:00:00
Chalco Boffa,Chalco Boffa,60.369319635403535,48.713744697157935,55.69543964602494,54.48037234621086,54.18209058914168,49.83417291670426,52.7359115212917,53.7516797997658,53.88143069325423,55.52573599986371,53.68494171883209,53.51328687918362,53.68494171883209,53.949118258964205,53.949118258964205,51.258177616322484
Alufer (Bel Air),Alufer (Bel Air),61.331068890393354,49.19884737560153,55.66079425430435,54.71358361769031,54.68505869392162,50.49363419054542,53.43243482611589,54.481889297498576,54.615943154291465,56.3147789940283,54.412937963880836,54.23559048924402,54.412937963880836,54.685875460701,54.685875460701,51.90569443960432
Weipa,Weipa,49.41844532827316,35.941578361218106,35.68796494928265,37.22933397143721,36.88533830482119,35.72747352638462,38.146939734840686,39.20753656233929,41.927024796160346,43.777916930194614,41.70584938808951,41.5126282197352,41.70584938808951,42.00321647567444,42.00321647567444,38.97419209157837
Gove,Gove,58.077373282997414,44.90539931194165,47.752124646125864,48.36407599407134,49.82565489561259,47.01340977667462,49.78670144892229,50.887980832472024,51.654469505247114,53.53787022633808,51.429409429952365,51.23279457535501,51.429409429952365,51.73199939556287,51.73199939556287,48.64977401661865
AMR,AMR,61.85491802813508,49.75810851690332,56.545414672721336,55.46565316912707,55.312895240353775,50.98991990483114,53.95443482611589,55.00388929749859,55.13794315429147,56.836778994028315,54.93493796388085,54.75759048924403,54.93493796388085,55.20787546070101,55.20787546070101,52.42769443960433
Gujarat & Maharashtra,Gujarat & Maharashtra,51.032746695477876,38.271962117495,38.95878182740325,40.364349079687834,42.540959994751105,40.68456276197398,43.16693482611588,44.21638929749857,44.350443154291455,46.0492789940283,44.14743796388083,43.970090489244015,44.14743796388083,44.420375460700996,44.420375460700996,41.640194439604315
West Kalimantan,West Kalimantan,61.622036381520815,48.0376476052027,51.54855928106803,51.95466687251352,53.244906216114316,50.102205751985835,53.01815141602712,54.158299483702145,54.303938241699356,56.14958705524061,54.08338939285818,53.89071559325275,54.08338939285818,54.379914080761566,54.379914080761566,51.35947050228617
Henan-Chine,Henan-Chine,65.3493366425106,52.65542471951564,59.894500294754884,58.7170149384676,58.50144827244652,53.913266919531765,57.0337014489223,58.13498083247204,58.27565463281025,60.05838360043533,58.06262449472503,57.876519120106146,58.06262449472503,58.34904038644989,58.34904038644989,55.43156647542251
Kuantan & Johor,Kuantan,51.22961015133173,39.718599226594236,42.98135757852253,43.208001940044625,44.89642315232134,42.2459320851927,44.795058196730395,45.8004614927711,45.92888839755046,47.55641507858229,45.73440441266324,45.56450115301118,45.73440441266324,45.99588527381441,45.99588527381441,43.33240320915883
Aurum Xinfa-Fiji,Aurum Xinfa-Fiji,49.62758942196681,38.370864698660846,41.00103924448453,41.4422341160784,42.65742371184681,40.18036873257267,42.57590158050302,43.52170622755162,43.64252019725385,45.17356978121421,43.459564902192426,43.29973322751974,43.459564902192426,43.705545609203185,43.705545609203185,41.19995036796791
Dom. Rep.,Dom. Rep.,52.57749501508995,40.33450477223033,43.85241298506401,43.767076381694366,44.799643020253406,41.96096086533572,44.67806753029825,45.72363513326842,47.90112801318054,49.662883698833554,47.690604112013965,47.5066882123906,47.690604112013965,47.973650405012656,47.973650405012656,45.09049971646795
Discovery Bay,Discovery Bay,69.83451220824334,55.995560462292296,64.80379477132668,62.80108169053479,62.177608000628496,56.945401902051124,60.49302503359354,61.714926900212085,65.13620166124355,67.13915008957525,64.8968560355125,64.68776117344069,64.8968560355125,65.2186527138622,65.2186527138622,61.940784966766714
Awaso,Awaso,76.27017894847069,61.3978785754044,69.40474892582996,68.21660725256757,68.09179251869082,62.90426718526977,66.50613462874479,67.78880120487918,67.95264480762604,70.02899972285996,67.70452735267972,67.48776932812362,67.70452735267972,68.03811762657104,68.03811762657104,64.64011860078621
CBG,CBG,66.02160024927295,52.92845799268811,59.765288194378655,58.79915645307061,58.79751099157248,54.32656799338493,57.48132973580507,58.61111282104668,58.755427590334826,60.584297778298435,58.536883731028574,58.34596151141955,58.536883731028574,58.83071273995102,58.83071273995102,55.83772773946174
AMC,AMC,71.90090106284282,58.274888165778684,66.74742219873572,65.20986618503463,64.70431559504779,59.481218065216424,62.897491376552914,64.08428186517827,64.23587857236627,66.15703120100696,64.00630727061797,63.805751361028676,64.00630727061797,64.31496251393558,64.31496251393558,61.17095533452255
GAC,GAC,64.43134603380415,52.17537256587725,59.87544486297291,58.458354367595994,56.62034625269398,52.061695014084805,55.08216515528247,56.13654299332102,56.271225744750716,57.978031431636936,56.067268184311004,55.889088709175894,56.067268184311004,56.34148612864711,56.34148612864711,53.54826228300703
Solomon Islands,Solomon Islands,67.30095928127842,53.65920496324382,62.789688133388836,60.63793232604698,59.86424165036422,54.52074204424572,58.06304730961501,59.271785648543116,62.040452284121734,64.00984346129815,61.80511663746053,61.59952493538155,61.80511663746053,62.12152195784835,62.12152195784835,58.89857136672517
Metallica,Metallica,39.38976140203904,26.412828566127413,20.660334765559988,24.624523663243203,29.177609975078862,29.98669535809133,31.869984859011037,32.880570646268446,33.009659545402336,34.645575539222996,32.81417306574766,32.64339401609739,32.81417306574766,33.0770017663893,33.0770017663893,30.399790412740643
Aurukun,Aurukun,40.25922046757964,27.56780049286787,24.385263542588486,26.99891426155157,30.542864973409216,30.446252000295985,32.580468323406265,33.603232965022926,37.767454775634505,39.602616948189734,37.54815904525266,37.35657998314498,37.54815904525266,37.84299893379296,37.84299893379296,34.83971696655889
Metro LT,Metro LT,51.98316088207687,39.13817387904226,39.723791734642326,41.180364552843,43.40803984207322,41.58321322662022,44.07120075369077,45.1265241754844,45.26132771266778,46.96966409156246,45.05718723966208,44.878847970180864,45.05718723966208,45.33165110725659,45.33165110725659,42.53592225155518
MRN,MRN,70.79566938029315,55.331443359785304,59.38426510112634,59.82857830194325,61.24097394631226,53.68843043159462,56.80131797304319,58.07102832113583,58.23321693799635,60.28859857125821,57.987605719968684,57.77303717040809,57.987605719968684,58.31782639513382,58.31782639513382,54.95415059183167
Juruti,Juruti,67.47534438780714,52.82832038912341,56.967148910418295,57.26851519314109,58.510955749060585,54.96992017056912,58.14586800593838,59.376709669905736,59.53393332910727,61.526395116452946,59.29584082183555,59.087840697261505,59.29584082183555,59.61595270082216,59.61595270082216,56.35524656496802
Mirai,Mirai,62.494072763041615,49.38529521040541,54.297118562136056,54.08933374502705,54.78981243222865,51.12196081606408,54.088518104623915,55.20275371621541,55.34508250243996,57.148784752037095,55.12954612743608,54.941251277821685,55.12954612743608,55.419331617887124,55.419331617887124,52.467534484377076
Metro BH1,Metro BH1,51.123877446665624,38.37393220106514,39.27011689127868,40.59198512069785,42.69068142990967,40.74810670887632,43.249248076077805,44.299660653963855,44.433836896125044,46.13422369944399,44.2306463707633,44.0531369855592,44.2306463707633,44.50383304770309,44.50383304770309,41.72111384168322
Amrun,Amrun,49.41844532827316,35.941578361218106,35.68796494928265,37.22933397143721,39.83999084618786,38.42973393394242,41.005119750504264,42.11754149016992,44.97139823896486,46.90618350088737,44.74019788321942,44.53821881488305,44.74019788321942,45.051043365709056,45.051043365709056,41.88472609168228
Rondon do Para,Rondon do Para,59.78730978176633,46.57888845428617,49.98141811705635,50.37988458662756,51.64569267007473,48.59634040030829,51.431591442343255,52.54064456271805,52.682311354588066,54.47762429139638,52.46777747435165,52.28035841473546,52.46777747435165,52.75621512531222,52.75621512531222,49.81814728079524
Huntly,Huntly,49.59854649971022,39.81169503971057,45.55558442692935,44.577185636973574,44.411494462870195,40.819940028275106,43.25118499059178,44.10629604134805,44.215525109845956,45.5997617200019,44.05011347321508,43.905608123511,44.05011347321508,44.27250698914262,44.27250698914262,42.00717430528606
Vietnam Others,Vietnam Others,70.96535837547758,55.63712041037806,62.07132404813056,61.17061974773139,61.65992588434889,57.24334741357739,60.83708228479996,62.15892590328704,62.32777385235699,64.46754777761802,62.072078038216056,61.8486994791685,62.072078038216056,62.415857304735574,62.415857304735574,58.91407171880765
SMB Malapouya,SMB Malapouya,61.85491802813507,49.75810851690331,56.54541467272132,55.46565316912706,55.31289524035377,50.98991990483113,53.954434826115886,55.003889297498574,55.13794315429146,56.8367789940283,54.934937963880834,54.75759048924402,54.934937963880834,55.207875460701004,55.207875460701004,52.42769443960432
Rundi,Rundi,61.85491802813508,49.75810851690332,56.545414672721336,55.46565316912707,55.312895240353775,50.98991990483114,53.95443482611589,55.00388929749859,55.13794315429147,56.836778994028315,54.93493796388085,54.75759048924403,54.93493796388085,55.20787546070101,55.20787546070101,52.42769443960433
Metro Blend,Metro Blend,46.79140334661206,33.9429825654419,32.547980259771954,35.401941852036614,41.40942249968063,39.70586362951857,41.820267633061476,42.400724277477444,41.999526707560214,43.200857787291476,40.804243123347675,40.159287776270986,39.8813495866946,39.70794316505246,39.27430771287595,36.13100866643757
Dabiss N,Dabiss N,65.3493366425106,52.65542471951564,59.894500294754884,58.7170149384676,58.50144827244652,53.913266919531765,57.0337014489223,58.13498083247204,58.27565463281025,60.05838360043533,58.06262449472503,57.876519120106146,58.06262449472503,58.34904038644989,58.34904038644989,55.43156647542251
Amrun HT,Amrun HT,49.41844532827316,35.941578361218106,35.68796494928265,37.22933397143721,39.83999084618786,38.42973393394242,41.005119750504264,42.11754149016992,44.97139823896486,46.90618350088737,44.74019788321942,44.53821881488305,44.74019788321942,45.051043365709056,45.051043365709056,41.88472609168228
Metro BH1 Xinfa,Metro BH1 Xinfa,51.123877446665624,38.37393220106514,39.27011689127868,40.59198512069785,42.69068142990967,40.74810670887632,43.249248076077805,44.299660653963855,44.433836896125044,46.13422369944399,44.2306463707633,44.0531369855592,44.2306463707633,44.50383304770309,44.50383304770309,41.72111384168322
Dian Dian,Dian Dian,71.02761006366354,57.425895404215666,65.52789321811541,64.13266045666381,63.757623745406384,58.692597649460645,62.06756471427227,63.249172711680934,63.4001074245144,65.31287074036625,63.17153861753355,62.97185849794247,63.17153861753355,63.4788460213607,63.4788460213607,60.34856813094072
Dynamic,Dynamic,58.18546482862612,46.84059021507026,53.41113234469799,52.316088597355176,52.89679531631816,48.57645042216959,51.410351547607846,52.395024878781726,52.52080380614295,54.114773236019495,52.33032980032557,52.16392970066634,52.33032980032557,52.586419303514866,52.586419303514866,49.97785439483156
SMB Santou-Houda,SMB Santou-Houda,65.3493366425106,52.65542471951564,59.894500294754884,58.7170149384676,58.50144827244652,53.913266919531765,57.0337014489223,58.13498083247204,58.27565463281025,60.05838360043533,58.06262449472503,57.876519120106146,58.06262449472503,58.34904038644989,58.34904038644989,55.43156647542251
GDM,GDM,64.03877283491248,51.63126299899099,58.82972197404827,57.62993691798275,57.38051768122086,52.84590362005936,55.90903146865942,56.98698964173399,57.124684467476804,58.869661527552175,56.916165555845154,56.7340012362182,56.916165555845154,57.1965161698629,57.1965161698629,54.34082405930433
Ashapura Guinea,Ashapura Guinea,63.602127335322834,51.20676661820948,58.21995748373809,57.091334053797326,56.90717175640014,52.451593412181445,55.49406813751909,56.569435064985306,56.706798893550854,58.447581297231814,56.49878122930293,56.31705480467508,56.49878122930293,56.778457923575445,56.778457923575445,53.92963045751341
