Name,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,,1,
Alufer (Bel Air),1,,
Weipa,1,,
Gove,1,,
AMR,1,,
Gujarat & Maharashtra,1,,
West Kalimantan,1,,
Henan-Chine,1,,
Kuantan & Johor,1,,
Aurum Xinfa-Fiji,,1,
Dom. Rep.,1,,
Discovery Bay,1,,
Awaso,,1,
CBG,1,,
AMC,1,,
GAC,1,,
Solomon Islands,1,,
Metallica,1,,
Aurukun,1,,
Metro LT,1,,
MRN,1,,
Juruti,1,,
Mirai,1,,
Metro BH1,1,,
Amrun,1,,
Rondon do Para,1,,
Huntly,1,,
Vietnam,1,,
SMB Malapouya-Boké,1,,
Rundi,1,,
Metro Blend,1,,
Dabiss N,1,,
Amrun,1,,
Metro BH1 Xinfa,,,1
Dian Dian,1,,
Dynamic,1,,
Other,1,,
GDM,1,,
Ashapura Guinea,1,,
SMB Kaboye,1,,
SMB Dabiss S,1,,
Weiqiao Self Supply,1,,
AGB2A,1,,
Mokanji,1,,
SMB Santou-Houda,1,,
SPIC,,1,
Henan-Chine,,1,
SMB Malapouya-Boké,,1,
AMR,,1,
GDM,,1,
Ashapura Guinea,,1,
SMB Kaboye,,1,
SMB Dabiss S,,1,
SMB Santou-Houda,,1,
