Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,34.8,0,,0
Alufer (Bel Air),9.269999999999996,,0,0
Weipa,17.200000000000006,,0,0
Gove,7.599999999999999,,0,0
AMR,0.0,,0,0
Gujarat & Maharashtra,0.0,,0,0
West Kalimantan,0.0,,0,0
Henan-Chine,10.000000000000009,,0,0
Kuantan & Johor,0.0,,0,0
Aurum Xinfa-Fiji,0.0,0,,0
Dom. Rep.,0.0,,0,0
Discovery Bay,0.0,,0,0
Awaso,0.3000000000000066,0,,0
CBG,10.499999999999996,,0,0
AMC,10.0,,0,0
GAC,3.0,,0,0
Solomon Islands,1.5999999999999972,,0,0
Metallica,0.0,,0,0
Aurukun,0.0,,0,0
Metro LT,0.0,,0,0
MRN,0.0,,0,0
Juruti,1.8000000000000016,,0,0
Mirai,0.0,,0,0
Metro BH1,0.0,,0,0
Amrun,0.0,,0,0
Rondon do Para,0.0,,0,0
Huntly,7.000000000000003,,0,0
Vietnam,1.000000000000001,,0,0
SMB Malapouya-Boké,0.0,,0,0
Rundi,0.0,,0,0
Metro Blend,5.3999999999999915,,0,0
Dabiss N,0.0,,0,0
Amrun,10.879999999999995,,0,0
Metro BH1 Xinfa,0.0,0,0,
Dian Dian,3.0000000000000027,,0,0
Dynamic,9.000000000000009,,0,0
Other,0.500000000000001,0.0,0,0
GDM,2.0000000000000075,,0,0
Ashapura Guinea,0.0,,0,0
SMB Kaboye,0.0,,0,0
SMB Dabiss S,0.0,,0,0
Weiqiao Self Supply,0.0,0.0,0,0
AGB2A,9.000000000000018,,0,0
Mokanji,0.0,,0,0
SMB Santou-Houda,1.2040864726907257,,0,0
SPIC,7.500000000000003,0,,0
Henan-Chine,0.0,0,,0
SMB Malapouya-Boké,0.0,0,,0
AMR,0.0,0,,0
GDM,0.0,0,,0
Ashapura Guinea,0.0,0,,0
SMB Kaboye,0.0,0,,0
SMB Dabiss S,0.0,0,,0
SMB Santou-Houda,34.552565541142684,0,,0
