Name,tonnes,3rd Party Market,Integrated,Forward sold or HT 3rd Party Market
Chalco Boffa,34.8,0,36.44206490596381,0
Alufer (Bel Air),9.269999999999996,40.5044669935476,0,0
Weipa,17.200000000000006,34.38857593864615,0,0
Gove,7.599999999999999,22.236105355877047,0,0
AMR,0.0,47.89413599940573,0,0
Gujarat & Maharashtra,0.0,48.21566605298207,0,0
West Kalimantan,0.0,35.68743726771209,0,0
Henan-Chine,10.000000000000009,39.849925148782894,0,0
Kuantan & Johor,0.0,50.849593137733905,0,0
Aurum Xinfa-Fiji,0.0,0,45.34841652561251,0
Dom. Rep.,0.0,60.347985372273044,0,0
Discovery Bay,0.0,48.03652718971257,0,0
Awaso,0.3000000000000066,0,45.45092991120718,0
CBG,10.499999999999996,39.57674378468371,0,0
AMC,10.0,40.928449069939816,0,0
GAC,3.0,38.20051104302001,0,0
Solomon Islands,1.5999999999999972,34.31570300341437,0,0
Metallica,0.0,56.50660787304866,0,0
Aurukun,0.0,52.04172041824558,0,0
Metro LT,0.0,33.68618789864737,0,0
MRN,0.0,44.99761042735992,0,0
Juruti,1.8000000000000016,40.36777875913121,0,0
Mirai,0.0,67.252320635429,0,0
Metro BH1,0.0,34.51325979070453,0,0
Amrun,0.0,46.4625708591617,0,0
Rondon do Para,0.0,77.78158023269553,0,0
Huntly,7.000000000000003,36.694614090146665,0,0
Vietnam,1.000000000000001,23.810554279477607,0,0
SMB Malapouya-Boké,0.0,44.082164642762926,0,0
Rundi,0.0,48.491360494214575,0,0
Metro Blend,5.3999999999999915,40.496866931819866,0,0
Dabiss N,0.0,49.485631056541976,0,0
Amrun,10.879999999999995,46.4625708591617,0,0
Metro BH1 Xinfa,0.0,0,0,34.51325979070453
Dian Dian,3.0000000000000027,31.898102180414902,0,0
Dynamic,9.000000000000009,38.94911457328557,0,0
Other,0.500000000000001,44.2613573078407,0,0
GDM,2.0000000000000075,44.86710120944581,0,0
Ashapura Guinea,0.0,51.7429738707821,0,0
SMB Kaboye,0.0,48.96153715124012,0,0
SMB Dabiss S,0.0,50.20735629192854,0,0
Weiqiao Self Supply,0.0,0.0,0,0
AGB2A,9.000000000000018,42.588191468191326,0,0
Mokanji,0.0,55.66335121040056,0,0
SMB Santou-Houda,1.2040864726907257,45.68309683654115,0,0
SPIC,7.500000000000003,0,51.01900101299266,0
Henan-Chine,0.0,0,39.849925148782894,0
SMB Malapouya-Boké,0.0,0,44.082164642762926,0
AMR,0.0,0,47.89413599940573,0
GDM,0.0,0,44.86710120944581,0
Ashapura Guinea,0.0,0,51.7429738707821,0
SMB Kaboye,0.0,0,48.96153715124012,0
SMB Dabiss S,0.0,0,50.20735629192854,0
SMB Santou-Houda,34.552565541142684,0,45.68309683654115,0
