Project,Country,2015-12-30 00:00:00,2016-12-30 00:00:00,2017-12-30 00:00:00,2018-12-30 00:00:00,2019-12-30 00:00:00,2020-12-30 00:00:00,2021-12-30 00:00:00,2022-12-30 00:00:00,2023-12-30 00:00:00,2024-12-30 00:00:00,2025-12-30 00:00:00,2026-12-30 00:00:00,2027-12-30 00:00:00,2028-12-30 00:00:00,2029-12-30 00:00:00,2030-12-30 00:00:00
Chalco Boffa,Guinea,60.369319635403535,48.713744697157935,55.69543964602493,54.480372346210864,54.18209058914169,49.834172916704254,52.735911521291705,53.751679799765796,53.881430693254224,55.52573599986371,53.68494171883209,53.51328687918362,53.68494171883209,53.94911825896421,53.94911825896421,51.25817761632248
Alufer (Bel Air),Guinea,61.33106889039336,49.19884737560153,55.66079425430435,54.71358361769032,54.68505869392161,50.49363419054543,53.432434826115895,54.481889297498576,54.61594315429146,56.3147789940283,54.41293796388084,54.235590489244025,54.41293796388084,54.685875460701,54.685875460701,51.90569443960432
Weipa,Australia,49.41844532827315,35.9415783612181,35.687964949282645,37.229333971437214,36.88533830482119,35.727473526384614,38.146939734840686,39.207536562339286,41.927024796160346,43.77791693019461,41.70584938808951,41.512628219735205,41.70584938808951,42.003216475674435,42.003216475674435,38.97419209157837
Gove,Australia,58.07737328299741,44.90539931194165,47.75212464612586,48.36407599407134,49.825654895612594,47.013409776674614,49.786701448922294,50.88798083247202,51.654469505247114,53.53787022633808,51.429409429952365,51.23279457535501,51.429409429952365,51.731999395562866,51.731999395562866,48.64977401661865
AMR,Guinea,61.85491802813508,49.75810851690333,56.54541467272135,55.46565316912707,55.31289524035378,50.98991990483114,53.95443482611589,55.003889297498596,55.13794315429147,56.83677899402832,54.934937963880856,54.75759048924403,54.934937963880856,55.20787546070101,55.20787546070101,52.42769443960433
Gujarat & Maharashtra,India,51.03274669547788,38.271962117495,38.95878182740325,40.36434907968784,42.54095999475111,40.68456276197398,43.166934826115885,44.21638929749857,44.35044315429145,46.0492789940283,44.147437963880826,43.970090489244015,44.147437963880826,44.420375460700996,44.420375460700996,41.64019443960432
West Kalimantan,Indonesia,61.62203638152082,48.0376476052027,51.54855928106803,51.95466687251352,53.24490621611432,50.10220575198584,53.018151416027116,54.158299483702145,54.30393824169936,56.14958705524061,54.08338939285818,53.89071559325276,54.08338939285818,54.379914080761566,54.379914080761566,51.359470502286165
Henan-Chine,Guinea,65.34933664251061,52.655424719515636,59.894500294754884,58.7170149384676,58.50144827244653,53.91326691953177,57.0337014489223,58.13498083247204,58.27565463281025,60.05838360043532,58.06262449472503,57.876519120106146,58.06262449472503,58.34904038644989,58.34904038644989,55.43156647542251
Kuantan & Johor,Malaysia,51.22961015133173,39.71859922659424,42.98135757852253,43.20800194004463,44.89642315232135,42.245932085192706,44.795058196730395,45.8004614927711,45.92888839755046,47.55641507858229,45.73440441266324,45.56450115301118,45.73440441266324,45.9958852738144,45.9958852738144,43.332403209158834
Aurum Xinfa-Fiji,Fiji,49.62758942196681,38.37086469866085,41.00103924448453,41.4422341160784,42.65742371184682,40.18036873257267,42.57590158050302,43.52170622755161,43.642520197253845,45.17356978121421,43.45956490219242,43.29973322751974,43.45956490219242,43.705545609203185,43.705545609203185,41.19995036796791
Dom. Rep.,Dominican Republic,52.57749501508995,40.33450477223033,43.852412985064014,43.767076381694366,44.79964302025341,41.960960865335714,44.67806753029825,45.723635133268424,47.90112801318054,49.662883698833554,47.69060411201397,47.50668821239061,47.69060411201397,47.973650405012656,47.973650405012656,45.09049971646795
Discovery Bay,Jamaica,69.83451220824334,55.995560462292296,64.80379477132668,62.801081690534794,62.1776080006285,56.94540190205112,60.49302503359354,61.7149269002121,65.13620166124355,67.13915008957525,64.8968560355125,64.68776117344069,64.8968560355125,65.2186527138622,65.2186527138622,61.94078496676672
Awaso,Ghana,76.27017894847069,61.3978785754044,69.40474892582996,68.21660725256757,68.09179251869082,62.904267185269774,66.50613462874479,67.78880120487918,67.95264480762604,70.02899972285996,67.70452735267972,67.48776932812362,67.70452735267972,68.03811762657104,68.03811762657104,64.64011860078621
CBG,Guinea,66.02160024927295,52.92845799268811,59.765288194378655,58.79915645307061,58.79751099157247,54.326567993384934,57.481329735805076,58.611112821046675,58.75542759033482,60.584297778298435,58.536883731028574,58.345961511419546,58.536883731028574,58.83071273995102,58.83071273995102,55.83772773946175
AMC,Guinea,71.9009010628428,58.274888165778684,66.74742219873572,65.20986618503464,64.70431559504779,59.48121806521642,62.89749137655291,64.08428186517827,64.23587857236627,66.15703120100696,64.00630727061797,63.80575136102868,64.00630727061797,64.31496251393557,64.31496251393557,61.170955334522546
GAC,Guinea,64.43134603380415,52.17537256587725,59.875444862972905,58.458354367595994,56.62034625269398,52.06169501408482,55.08216515528247,56.13654299332103,56.271225744750716,57.978031431636936,56.06726818431101,55.889088709175894,56.06726818431101,56.341486128647105,56.341486128647105,53.54826228300703
Solomon Islands,Solomon Islands,67.30095928127842,53.659204963243816,62.78968813338884,60.63793232604697,59.86424165036422,54.52074204424572,58.06304730961501,59.27178564854312,62.04045228412172,64.00984346129815,61.80511663746053,61.599524935381545,61.80511663746053,62.12152195784835,62.12152195784835,58.89857136672517
Metallica,Australia,39.389761402039035,26.41282856612741,20.660334765559988,24.624523663243203,29.177609975078862,29.986695358091325,31.86998485901104,32.880570646268446,33.009659545402336,34.645575539222996,32.81417306574766,32.64339401609739,32.81417306574766,33.0770017663893,33.0770017663893,30.399790412740646
Aurukun,Australia,40.25922046757964,27.56780049286787,24.385263542588486,26.998914261551572,30.542864973409213,30.44625200029598,32.580468323406265,33.60323296502293,37.767454775634505,39.60261694818973,37.54815904525266,37.356579983144975,37.54815904525266,37.84299893379296,37.84299893379296,34.83971696655889
Metro LT,Australia,51.98316088207687,39.138173879042256,39.723791734642326,41.180364552842995,43.40803984207322,41.58321322662022,44.071200753690775,45.1265241754844,45.26132771266778,46.969664091562464,45.05718723966208,44.878847970180864,45.05718723966208,45.33165110725659,45.33165110725659,42.53592225155518
MRN,Brazil,70.79566938029316,55.3314433597853,59.384265101126346,59.82857830194325,61.24097394631226,53.68843043159462,56.80131797304318,58.07102832113583,58.233216937996346,60.28859857125821,57.98760571996869,57.773037170408095,57.98760571996869,58.31782639513382,58.31782639513382,54.95415059183168
Juruti,Brazil,67.47534438780714,52.8283203891234,56.9671489104183,57.2685151931411,58.51095574906057,54.96992017056912,58.14586800593839,59.376709669905736,59.53393332910728,61.52639511645295,59.29584082183555,59.087840697261505,59.29584082183555,59.615952700822156,59.615952700822156,56.35524656496802
Mirai,Brazil,62.49407276304162,49.38529521040541,54.297118562136056,54.08933374502705,54.78981243222865,51.12196081606408,54.088518104623915,55.20275371621541,55.34508250243996,57.14878475203711,55.12954612743607,54.941251277821685,55.12954612743607,55.41933161788712,55.41933161788712,52.467534484377076
Metro BH1,Australia,51.123877446665624,38.37393220106514,39.27011689127868,40.59198512069785,42.690681429909674,40.74810670887632,43.24924807607781,44.299660653963855,44.43383689612504,46.134223699443986,44.230646370763296,44.053136985559206,44.230646370763296,44.5038330477031,44.5038330477031,41.72111384168322
Amrun,Australia,49.41844532827315,35.9415783612181,35.687964949282645,37.229333971437214,39.83999084618786,38.42973393394242,41.00511975050426,42.11754149016992,44.971398238964866,46.906183500887366,44.74019788321942,44.53821881488305,44.74019788321942,45.05104336570906,45.05104336570906,41.88472609168228
Rondon do Para,Brazil,59.78730978176633,46.57888845428617,49.98141811705635,50.37988458662756,51.64569267007473,48.596340400308286,51.431591442343255,52.54064456271805,52.68231135458807,54.47762429139638,52.46777747435164,52.28035841473546,52.46777747435164,52.756215125312224,52.756215125312224,49.81814728079524
Huntly,Australia,49.59854649971022,39.81169503971057,45.55558442692935,44.577185636973574,44.41149446287021,40.819940028275106,43.25118499059178,44.106296041348045,44.21552510984596,45.5997617200019,44.05011347321508,43.905608123511,44.05011347321508,44.27250698914262,44.27250698914262,42.007174305286064
Vietnam Others,Vietnam,70.96535837547758,55.63712041037807,62.07132404813056,61.17061974773139,61.65992588434889,57.243347413577396,60.837082284799955,62.15892590328704,62.327773852357,64.46754777761802,62.07207803821607,61.8486994791685,62.07207803821607,62.415857304735574,62.415857304735574,58.91407171880765
SMB Malapouya,Guinea,61.854918028135074,49.75810851690331,56.54541467272132,55.465653169127066,55.312895240353775,50.98991990483113,53.95443482611589,55.00388929749858,55.137943154291456,56.8367789940283,54.93493796388083,54.75759048924402,54.93493796388083,55.20787546070101,55.20787546070101,52.42769443960432
Rundi,Guinea,61.85491802813508,49.75810851690333,56.54541467272135,55.46565316912707,55.31289524035378,50.98991990483114,53.95443482611589,55.003889297498596,55.13794315429147,56.83677899402832,54.934937963880856,54.75759048924403,54.934937963880856,55.20787546070101,55.20787546070101,52.42769443960433
