Ref. No.,Refinery,Ownership,Alumina Produced,Digestion Technology Code,,Bauxite 1 Aa Grade (Reacting),Bauxite 1 A/S ratio (Reacting),Bauxite 1 Moisture,Bauxite 1 Mining-Dressing (FAW) Cost,Bauxite 1 Transport distance,,Bauxite 2 Aa Grade (Reacting),Bauxite 2 A/S ratio (Reacting),Bauxite 2 Moisture,Bauxite 2 Transport distance,,Bauxite 3 Transport distance,Bauxite 3 Transport fee,Domestic Self Supply,Domestic Purchased,,Custom Multiplier BAR,Custom Multiplier Caustic,,For Check Bar,For Check Caustic
1.1,Bosai Xianfeng domestic,Private,SGA,4,,0.6,5.5,0.05,142.5,66.25,,0.55,5.5,0.05,120,,200,,0,0,,1,1,,0,0
1.2,Bosai Xianfeng import,Private,SGA,4,,0,0,0,142.5,66,,0,0,0,0,,1600,,0,0,,1,1,,0,0
2,Bosai Wanzhou,Private,SGA,4,,,,,,,,,,,,,1600,,0,0,,1,1,,0,0
3,Shuijiang,SOE,SGA,4,,0.6,5.5,0.05,142.5,232.5,,0.628984585,6,0.05,113.75,,12.5,,0,0,,1,1,,0,0
4,Tuoyuan,SOE,SGA,4,,0.623899722,9.91405825,0.05,142.5,232.5,,0.623899722,9.91405825,0.05,113.75,,12.5,,0,0,,1,1,,0,0
5,Chalco Pingguo ,SOE,SGA,4,,0.52,9,0.05,135,20,,0.52,9,0.05,113.75,,12.5,,0,0,,1,1,,0,0
6,Jinjiang Longzhou,Private,SGA,4,,0,0,0,160,20,,0.55,9,0.05,113.75,,12.5,,0,0,,1,1,,0,0
7,Huayin,SOE,SGA,4,,0.51,7.5,0.05,180,30,,0.52,8,0.05,113.75,,12.5,,0,0,,1,1,,0,0
8,Jinjiang Tiandong,Private,SGA,4,,0.51,7.5,0.05,150,70,,0.52,7,0.05,160,,12.5,,0,0,,1,1,,0,0
9,Xinfa Jingxi,Private,SGA,4,,0.524,7.5,0.05,150,30,,0.52,7.5,0.05,160,,12.5,,0,0,,1,1,,0,0
10,Huasheng,SOE,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
11,Tiangui,Private,SGA,4,,0,0,0,160,20,,0.6,9,0.05,113.75,,12.5,,0,0,,1,1,,0,0
12,Chalco Guizhou,SOE,SGA,4,,0,0,0,160,20,,0.6,5.5,0.05,100,,12.5,,0,0,,1,1,,0,0
13,Chalco Zunyi,SOE,SGA,4,,0.55,5,0.05,150,30,,0.58,6,0.05,100,,12.5,,0,0,,1,1,,0,0
14,Xian,Private,SGA,4,,0.55,6,0.05,150,30,,0.58,5.5,0.05,100,,12.5,,0,0,,1,1,,0,0
15,Huafei,Private,SGA,4,,0.58,5.5,0.05,150,30,,0.55,5.5,0.05,161.25,,12.5,,0,0,,1,1,,0,0
16,Qingzhen Guanglv,Private,SGA,4,,0.6,6.5,0.05,150,113.75,,0.57,5.5,0.05,42.5,,12.5,,0,0,,1,1,,0,0
17.1,Qizheng Chemical,Private,SGA,4,,0.6,6.7,0.05,142.5,30,,0.585,5.5,0.05,10,,12.5,,0,0,,1,1,,0,0
17.2,Qizheng Chemical Added LT,Private,SGA,4,,0,0,0,160,20,,0.55,5.8,0.05,10,,12.5,,0,0,,1,1,,0,0
18,SPIC - Wuchuan,SOE,SGA,4,,0,0,0,160,20,,0.55,5.8,0.05,113.75,,12.5,,0,0,,1,1,,0,0
19,Kaisheng,Private,SGA,4,,0.55,5.8,0.05,142.5,232.5,,0.55,5.8,0.05,113.75,,12.5,,0,0,,1,1,,0,0
20,Huajin,SOE,SGA,4,,0.6,6,0.05,150,90,,0.55,5.5,0.05,20,,12.5,,0,0,,1,1,,0,0
21.1,Chalco Zhengzhou domestic,SOE,SGA,4,,0.6,4.5,0.05,220,50,,0.6,4.5,0.05,50,,12.5,,0,0,,1,1,,0,0
21.2,Chalco Zhengzhou import,SOE,SGA,4,,0,0,0,160,20,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
22.1,Chalco Zhongzhou Dom. Sinter,SOE,Chemical,3,,0.58,4,0.05,220,50,,0.6,4.5,0.05,50,,12.5,,0,0,,1,1,,0,0
22.2,Chalco Zhongzhou Dom. Bayer,SOE,SGA,4,,0.58,4,0.05,220,50,,0.6,4.5,0.05,50,,12.5,,0,0,,1,1,,0,0
22.3,Chalco Zhongzhou LT Amt,SOE,SGA,4,,0,0,0,160,20,,0.6,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
23.1,Kaiman,Private,SGA,4,,0.58,4.8,0.05,220,30,,0.58,4.5,0.05,80,,12.5,,0,0,,1,1,,0,0
23.2,Kaiman import,Private,SGA,4,,0.659,4.92,0.05,220,30,,0.6,4.5,0.05,80,,12.5,,0,0,,1,1,,0,0
24.1,East Hope Mianchi,Private,SGA,4,,0.58,4.5,0.05,220,30,,0.58,4.5,0.05,80,,12.5,,0,0,,1,1,,0,0
24.2,East Hope Mianchi Added LT,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
25,Huiyuan Lushan,SOE,SGA,4,,0.58,4.5,0.05,240,50,,0.58,4.5,0.05,80,,12.5,,0,0,,1,1,,0,0
26,Jingxin,Private,SGA,4,,0.6,5,0.05,240,20,,0.6,4.5,0.05,50,,12.5,,0,0,,1,1,,0,0
27,Shenhuo,SOE,SGA,4,,0.6,5,0.05,114,42.5,,0.6,4.5,0.05,66.25,,12.5,,0,0,,1,1,,0,0
28.1,Wanji,Private,SGA,4,,0.55,4.3,0.05,220,40,,0.6,4.5,0.05,100,,12.5,,0,0,,1,1,,0,0
28.2,Wanji import,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
29,Weilai,Private,SGA,4,,0.57,4,0.05,240,66.25,,0.63,4.5,0.05,100,,12.5,,0,0,,1,1,,0,0
30,Yifeng Gongyi (Yulian Xinya),Private,SGA,4,,0.57,4,0.05,240,40,,0.63,4.5,0.05,100,,12.5,,0,0,,1,1,,0,0
31,Yima Yixiang,Private,SGA,4,,0.6,4.5,0.05,220,42.5,,0.6,5,0.05,120,,12.5,,0,0,,1,1,,0,0
32,Zhongmei,Private,SGA,4,,0.6,5,0.05,240,42.5,,0.59,5,0.05,100,,12.5,,0,0,,1,1,,0,0
33,Shaoxing,Private,SGA,4,,0.683622871,5,0.05,114,232.5,,0.683622871,4.5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
34,Zhongchao,Private,SGA,4,,0.670648871,5,0.05,114,232.5,,0.670648871,4.5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
35,Jialu Xianfeng,Private,SGA,4,,0.6,5.5,0.05,240,232.5,,0.6,6,0.05,200,,12.5,,0,0,,1,1,,0,0
36,Jinshi,Private,SGA,4,,0.6,5.5,0.05,240,232.5,,0.6,6,0.05,200,,12.5,,0,0,,1,1,,0,0
37,Huixiang,Private,SGA,4,,0.6,5.5,0.05,240,232.5,,0.6,6,0.05,200,,12.5,,0,0,,1,1,,0,0
38.1,Xinwang L-B,Private,SGA,4,,0,0,0,160,20,,0.6,9,0.05,113.75,,12.5,,0,0,,1,1,,0,0
38.2,Xinwang H-B,Private,SGA,4,,0.58,6,0.05,114,232.5,,0.624,5.4,0.05,256.25,,12.5,,0,0,,1,1,,0,0
39,Datang Tuoketuo Fly Ash,Private,SGA,4,,0.670648871,5,0.05,114,232.5,,0.670648871,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
40.1,Mengxi Fly Ash,Private,SGA,4,,0.670648871,5,0.05,114,232.5,,0.670648871,5,0.05,113.75,,12.5,,0,0,,1,1,,0,0
40.2,Mengxi import,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
41.1,Qihui H-B,Private,SGA,5,,,,,,,,,,,,,,,0,0,,1,1,,0,0
41.2,Qihui L-B,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
42,Jinjiang Lianyungang,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
43,Chalco Lianyungang,Private,SGA,4,,,,,,,,,,,,,,,0,0,,1,1,,0,0
